index;type;minority_decision;majority_decision
962;OUTLIER;6=>vgood;6=>unacc
1283;OUTLIER;6=>vgood;6=>unacc
836;OUTLIER;6=>vgood;6=>unacc
1286;OUTLIER;6=>vgood;6=>unacc
968;OUTLIER;6=>vgood;6=>unacc
1160;OUTLIER;6=>vgood;6=>unacc
1097;OUTLIER;6=>vgood;6=>unacc
971;OUTLIER;6=>vgood;6=>unacc
908;OUTLIER;6=>vgood;6=>unacc
1292;OUTLIER;6=>vgood;6=>unacc
1103;OUTLIER;6=>vgood;6=>unacc
1295;OUTLIER;6=>vgood;6=>unacc
1232;OUTLIER;6=>vgood;6=>unacc
1106;OUTLIER;6=>vgood;6=>unacc
917;OUTLIER;6=>vgood;6=>unacc
854;OUTLIER;6=>vgood;6=>unacc
1241;OUTLIER;6=>vgood;6=>unacc
1178;OUTLIER;6=>vgood;6=>unacc
860;OUTLIER;6=>vgood;6=>unacc
863;OUTLIER;6=>vgood;6=>unacc
1184;OUTLIER;6=>vgood;6=>unacc
1121;OUTLIER;6=>vgood;6=>unacc
1187;OUTLIER;6=>vgood;6=>unacc
1124;OUTLIER;6=>vgood;6=>unacc
935;OUTLIER;6=>vgood;6=>unacc
1130;OUTLIER;6=>vgood;6=>unacc
1259;OUTLIER;6=>vgood;6=>unacc
941;OUTLIER;6=>vgood;6=>unacc
1133;OUTLIER;6=>vgood;6=>unacc
878;OUTLIER;6=>vgood;6=>unacc
1070;OUTLIER;6=>vgood;6=>unacc
944;OUTLIER;6=>vgood;6=>unacc
881;OUTLIER;6=>vgood;6=>unacc
1265;OUTLIER;6=>vgood;6=>unacc
1202;OUTLIER;6=>vgood;6=>unacc
1268;OUTLIER;6=>vgood;6=>unacc
1205;OUTLIER;6=>vgood;6=>unacc
887;OUTLIER;6=>vgood;6=>unacc
1079;OUTLIER;6=>vgood;6=>unacc
890;OUTLIER;6=>vgood;6=>unacc
827;OUTLIER;6=>vgood;6=>unacc
1211;OUTLIER;6=>vgood;6=>unacc
1214;OUTLIER;6=>vgood;6=>unacc
959;OUTLIER;6=>vgood;6=>unacc
1151;OUTLIER;6=>vgood;6=>unacc
1280;OUTLIER;6=>good;6=>acc
1282;OUTLIER;6=>good;6=>acc
1283;OUTLIER;6=>good;6=>acc
1157;OUTLIER;6=>good;6=>acc
1285;OUTLIER;6=>good;6=>acc
902;OUTLIER;6=>good;6=>acc
1286;OUTLIER;6=>good;6=>acc
1159;OUTLIER;6=>good;6=>acc
1160;OUTLIER;6=>good;6=>acc
