index;type;minority_decision;majority_decision
0;BORDERLINE;3=>MIN;3=>MAJ
1;BORDERLINE;3=>MIN;3=>MAJ
2;BORDERLINE;3=>MIN;3=>MAJ
3;SAFE;3=>MIN;3=>MAJ
4;SAFE;3=>MIN;3=>MAJ
5;SAFE;3=>MIN;3=>MAJ
6;SAFE;3=>MIN;3=>MAJ
7;SAFE;3=>MIN;3=>MAJ
8;BORDERLINE;3=>MIN;3=>MAJ
9;SAFE;3=>MIN;3=>MAJ
10;SAFE;3=>MIN;3=>MAJ
11;SAFE;3=>MIN;3=>MAJ
12;BORDERLINE;3=>MIN;3=>MAJ
13;BORDERLINE;3=>MIN;3=>MAJ
14;SAFE;3=>MIN;3=>MAJ
15;BORDERLINE;3=>MIN;3=>MAJ
16;SAFE;3=>MIN;3=>MAJ
17;BORDERLINE;3=>MIN;3=>MAJ
18;BORDERLINE;3=>MIN;3=>MAJ
19;BORDERLINE;3=>MIN;3=>MAJ
20;BORDERLINE;3=>MIN;3=>MAJ
21;SAFE;3=>MIN;3=>MAJ
22;SAFE;3=>MIN;3=>MAJ
23;BORDERLINE;3=>MIN;3=>MAJ
24;SAFE;3=>MIN;3=>MAJ
25;BORDERLINE;3=>MIN;3=>MAJ
26;SAFE;3=>MIN;3=>MAJ
27;BORDERLINE;3=>MIN;3=>MAJ
28;SAFE;3=>MIN;3=>MAJ
29;BORDERLINE;3=>MIN;3=>MAJ
30;SAFE;3=>MIN;3=>MAJ
31;SAFE;3=>MIN;3=>MAJ
32;SAFE;3=>MIN;3=>MAJ
33;SAFE;3=>MIN;3=>MAJ
34;SAFE;3=>MIN;3=>MAJ
35;SAFE;3=>MIN;3=>MAJ
36;SAFE;3=>MIN;3=>MAJ
37;BORDERLINE;3=>MIN;3=>MAJ
38;BORDERLINE;3=>MIN;3=>MAJ
39;SAFE;3=>MIN;3=>MAJ
40;SAFE;3=>MIN;3=>MAJ
41;SAFE;3=>MIN;3=>MAJ
42;SAFE;3=>MIN;3=>MAJ
43;SAFE;3=>MIN;3=>MAJ
44;SAFE;3=>MIN;3=>MAJ
45;SAFE;3=>MIN;3=>MAJ
46;SAFE;3=>MIN;3=>MAJ
47;SAFE;3=>MIN;3=>MAJ
48;BORDERLINE;3=>MIN;3=>MAJ
49;BORDERLINE;3=>MIN;3=>MAJ
50;SAFE;3=>MIN;3=>MAJ
51;BORDERLINE;3=>MIN;3=>MAJ
52;BORDERLINE;3=>MIN;3=>MAJ
53;SAFE;3=>MIN;3=>MAJ
54;SAFE;3=>MIN;3=>MAJ
55;SAFE;3=>MIN;3=>MAJ
56;SAFE;3=>MIN;3=>MAJ
1369;OUTLIER;3=>MIN;3=>MAJ
1370;OUTLIER;3=>MIN;3=>MAJ
1371;OUTLIER;3=>MIN;3=>MAJ
1372;OUTLIER;3=>MIN;3=>MAJ
1373;OUTLIER;3=>MIN;3=>MAJ
1374;OUTLIER;3=>MIN;3=>MAJ
1375;OUTLIER;3=>MIN;3=>MAJ
1376;OUTLIER;3=>MIN;3=>MAJ
1377;OUTLIER;3=>MIN;3=>MAJ
1378;OUTLIER;3=>MIN;3=>MAJ
1379;OUTLIER;3=>MIN;3=>MAJ
1380;OUTLIER;3=>MIN;3=>MAJ
1381;OUTLIER;3=>MIN;3=>MAJ
1382;OUTLIER;3=>MIN;3=>MAJ
1383;OUTLIER;3=>MIN;3=>MAJ
1384;OUTLIER;3=>MIN;3=>MAJ
1385;OUTLIER;3=>MIN;3=>MAJ
1386;OUTLIER;3=>MIN;3=>MAJ
1387;OUTLIER;3=>MIN;3=>MAJ
1388;OUTLIER;3=>MIN;3=>MAJ
1389;OUTLIER;3=>MIN;3=>MAJ
1390;OUTLIER;3=>MIN;3=>MAJ
1391;OUTLIER;3=>MIN;3=>MAJ
1392;OUTLIER;3=>MIN;3=>MAJ
1393;OUTLIER;3=>MIN;3=>MAJ
1394;OUTLIER;3=>MIN;3=>MAJ
1395;OUTLIER;3=>MIN;3=>MAJ
1396;OUTLIER;3=>MIN;3=>MAJ
1397;OUTLIER;3=>MIN;3=>MAJ
1398;OUTLIER;3=>MIN;3=>MAJ
1399;OUTLIER;3=>MIN;3=>MAJ
1400;OUTLIER;3=>MIN;3=>MAJ
1401;OUTLIER;3=>MIN;3=>MAJ
1402;OUTLIER;3=>MIN;3=>MAJ
1403;OUTLIER;3=>MIN;3=>MAJ
1404;OUTLIER;3=>MIN;3=>MAJ
1405;OUTLIER;3=>MIN;3=>MAJ
1406;OUTLIER;3=>MIN;3=>MAJ
1407;OUTLIER;3=>MIN;3=>MAJ
1408;OUTLIER;3=>MIN;3=>MAJ
1409;OUTLIER;3=>MIN;3=>MAJ
1410;OUTLIER;3=>MIN;3=>MAJ
1411;OUTLIER;3=>MIN;3=>MAJ
1412;OUTLIER;3=>MIN;3=>MAJ
