index;type;minority_decision;majority_decision
0;BORDERLINE;3=>MIN;3=>MAJ
1;SAFE;3=>MIN;3=>MAJ
2;SAFE;3=>MIN;3=>MAJ
3;SAFE;3=>MIN;3=>MAJ
4;SAFE;3=>MIN;3=>MAJ
5;SAFE;3=>MIN;3=>MAJ
6;SAFE;3=>MIN;3=>MAJ
7;SAFE;3=>MIN;3=>MAJ
8;SAFE;3=>MIN;3=>MAJ
9;SAFE;3=>MIN;3=>MAJ
10;SAFE;3=>MIN;3=>MAJ
11;SAFE;3=>MIN;3=>MAJ
12;SAFE;3=>MIN;3=>MAJ
13;SAFE;3=>MIN;3=>MAJ
14;SAFE;3=>MIN;3=>MAJ
15;SAFE;3=>MIN;3=>MAJ
16;SAFE;3=>MIN;3=>MAJ
17;BORDERLINE;3=>MIN;3=>MAJ
18;SAFE;3=>MIN;3=>MAJ
19;SAFE;3=>MIN;3=>MAJ
20;SAFE;3=>MIN;3=>MAJ
21;SAFE;3=>MIN;3=>MAJ
22;SAFE;3=>MIN;3=>MAJ
23;BORDERLINE;3=>MIN;3=>MAJ
24;SAFE;3=>MIN;3=>MAJ
25;SAFE;3=>MIN;3=>MAJ
26;BORDERLINE;3=>MIN;3=>MAJ
27;SAFE;3=>MIN;3=>MAJ
28;SAFE;3=>MIN;3=>MAJ
29;SAFE;3=>MIN;3=>MAJ
30;SAFE;3=>MIN;3=>MAJ
31;SAFE;3=>MIN;3=>MAJ
32;SAFE;3=>MIN;3=>MAJ
33;SAFE;3=>MIN;3=>MAJ
34;OUTLIER;3=>MIN;3=>MAJ
35;SAFE;3=>MIN;3=>MAJ
36;SAFE;3=>MIN;3=>MAJ
37;SAFE;3=>MIN;3=>MAJ
38;SAFE;3=>MIN;3=>MAJ
39;BORDERLINE;3=>MIN;3=>MAJ
40;SAFE;3=>MIN;3=>MAJ
41;SAFE;3=>MIN;3=>MAJ
42;SAFE;3=>MIN;3=>MAJ
43;BORDERLINE;3=>MIN;3=>MAJ
44;SAFE;3=>MIN;3=>MAJ
45;SAFE;3=>MIN;3=>MAJ
46;SAFE;3=>MIN;3=>MAJ
47;SAFE;3=>MIN;3=>MAJ
48;SAFE;3=>MIN;3=>MAJ
49;SAFE;3=>MIN;3=>MAJ
50;SAFE;3=>MIN;3=>MAJ
51;SAFE;3=>MIN;3=>MAJ
52;SAFE;3=>MIN;3=>MAJ
53;SAFE;3=>MIN;3=>MAJ
54;SAFE;3=>MIN;3=>MAJ
55;BORDERLINE;3=>MIN;3=>MAJ
56;SAFE;3=>MIN;3=>MAJ
57;SAFE;3=>MIN;3=>MAJ
58;OUTLIER;3=>MIN;3=>MAJ
59;SAFE;3=>MIN;3=>MAJ
