index;type;minority_decision;majority_decision
0;BORDERLINE;3=>MIN;3=>MAJ
1;BORDERLINE;3=>MIN;3=>MAJ
2;BORDERLINE;3=>MIN;3=>MAJ
3;BORDERLINE;3=>MIN;3=>MAJ
4;BORDERLINE;3=>MIN;3=>MAJ
5;BORDERLINE;3=>MIN;3=>MAJ
6;SAFE;3=>MIN;3=>MAJ
7;BORDERLINE;3=>MIN;3=>MAJ
8;SAFE;3=>MIN;3=>MAJ
9;BORDERLINE;3=>MIN;3=>MAJ
10;SAFE;3=>MIN;3=>MAJ
11;SAFE;3=>MIN;3=>MAJ
12;SAFE;3=>MIN;3=>MAJ
13;SAFE;3=>MIN;3=>MAJ
14;SAFE;3=>MIN;3=>MAJ
15;SAFE;3=>MIN;3=>MAJ
16;BORDERLINE;3=>MIN;3=>MAJ
17;SAFE;3=>MIN;3=>MAJ
18;BORDERLINE;3=>MIN;3=>MAJ
19;SAFE;3=>MIN;3=>MAJ
20;BORDERLINE;3=>MIN;3=>MAJ
21;BORDERLINE;3=>MIN;3=>MAJ
22;SAFE;3=>MIN;3=>MAJ
23;SAFE;3=>MIN;3=>MAJ
24;BORDERLINE;3=>MIN;3=>MAJ
25;SAFE;3=>MIN;3=>MAJ
26;SAFE;3=>MIN;3=>MAJ
27;BORDERLINE;3=>MIN;3=>MAJ
28;SAFE;3=>MIN;3=>MAJ
29;SAFE;3=>MIN;3=>MAJ
30;BORDERLINE;3=>MIN;3=>MAJ
31;BORDERLINE;3=>MIN;3=>MAJ
32;SAFE;3=>MIN;3=>MAJ
33;RARE;3=>MIN;3=>MAJ
34;BORDERLINE;3=>MIN;3=>MAJ
35;BORDERLINE;3=>MIN;3=>MAJ
36;BORDERLINE;3=>MIN;3=>MAJ
37;OUTLIER;3=>MIN;3=>MAJ
38;BORDERLINE;3=>MIN;3=>MAJ
39;SAFE;3=>MIN;3=>MAJ
40;BORDERLINE;3=>MIN;3=>MAJ
41;BORDERLINE;3=>MIN;3=>MAJ
42;BORDERLINE;3=>MIN;3=>MAJ
43;BORDERLINE;3=>MIN;3=>MAJ
44;SAFE;3=>MIN;3=>MAJ
1095;OUTLIER;3=>MIN;3=>MAJ
1096;OUTLIER;3=>MIN;3=>MAJ
1097;OUTLIER;3=>MIN;3=>MAJ
1098;OUTLIER;3=>MIN;3=>MAJ
1099;OUTLIER;3=>MIN;3=>MAJ
1100;OUTLIER;3=>MIN;3=>MAJ
1101;OUTLIER;3=>MIN;3=>MAJ
1102;OUTLIER;3=>MIN;3=>MAJ
1103;OUTLIER;3=>MIN;3=>MAJ
1104;OUTLIER;3=>MIN;3=>MAJ
1105;OUTLIER;3=>MIN;3=>MAJ
1106;OUTLIER;3=>MIN;3=>MAJ
1107;OUTLIER;3=>MIN;3=>MAJ
1108;OUTLIER;3=>MIN;3=>MAJ
1109;OUTLIER;3=>MIN;3=>MAJ
1110;RARE;3=>MIN;3=>MAJ
1111;OUTLIER;3=>MIN;3=>MAJ
1112;OUTLIER;3=>MIN;3=>MAJ
1113;OUTLIER;3=>MIN;3=>MAJ
1114;OUTLIER;3=>MIN;3=>MAJ
1115;OUTLIER;3=>MIN;3=>MAJ
1116;OUTLIER;3=>MIN;3=>MAJ
1117;OUTLIER;3=>MIN;3=>MAJ
1118;OUTLIER;3=>MIN;3=>MAJ
1119;OUTLIER;3=>MIN;3=>MAJ
1120;OUTLIER;3=>MIN;3=>MAJ
1121;OUTLIER;3=>MIN;3=>MAJ
1122;OUTLIER;3=>MIN;3=>MAJ
1123;OUTLIER;3=>MIN;3=>MAJ
1124;OUTLIER;3=>MIN;3=>MAJ
1125;OUTLIER;3=>MIN;3=>MAJ
1126;OUTLIER;3=>MIN;3=>MAJ
1127;OUTLIER;3=>MIN;3=>MAJ
1128;OUTLIER;3=>MIN;3=>MAJ
1129;OUTLIER;3=>MIN;3=>MAJ
1130;OUTLIER;3=>MIN;3=>MAJ
1131;OUTLIER;3=>MIN;3=>MAJ
1132;OUTLIER;3=>MIN;3=>MAJ
1133;OUTLIER;3=>MIN;3=>MAJ
1134;OUTLIER;3=>MIN;3=>MAJ
1135;OUTLIER;3=>MIN;3=>MAJ
1136;OUTLIER;3=>MIN;3=>MAJ
1137;OUTLIER;3=>MIN;3=>MAJ
1138;OUTLIER;3=>MIN;3=>MAJ
1139;OUTLIER;3=>MIN;3=>MAJ
1140;OUTLIER;3=>MIN;3=>MAJ
1141;OUTLIER;3=>MIN;3=>MAJ
1142;OUTLIER;3=>MIN;3=>MAJ
1143;OUTLIER;3=>MIN;3=>MAJ
1144;OUTLIER;3=>MIN;3=>MAJ
1145;OUTLIER;3=>MIN;3=>MAJ
1146;OUTLIER;3=>MIN;3=>MAJ
1147;OUTLIER;3=>MIN;3=>MAJ
1148;RARE;3=>MIN;3=>MAJ
