index;type;minority_decision;majority_decision
6;RARE;8=>600;8=>500
518;OUTLIER;8=>600;8=>500
7;RARE;8=>600;8=>500
520;OUTLIER;8=>600;8=>500
9;RARE;8=>600;8=>500
3083;OUTLIER;8=>600;8=>500
524;OUTLIER;8=>600;8=>500
525;OUTLIER;8=>600;8=>500
526;OUTLIER;8=>600;8=>500
3600;OUTLIER;8=>600;8=>500
530;RARE;8=>600;8=>500
4119;OUTLIER;8=>600;8=>500
1053;OUTLIER;8=>600;8=>500
1054;OUTLIER;8=>600;8=>500
1055;OUTLIER;8=>600;8=>500
32;RARE;8=>600;8=>500
1056;OUTLIER;8=>600;8=>500
33;OUTLIER;8=>600;8=>500
1057;OUTLIER;8=>600;8=>500
1058;OUTLIER;8=>600;8=>500
36;RARE;8=>600;8=>500
550;RARE;8=>600;8=>500
2090;RARE;8=>600;8=>500
44;OUTLIER;8=>600;8=>500
2101;RARE;8=>600;8=>500
58;OUTLIER;8=>600;8=>500
570;RARE;8=>600;8=>500
572;RARE;8=>600;8=>500
2108;RARE;8=>600;8=>500
573;RARE;8=>600;8=>500
2114;OUTLIER;8=>600;8=>500
2626;OUTLIER;8=>600;8=>500
579;RARE;8=>600;8=>500
2115;OUTLIER;8=>600;8=>500
3140;RARE;8=>600;8=>500
582;RARE;8=>600;8=>500
3143;OUTLIER;8=>600;8=>500
72;RARE;8=>600;8=>500
3149;OUTLIER;8=>600;8=>500
3151;OUTLIER;8=>600;8=>500
592;RARE;8=>600;8=>500
593;OUTLIER;8=>600;8=>500
82;RARE;8=>600;8=>500
83;RARE;8=>600;8=>500
599;RARE;8=>600;8=>500
600;RARE;8=>600;8=>500
2138;RARE;8=>600;8=>500
3166;OUTLIER;8=>600;8=>500
611;OUTLIER;8=>600;8=>500
613;RARE;8=>600;8=>500
2151;OUTLIER;8=>600;8=>500
2155;RARE;8=>600;8=>500
621;RARE;8=>600;8=>500
2157;OUTLIER;8=>600;8=>500
623;RARE;8=>600;8=>500
2160;OUTLIER;8=>600;8=>500
2161;RARE;8=>600;8=>500
628;RARE;8=>600;8=>500
3188;RARE;8=>600;8=>500
2169;OUTLIER;8=>600;8=>500
3193;RARE;8=>600;8=>500
3195;RARE;8=>600;8=>500
128;OUTLIER;8=>600;8=>500
2176;RARE;8=>600;8=>500
129;OUTLIER;8=>600;8=>500
130;RARE;8=>600;8=>500
642;RARE;8=>600;8=>500
3202;RARE;8=>600;8=>500
3203;RARE;8=>600;8=>500
2180;RARE;8=>600;8=>500
2181;RARE;8=>600;8=>500
142;RARE;8=>600;8=>500
656;RARE;8=>600;8=>500
3216;RARE;8=>600;8=>500
657;RARE;8=>600;8=>500
658;RARE;8=>600;8=>500
3219;RARE;8=>600;8=>500
660;OUTLIER;8=>600;8=>500
149;OUTLIER;8=>600;8=>500
3222;RARE;8=>600;8=>500
2199;OUTLIER;8=>600;8=>500
2711;OUTLIER;8=>600;8=>500
664;RARE;8=>600;8=>500
2712;OUTLIER;8=>600;8=>500
3224;RARE;8=>600;8=>500
2201;RARE;8=>600;8=>500
2713;OUTLIER;8=>600;8=>500
2202;RARE;8=>600;8=>500
2203;RARE;8=>600;8=>500
157;OUTLIER;8=>600;8=>500
671;RARE;8=>600;8=>500
672;RARE;8=>600;8=>500
2208;OUTLIER;8=>600;8=>500
