index;type;minority_decision;majority_decision
6;RARE;8=>600;8=>500
518;OUTLIER;8=>600;8=>500
7;OUTLIER;8=>600;8=>500
520;SAFE;8=>600;8=>500
9;OUTLIER;8=>600;8=>500
3083;BORDERLINE;8=>600;8=>500
524;BORDERLINE;8=>600;8=>500
525;BORDERLINE;8=>600;8=>500
526;SAFE;8=>600;8=>500
3600;SAFE;8=>600;8=>500
530;OUTLIER;8=>600;8=>500
4119;RARE;8=>600;8=>500
1053;BORDERLINE;8=>600;8=>500
1054;SAFE;8=>600;8=>500
1055;BORDERLINE;8=>600;8=>500
32;OUTLIER;8=>600;8=>500
1056;BORDERLINE;8=>600;8=>500
33;OUTLIER;8=>600;8=>500
1057;RARE;8=>600;8=>500
1058;OUTLIER;8=>600;8=>500
36;OUTLIER;8=>600;8=>500
550;RARE;8=>600;8=>500
2090;OUTLIER;8=>600;8=>500
44;BORDERLINE;8=>600;8=>500
2101;OUTLIER;8=>600;8=>500
58;RARE;8=>600;8=>500
570;OUTLIER;8=>600;8=>500
572;BORDERLINE;8=>600;8=>500
2108;RARE;8=>600;8=>500
573;RARE;8=>600;8=>500
2114;SAFE;8=>600;8=>500
2626;BORDERLINE;8=>600;8=>500
579;BORDERLINE;8=>600;8=>500
2115;BORDERLINE;8=>600;8=>500
3140;BORDERLINE;8=>600;8=>500
582;OUTLIER;8=>600;8=>500
3143;BORDERLINE;8=>600;8=>500
72;BORDERLINE;8=>600;8=>500
3149;BORDERLINE;8=>600;8=>500
3151;BORDERLINE;8=>600;8=>500
592;OUTLIER;8=>600;8=>500
593;BORDERLINE;8=>600;8=>500
82;RARE;8=>600;8=>500
83;BORDERLINE;8=>600;8=>500
599;OUTLIER;8=>600;8=>500
600;OUTLIER;8=>600;8=>500
2138;OUTLIER;8=>600;8=>500
3166;RARE;8=>600;8=>500
611;BORDERLINE;8=>600;8=>500
613;OUTLIER;8=>600;8=>500
2151;BORDERLINE;8=>600;8=>500
2155;RARE;8=>600;8=>500
621;RARE;8=>600;8=>500
2157;BORDERLINE;8=>600;8=>500
623;OUTLIER;8=>600;8=>500
2160;RARE;8=>600;8=>500
2161;RARE;8=>600;8=>500
628;RARE;8=>600;8=>500
3188;OUTLIER;8=>600;8=>500
2169;SAFE;8=>600;8=>500
3193;BORDERLINE;8=>600;8=>500
3195;BORDERLINE;8=>600;8=>500
128;SAFE;8=>600;8=>500
2176;BORDERLINE;8=>600;8=>500
129;BORDERLINE;8=>600;8=>500
130;RARE;8=>600;8=>500
642;OUTLIER;8=>600;8=>500
3202;BORDERLINE;8=>600;8=>500
3203;RARE;8=>600;8=>500
2180;BORDERLINE;8=>600;8=>500
2181;BORDERLINE;8=>600;8=>500
142;BORDERLINE;8=>600;8=>500
656;RARE;8=>600;8=>500
3216;BORDERLINE;8=>600;8=>500
657;RARE;8=>600;8=>500
658;BORDERLINE;8=>600;8=>500
3219;RARE;8=>600;8=>500
660;RARE;8=>600;8=>500
149;BORDERLINE;8=>600;8=>500
3222;BORDERLINE;8=>600;8=>500
2199;RARE;8=>600;8=>500
2711;BORDERLINE;8=>600;8=>500
664;OUTLIER;8=>600;8=>500
2712;SAFE;8=>600;8=>500
3224;BORDERLINE;8=>600;8=>500
2201;BORDERLINE;8=>600;8=>500
2713;RARE;8=>600;8=>500
