index;type;minority_decision;majority_decision
0;OUTLIER;9=>V1;9=>V2
128;RARE;9=>V1;9=>V2
257;BORDERLINE;9=>V1;9=>V2
2;RARE;9=>V1;9=>V2
259;RARE;9=>V1;9=>V2
4;OUTLIER;9=>V1;9=>V2
132;BORDERLINE;9=>V1;9=>V2
133;RARE;9=>V1;9=>V2
135;RARE;9=>V1;9=>V2
263;BORDERLINE;9=>V1;9=>V2
138;RARE;9=>V1;9=>V2
267;BORDERLINE;9=>V1;9=>V2
140;OUTLIER;9=>V1;9=>V2
14;RARE;9=>V1;9=>V2
142;OUTLIER;9=>V1;9=>V2
270;RARE;9=>V1;9=>V2
271;SAFE;9=>V1;9=>V2
146;OUTLIER;9=>V1;9=>V2
20;RARE;9=>V1;9=>V2
150;RARE;9=>V1;9=>V2
24;SAFE;9=>V1;9=>V2
153;BORDERLINE;9=>V1;9=>V2
156;RARE;9=>V1;9=>V2
29;BORDERLINE;9=>V1;9=>V2
157;OUTLIER;9=>V1;9=>V2
30;RARE;9=>V1;9=>V2
34;RARE;9=>V1;9=>V2
164;BORDERLINE;9=>V1;9=>V2
165;RARE;9=>V1;9=>V2
166;OUTLIER;9=>V1;9=>V2
40;BORDERLINE;9=>V1;9=>V2
170;RARE;9=>V1;9=>V2
43;SAFE;9=>V1;9=>V2
171;BORDERLINE;9=>V1;9=>V2
45;BORDERLINE;9=>V1;9=>V2
173;RARE;9=>V1;9=>V2
177;BORDERLINE;9=>V1;9=>V2
50;OUTLIER;9=>V1;9=>V2
178;RARE;9=>V1;9=>V2
181;OUTLIER;9=>V1;9=>V2
183;BORDERLINE;9=>V1;9=>V2
59;OUTLIER;9=>V1;9=>V2
187;RARE;9=>V1;9=>V2
60;SAFE;9=>V1;9=>V2
190;RARE;9=>V1;9=>V2
63;BORDERLINE;9=>V1;9=>V2
64;RARE;9=>V1;9=>V2
192;SAFE;9=>V1;9=>V2
68;OUTLIER;9=>V1;9=>V2
196;RARE;9=>V1;9=>V2
70;BORDERLINE;9=>V1;9=>V2
199;RARE;9=>V1;9=>V2
73;BORDERLINE;9=>V1;9=>V2
74;SAFE;9=>V1;9=>V2
205;BORDERLINE;9=>V1;9=>V2
78;BORDERLINE;9=>V1;9=>V2
207;BORDERLINE;9=>V1;9=>V2
208;BORDERLINE;9=>V1;9=>V2
210;SAFE;9=>V1;9=>V2
211;RARE;9=>V1;9=>V2
216;RARE;9=>V1;9=>V2
90;RARE;9=>V1;9=>V2
218;BORDERLINE;9=>V1;9=>V2
91;SAFE;9=>V1;9=>V2
92;RARE;9=>V1;9=>V2
96;RARE;9=>V1;9=>V2
224;RARE;9=>V1;9=>V2
98;BORDERLINE;9=>V1;9=>V2
99;RARE;9=>V1;9=>V2
100;RARE;9=>V1;9=>V2
101;RARE;9=>V1;9=>V2
229;RARE;9=>V1;9=>V2
105;SAFE;9=>V1;9=>V2
106;OUTLIER;9=>V1;9=>V2
107;RARE;9=>V1;9=>V2
235;RARE;9=>V1;9=>V2
237;SAFE;9=>V1;9=>V2
238;OUTLIER;9=>V1;9=>V2
239;SAFE;9=>V1;9=>V2
240;RARE;9=>V1;9=>V2
116;BORDERLINE;9=>V1;9=>V2
120;OUTLIER;9=>V1;9=>V2
250;SAFE;9=>V1;9=>V2
123;SAFE;9=>V1;9=>V2
255;BORDERLINE;9=>V1;9=>V2
