index;type;minority_decision;majority_decision
1280;SAFE;6=>good;6=>rest
1537;OUTLIER;6=>good;6=>rest
1282;SAFE;6=>good;6=>rest
1667;SAFE;6=>good;6=>rest
1285;SAFE;6=>good;6=>rest
1669;SAFE;6=>good;6=>rest
1672;SAFE;6=>good;6=>rest
1289;SAFE;6=>good;6=>rest
1291;SAFE;6=>good;6=>rest
1294;SAFE;6=>good;6=>rest
1550;SAFE;6=>good;6=>rest
1553;OUTLIER;6=>good;6=>rest
1555;SAFE;6=>good;6=>rest
1685;SAFE;6=>good;6=>rest
1559;SAFE;6=>good;6=>rest
1687;SAFE;6=>good;6=>rest
1561;SAFE;6=>good;6=>rest
1690;SAFE;6=>good;6=>rest
1564;SAFE;6=>good;6=>rest
1694;SAFE;6=>good;6=>rest
1696;SAFE;6=>good;6=>rest
1699;SAFE;6=>good;6=>rest
1577;SAFE;6=>good;6=>rest
1579;SAFE;6=>good;6=>rest
1582;SAFE;6=>good;6=>rest
1199;OUTLIER;6=>good;6=>rest
1712;SAFE;6=>good;6=>rest
1202;OUTLIER;6=>good;6=>rest
1586;SAFE;6=>good;6=>rest
1714;SAFE;6=>good;6=>rest
1204;OUTLIER;6=>good;6=>rest
1588;SAFE;6=>good;6=>rest
1717;SAFE;6=>good;6=>rest
1591;SAFE;6=>good;6=>rest
1721;SAFE;6=>good;6=>rest
1211;OUTLIER;6=>good;6=>rest
1723;SAFE;6=>good;6=>rest
1213;OUTLIER;6=>good;6=>rest
1726;SAFE;6=>good;6=>rest
1604;SAFE;6=>good;6=>rest
1606;SAFE;6=>good;6=>rest
1609;SAFE;6=>good;6=>rest
1226;SAFE;6=>good;6=>rest
1229;OUTLIER;6=>good;6=>rest
1613;SAFE;6=>good;6=>rest
1231;SAFE;6=>good;6=>rest
1615;SAFE;6=>good;6=>rest
1618;SAFE;6=>good;6=>rest
1235;SAFE;6=>good;6=>rest
1237;SAFE;6=>good;6=>rest
1240;SAFE;6=>good;6=>rest
1631;OUTLIER;6=>good;6=>rest
1634;OUTLIER;6=>good;6=>rest
1636;OUTLIER;6=>good;6=>rest
1253;SAFE;6=>good;6=>rest
1255;SAFE;6=>good;6=>rest
1258;SAFE;6=>good;6=>rest
1643;OUTLIER;6=>good;6=>rest
1645;OUTLIER;6=>good;6=>rest
1262;SAFE;6=>good;6=>rest
1264;SAFE;6=>good;6=>rest
1267;SAFE;6=>good;6=>rest
1523;OUTLIER;6=>good;6=>rest
1526;OUTLIER;6=>good;6=>rest
1528;OUTLIER;6=>good;6=>rest
1658;SAFE;6=>good;6=>rest
1661;OUTLIER;6=>good;6=>rest
1535;OUTLIER;6=>good;6=>rest
1663;SAFE;6=>good;6=>rest
