index;type;minority_decision;majority_decision
195;OUTLIER;13=>3;13=>other
261;OUTLIER;13=>3;13=>other
6;BORDERLINE;13=>3;13=>other
71;OUTLIER;13=>3;13=>other
137;RARE;13=>3;13=>other
205;SAFE;13=>3;13=>other
206;RARE;13=>3;13=>other
79;OUTLIER;13=>3;13=>other
207;OUTLIER;13=>3;13=>other
83;OUTLIER;13=>3;13=>other
213;OUTLIER;13=>3;13=>other
23;BORDERLINE;13=>3;13=>other
154;RARE;13=>3;13=>other
282;OUTLIER;13=>3;13=>other
91;OUTLIER;13=>3;13=>other
29;BORDERLINE;13=>3;13=>other
223;BORDERLINE;13=>3;13=>other
97;RARE;13=>3;13=>other
36;BORDERLINE;13=>3;13=>other
228;OUTLIER;13=>3;13=>other
38;OUTLIER;13=>3;13=>other
104;OUTLIER;13=>3;13=>other
296;OUTLIER;13=>3;13=>other
170;OUTLIER;13=>3;13=>other
235;BORDERLINE;13=>3;13=>other
300;OUTLIER;13=>3;13=>other
109;OUTLIER;13=>3;13=>other
180;OUTLIER;13=>3;13=>other
118;OUTLIER;13=>3;13=>other
120;RARE;13=>3;13=>other
248;OUTLIER;13=>3;13=>other
123;OUTLIER;13=>3;13=>other
126;OUTLIER;13=>3;13=>other
127;RARE;13=>3;13=>other
191;SAFE;13=>3;13=>other
