index;type;minority_decision;majority_decision
512;RARE;9=>2;9=>1
513;BORDERLINE;9=>2;9=>1
514;RARE;9=>2;9=>1
515;BORDERLINE;9=>2;9=>1
516;SAFE;9=>2;9=>1
517;BORDERLINE;9=>2;9=>1
518;BORDERLINE;9=>2;9=>1
519;OUTLIER;9=>2;9=>1
520;RARE;9=>2;9=>1
521;BORDERLINE;9=>2;9=>1
522;OUTLIER;9=>2;9=>1
523;OUTLIER;9=>2;9=>1
524;BORDERLINE;9=>2;9=>1
525;OUTLIER;9=>2;9=>1
526;RARE;9=>2;9=>1
527;BORDERLINE;9=>2;9=>1
528;SAFE;9=>2;9=>1
529;RARE;9=>2;9=>1
530;BORDERLINE;9=>2;9=>1
531;OUTLIER;9=>2;9=>1
532;RARE;9=>2;9=>1
533;OUTLIER;9=>2;9=>1
534;SAFE;9=>2;9=>1
535;OUTLIER;9=>2;9=>1
536;BORDERLINE;9=>2;9=>1
537;BORDERLINE;9=>2;9=>1
538;OUTLIER;9=>2;9=>1
539;RARE;9=>2;9=>1
540;RARE;9=>2;9=>1
541;OUTLIER;9=>2;9=>1
542;OUTLIER;9=>2;9=>1
543;SAFE;9=>2;9=>1
544;RARE;9=>2;9=>1
545;SAFE;9=>2;9=>1
546;RARE;9=>2;9=>1
547;BORDERLINE;9=>2;9=>1
548;SAFE;9=>2;9=>1
549;BORDERLINE;9=>2;9=>1
550;BORDERLINE;9=>2;9=>1
551;SAFE;9=>2;9=>1
552;BORDERLINE;9=>2;9=>1
553;BORDERLINE;9=>2;9=>1
554;OUTLIER;9=>2;9=>1
555;OUTLIER;9=>2;9=>1
556;BORDERLINE;9=>2;9=>1
557;RARE;9=>2;9=>1
558;BORDERLINE;9=>2;9=>1
559;BORDERLINE;9=>2;9=>1
560;BORDERLINE;9=>2;9=>1
561;BORDERLINE;9=>2;9=>1
562;BORDERLINE;9=>2;9=>1
563;RARE;9=>2;9=>1
564;BORDERLINE;9=>2;9=>1
565;SAFE;9=>2;9=>1
566;RARE;9=>2;9=>1
567;BORDERLINE;9=>2;9=>1
568;BORDERLINE;9=>2;9=>1
569;SAFE;9=>2;9=>1
570;RARE;9=>2;9=>1
571;RARE;9=>2;9=>1
572;BORDERLINE;9=>2;9=>1
573;OUTLIER;9=>2;9=>1
574;SAFE;9=>2;9=>1
575;BORDERLINE;9=>2;9=>1
576;SAFE;9=>2;9=>1
577;BORDERLINE;9=>2;9=>1
578;BORDERLINE;9=>2;9=>1
579;BORDERLINE;9=>2;9=>1
580;SAFE;9=>2;9=>1
581;BORDERLINE;9=>2;9=>1
582;BORDERLINE;9=>2;9=>1
583;BORDERLINE;9=>2;9=>1
584;RARE;9=>2;9=>1
585;SAFE;9=>2;9=>1
586;BORDERLINE;9=>2;9=>1
587;BORDERLINE;9=>2;9=>1
588;OUTLIER;9=>2;9=>1
589;RARE;9=>2;9=>1
590;BORDERLINE;9=>2;9=>1
591;BORDERLINE;9=>2;9=>1
592;BORDERLINE;9=>2;9=>1
593;BORDERLINE;9=>2;9=>1
594;SAFE;9=>2;9=>1
595;OUTLIER;9=>2;9=>1
596;SAFE;9=>2;9=>1
597;BORDERLINE;9=>2;9=>1
598;BORDERLINE;9=>2;9=>1
599;BORDERLINE;9=>2;9=>1
600;BORDERLINE;9=>2;9=>1
601;RARE;9=>2;9=>1
602;BORDERLINE;9=>2;9=>1
603;BORDERLINE;9=>2;9=>1
604;OUTLIER;9=>2;9=>1
605;RARE;9=>2;9=>1
606;BORDERLINE;9=>2;9=>1
607;BORDERLINE;9=>2;9=>1
608;BORDERLINE;9=>2;9=>1
609;OUTLIER;9=>2;9=>1
610;RARE;9=>2;9=>1
611;BORDERLINE;9=>2;9=>1
612;SAFE;9=>2;9=>1
613;SAFE;9=>2;9=>1
614;SAFE;9=>2;9=>1
615;OUTLIER;9=>2;9=>1
616;BORDERLINE;9=>2;9=>1
617;BORDERLINE;9=>2;9=>1
618;BORDERLINE;9=>2;9=>1
619;RARE;9=>2;9=>1
620;BORDERLINE;9=>2;9=>1
621;RARE;9=>2;9=>1
622;BORDERLINE;9=>2;9=>1
623;BORDERLINE;9=>2;9=>1
624;SAFE;9=>2;9=>1
625;BORDERLINE;9=>2;9=>1
626;RARE;9=>2;9=>1
627;SAFE;9=>2;9=>1
628;BORDERLINE;9=>2;9=>1
629;BORDERLINE;9=>2;9=>1
630;SAFE;9=>2;9=>1
631;RARE;9=>2;9=>1
632;SAFE;9=>2;9=>1
633;BORDERLINE;9=>2;9=>1
634;SAFE;9=>2;9=>1
635;BORDERLINE;9=>2;9=>1
636;OUTLIER;9=>2;9=>1
637;OUTLIER;9=>2;9=>1
638;OUTLIER;9=>2;9=>1
639;RARE;9=>2;9=>1
640;OUTLIER;9=>2;9=>1
641;SAFE;9=>2;9=>1
1214;SAFE;9=>2;9=>1
1215;BORDERLINE;9=>2;9=>1
1216;BORDERLINE;9=>2;9=>1
1217;SAFE;9=>2;9=>1
1218;OUTLIER;9=>2;9=>1
1219;SAFE;9=>2;9=>1
1220;SAFE;9=>2;9=>1
1221;SAFE;9=>2;9=>1
1222;BORDERLINE;9=>2;9=>1
1223;RARE;9=>2;9=>1
1224;SAFE;9=>2;9=>1
1225;OUTLIER;9=>2;9=>1
1226;BORDERLINE;9=>2;9=>1
1227;BORDERLINE;9=>2;9=>1
1228;SAFE;9=>2;9=>1
1229;BORDERLINE;9=>2;9=>1
1230;BORDERLINE;9=>2;9=>1
1231;RARE;9=>2;9=>1
1232;BORDERLINE;9=>2;9=>1
1233;BORDERLINE;9=>2;9=>1
1234;BORDERLINE;9=>2;9=>1
1235;RARE;9=>2;9=>1
1236;RARE;9=>2;9=>1
1237;BORDERLINE;9=>2;9=>1
1238;OUTLIER;9=>2;9=>1
1239;RARE;9=>2;9=>1
1240;OUTLIER;9=>2;9=>1
1241;OUTLIER;9=>2;9=>1
1242;RARE;9=>2;9=>1
1243;RARE;9=>2;9=>1
1244;BORDERLINE;9=>2;9=>1
1245;RARE;9=>2;9=>1
1246;BORDERLINE;9=>2;9=>1
1247;BORDERLINE;9=>2;9=>1
1248;RARE;9=>2;9=>1
1249;BORDERLINE;9=>2;9=>1
1250;RARE;9=>2;9=>1
1251;RARE;9=>2;9=>1
1252;SAFE;9=>2;9=>1
1253;RARE;9=>2;9=>1
1254;BORDERLINE;9=>2;9=>1
1255;OUTLIER;9=>2;9=>1
1256;BORDERLINE;9=>2;9=>1
1257;BORDERLINE;9=>2;9=>1
1258;SAFE;9=>2;9=>1
1259;RARE;9=>2;9=>1
1260;RARE;9=>2;9=>1
1261;BORDERLINE;9=>2;9=>1
1262;BORDERLINE;9=>2;9=>1
1263;SAFE;9=>2;9=>1
1264;RARE;9=>2;9=>1
1265;BORDERLINE;9=>2;9=>1
1266;BORDERLINE;9=>2;9=>1
1267;SAFE;9=>2;9=>1
1268;BORDERLINE;9=>2;9=>1
1269;OUTLIER;9=>2;9=>1
1270;SAFE;9=>2;9=>1
1271;RARE;9=>2;9=>1
1272;BORDERLINE;9=>2;9=>1
1273;BORDERLINE;9=>2;9=>1
1274;OUTLIER;9=>2;9=>1
1275;BORDERLINE;9=>2;9=>1
1276;BORDERLINE;9=>2;9=>1
1277;RARE;9=>2;9=>1
1278;RARE;9=>2;9=>1
1279;RARE;9=>2;9=>1
1280;SAFE;9=>2;9=>1
1281;BORDERLINE;9=>2;9=>1
1282;RARE;9=>2;9=>1
1283;RARE;9=>2;9=>1
1284;RARE;9=>2;9=>1
1285;RARE;9=>2;9=>1
1286;OUTLIER;9=>2;9=>1
1287;OUTLIER;9=>2;9=>1
1288;BORDERLINE;9=>2;9=>1
1289;RARE;9=>2;9=>1
1290;OUTLIER;9=>2;9=>1
1291;OUTLIER;9=>2;9=>1
1292;OUTLIER;9=>2;9=>1
1293;BORDERLINE;9=>2;9=>1
1294;BORDERLINE;9=>2;9=>1
1295;OUTLIER;9=>2;9=>1
1296;BORDERLINE;9=>2;9=>1
1297;BORDERLINE;9=>2;9=>1
1298;RARE;9=>2;9=>1
1299;BORDERLINE;9=>2;9=>1
1300;BORDERLINE;9=>2;9=>1
1301;OUTLIER;9=>2;9=>1
1302;BORDERLINE;9=>2;9=>1
1303;SAFE;9=>2;9=>1
1304;BORDERLINE;9=>2;9=>1
1305;RARE;9=>2;9=>1
1306;SAFE;9=>2;9=>1
1307;SAFE;9=>2;9=>1
1308;BORDERLINE;9=>2;9=>1
1309;SAFE;9=>2;9=>1
1310;BORDERLINE;9=>2;9=>1
1311;BORDERLINE;9=>2;9=>1
1312;RARE;9=>2;9=>1
1313;SAFE;9=>2;9=>1
1314;OUTLIER;9=>2;9=>1
1315;RARE;9=>2;9=>1
1316;OUTLIER;9=>2;9=>1
1317;SAFE;9=>2;9=>1
1318;SAFE;9=>2;9=>1
1319;RARE;9=>2;9=>1
415;BORDERLINE;9=>2;9=>1
416;BORDERLINE;9=>2;9=>1
417;OUTLIER;9=>2;9=>1
418;BORDERLINE;9=>2;9=>1
419;OUTLIER;9=>2;9=>1
420;BORDERLINE;9=>2;9=>1
421;BORDERLINE;9=>2;9=>1
422;RARE;9=>2;9=>1
423;OUTLIER;9=>2;9=>1
424;BORDERLINE;9=>2;9=>1
425;BORDERLINE;9=>2;9=>1
426;BORDERLINE;9=>2;9=>1
427;OUTLIER;9=>2;9=>1
428;OUTLIER;9=>2;9=>1
