index;type;minority_decision;majority_decision
512;OUTLIER;9=>2;9=>1
513;BORDERLINE;9=>2;9=>1
514;BORDERLINE;9=>2;9=>1
515;OUTLIER;9=>2;9=>1
516;BORDERLINE;9=>2;9=>1
517;BORDERLINE;9=>2;9=>1
518;BORDERLINE;9=>2;9=>1
519;OUTLIER;9=>2;9=>1
520;RARE;9=>2;9=>1
521;RARE;9=>2;9=>1
522;OUTLIER;9=>2;9=>1
523;OUTLIER;9=>2;9=>1
524;BORDERLINE;9=>2;9=>1
525;OUTLIER;9=>2;9=>1
526;BORDERLINE;9=>2;9=>1
527;BORDERLINE;9=>2;9=>1
528;SAFE;9=>2;9=>1
529;RARE;9=>2;9=>1
530;RARE;9=>2;9=>1
531;BORDERLINE;9=>2;9=>1
532;OUTLIER;9=>2;9=>1
533;OUTLIER;9=>2;9=>1
534;BORDERLINE;9=>2;9=>1
535;OUTLIER;9=>2;9=>1
536;BORDERLINE;9=>2;9=>1
537;SAFE;9=>2;9=>1
538;RARE;9=>2;9=>1
539;RARE;9=>2;9=>1
540;BORDERLINE;9=>2;9=>1
541;OUTLIER;9=>2;9=>1
542;RARE;9=>2;9=>1
543;BORDERLINE;9=>2;9=>1
544;BORDERLINE;9=>2;9=>1
545;RARE;9=>2;9=>1
546;RARE;9=>2;9=>1
547;RARE;9=>2;9=>1
548;SAFE;9=>2;9=>1
549;RARE;9=>2;9=>1
550;BORDERLINE;9=>2;9=>1
551;BORDERLINE;9=>2;9=>1
552;BORDERLINE;9=>2;9=>1
553;RARE;9=>2;9=>1
554;OUTLIER;9=>2;9=>1
555;OUTLIER;9=>2;9=>1
556;OUTLIER;9=>2;9=>1
557;OUTLIER;9=>2;9=>1
558;OUTLIER;9=>2;9=>1
559;OUTLIER;9=>2;9=>1
560;RARE;9=>2;9=>1
561;RARE;9=>2;9=>1
562;RARE;9=>2;9=>1
563;OUTLIER;9=>2;9=>1
564;BORDERLINE;9=>2;9=>1
565;BORDERLINE;9=>2;9=>1
566;RARE;9=>2;9=>1
567;BORDERLINE;9=>2;9=>1
568;BORDERLINE;9=>2;9=>1
569;SAFE;9=>2;9=>1
570;OUTLIER;9=>2;9=>1
571;OUTLIER;9=>2;9=>1
572;BORDERLINE;9=>2;9=>1
573;OUTLIER;9=>2;9=>1
574;SAFE;9=>2;9=>1
575;BORDERLINE;9=>2;9=>1
576;SAFE;9=>2;9=>1
577;OUTLIER;9=>2;9=>1
578;BORDERLINE;9=>2;9=>1
579;RARE;9=>2;9=>1
580;RARE;9=>2;9=>1
581;BORDERLINE;9=>2;9=>1
582;BORDERLINE;9=>2;9=>1
583;BORDERLINE;9=>2;9=>1
584;RARE;9=>2;9=>1
585;BORDERLINE;9=>2;9=>1
586;BORDERLINE;9=>2;9=>1
587;BORDERLINE;9=>2;9=>1
588;BORDERLINE;9=>2;9=>1
589;RARE;9=>2;9=>1
590;OUTLIER;9=>2;9=>1
591;BORDERLINE;9=>2;9=>1
592;RARE;9=>2;9=>1
593;RARE;9=>2;9=>1
594;BORDERLINE;9=>2;9=>1
595;BORDERLINE;9=>2;9=>1
596;BORDERLINE;9=>2;9=>1
597;BORDERLINE;9=>2;9=>1
598;RARE;9=>2;9=>1
599;BORDERLINE;9=>2;9=>1
600;RARE;9=>2;9=>1
601;RARE;9=>2;9=>1
602;BORDERLINE;9=>2;9=>1
603;RARE;9=>2;9=>1
604;OUTLIER;9=>2;9=>1
605;RARE;9=>2;9=>1
606;RARE;9=>2;9=>1
607;RARE;9=>2;9=>1
608;RARE;9=>2;9=>1
609;BORDERLINE;9=>2;9=>1
610;BORDERLINE;9=>2;9=>1
611;RARE;9=>2;9=>1
612;BORDERLINE;9=>2;9=>1
613;BORDERLINE;9=>2;9=>1
614;BORDERLINE;9=>2;9=>1
615;RARE;9=>2;9=>1
616;SAFE;9=>2;9=>1
617;RARE;9=>2;9=>1
618;RARE;9=>2;9=>1
619;BORDERLINE;9=>2;9=>1
620;BORDERLINE;9=>2;9=>1
621;OUTLIER;9=>2;9=>1
622;BORDERLINE;9=>2;9=>1
623;BORDERLINE;9=>2;9=>1
624;BORDERLINE;9=>2;9=>1
625;BORDERLINE;9=>2;9=>1
626;BORDERLINE;9=>2;9=>1
627;BORDERLINE;9=>2;9=>1
628;SAFE;9=>2;9=>1
629;SAFE;9=>2;9=>1
630;BORDERLINE;9=>2;9=>1
631;BORDERLINE;9=>2;9=>1
632;SAFE;9=>2;9=>1
633;BORDERLINE;9=>2;9=>1
634;RARE;9=>2;9=>1
635;BORDERLINE;9=>2;9=>1
636;OUTLIER;9=>2;9=>1
637;OUTLIER;9=>2;9=>1
638;RARE;9=>2;9=>1
639;RARE;9=>2;9=>1
640;OUTLIER;9=>2;9=>1
641;SAFE;9=>2;9=>1
1214;BORDERLINE;9=>2;9=>1
1215;RARE;9=>2;9=>1
1216;RARE;9=>2;9=>1
1217;BORDERLINE;9=>2;9=>1
1218;OUTLIER;9=>2;9=>1
1219;BORDERLINE;9=>2;9=>1
1220;RARE;9=>2;9=>1
1221;BORDERLINE;9=>2;9=>1
1222;SAFE;9=>2;9=>1
1223;RARE;9=>2;9=>1
1224;BORDERLINE;9=>2;9=>1
1225;RARE;9=>2;9=>1
1226;BORDERLINE;9=>2;9=>1
1227;BORDERLINE;9=>2;9=>1
1228;BORDERLINE;9=>2;9=>1
1229;OUTLIER;9=>2;9=>1
1230;RARE;9=>2;9=>1
1231;RARE;9=>2;9=>1
1232;BORDERLINE;9=>2;9=>1
1233;OUTLIER;9=>2;9=>1
1234;BORDERLINE;9=>2;9=>1
1235;RARE;9=>2;9=>1
1236;OUTLIER;9=>2;9=>1
1237;BORDERLINE;9=>2;9=>1
1238;RARE;9=>2;9=>1
1239;BORDERLINE;9=>2;9=>1
1240;OUTLIER;9=>2;9=>1
1241;OUTLIER;9=>2;9=>1
1242;BORDERLINE;9=>2;9=>1
1243;OUTLIER;9=>2;9=>1
1244;RARE;9=>2;9=>1
1245;BORDERLINE;9=>2;9=>1
1246;BORDERLINE;9=>2;9=>1
1247;OUTLIER;9=>2;9=>1
1248;RARE;9=>2;9=>1
1249;BORDERLINE;9=>2;9=>1
1250;OUTLIER;9=>2;9=>1
1251;BORDERLINE;9=>2;9=>1
1252;BORDERLINE;9=>2;9=>1
1253;BORDERLINE;9=>2;9=>1
1254;BORDERLINE;9=>2;9=>1
1255;OUTLIER;9=>2;9=>1
1256;RARE;9=>2;9=>1
1257;BORDERLINE;9=>2;9=>1
1258;BORDERLINE;9=>2;9=>1
1259;RARE;9=>2;9=>1
1260;OUTLIER;9=>2;9=>1
1261;BORDERLINE;9=>2;9=>1
1262;BORDERLINE;9=>2;9=>1
1263;BORDERLINE;9=>2;9=>1
1264;BORDERLINE;9=>2;9=>1
1265;BORDERLINE;9=>2;9=>1
1266;BORDERLINE;9=>2;9=>1
1267;SAFE;9=>2;9=>1
1268;BORDERLINE;9=>2;9=>1
1269;RARE;9=>2;9=>1
1270;SAFE;9=>2;9=>1
1271;RARE;9=>2;9=>1
1272;BORDERLINE;9=>2;9=>1
1273;BORDERLINE;9=>2;9=>1
1274;OUTLIER;9=>2;9=>1
1275;OUTLIER;9=>2;9=>1
1276;RARE;9=>2;9=>1
1277;BORDERLINE;9=>2;9=>1
1278;BORDERLINE;9=>2;9=>1
1279;SAFE;9=>2;9=>1
1280;BORDERLINE;9=>2;9=>1
1281;BORDERLINE;9=>2;9=>1
1282;RARE;9=>2;9=>1
1283;BORDERLINE;9=>2;9=>1
1284;OUTLIER;9=>2;9=>1
1285;RARE;9=>2;9=>1
1286;OUTLIER;9=>2;9=>1
1287;BORDERLINE;9=>2;9=>1
1288;BORDERLINE;9=>2;9=>1
1289;RARE;9=>2;9=>1
1290;OUTLIER;9=>2;9=>1
1291;BORDERLINE;9=>2;9=>1
1292;BORDERLINE;9=>2;9=>1
1293;BORDERLINE;9=>2;9=>1
1294;BORDERLINE;9=>2;9=>1
1295;RARE;9=>2;9=>1
1296;BORDERLINE;9=>2;9=>1
1297;BORDERLINE;9=>2;9=>1
1298;BORDERLINE;9=>2;9=>1
1299;RARE;9=>2;9=>1
1300;RARE;9=>2;9=>1
1301;OUTLIER;9=>2;9=>1
1302;BORDERLINE;9=>2;9=>1
1303;BORDERLINE;9=>2;9=>1
1304;BORDERLINE;9=>2;9=>1
1305;RARE;9=>2;9=>1
1306;RARE;9=>2;9=>1
1307;BORDERLINE;9=>2;9=>1
1308;BORDERLINE;9=>2;9=>1
1309;BORDERLINE;9=>2;9=>1
1310;RARE;9=>2;9=>1
1311;BORDERLINE;9=>2;9=>1
1312;RARE;9=>2;9=>1
1313;BORDERLINE;9=>2;9=>1
1314;OUTLIER;9=>2;9=>1
1315;RARE;9=>2;9=>1
1316;OUTLIER;9=>2;9=>1
1317;SAFE;9=>2;9=>1
1318;SAFE;9=>2;9=>1
1319;BORDERLINE;9=>2;9=>1
415;BORDERLINE;9=>2;9=>1
416;BORDERLINE;9=>2;9=>1
417;OUTLIER;9=>2;9=>1
418;RARE;9=>2;9=>1
419;RARE;9=>2;9=>1
420;BORDERLINE;9=>2;9=>1
421;BORDERLINE;9=>2;9=>1
422;BORDERLINE;9=>2;9=>1
423;RARE;9=>2;9=>1
424;BORDERLINE;9=>2;9=>1
425;RARE;9=>2;9=>1
426;SAFE;9=>2;9=>1
427;OUTLIER;9=>2;9=>1
428;OUTLIER;9=>2;9=>1
429;BORDERLINE;9=>2;9=>1
430;BORDERLINE;9=>2;9=>1
431;OUTLIER;9=>2;9=>1
432;OUTLIER;9=>2;9=>1
433;OUTLIER;9=>2;9=>1
434;RARE;9=>2;9=>1
435;BORDERLINE;9=>2;9=>1
436;BORDERLINE;9=>2;9=>1
437;OUTLIER;9=>2;9=>1
438;RARE;9=>2;9=>1
439;RARE;9=>2;9=>1
440;BORDERLINE;9=>2;9=>1
441;BORDERLINE;9=>2;9=>1
442;BORDERLINE;9=>2;9=>1
443;BORDERLINE;9=>2;9=>1
444;RARE;9=>2;9=>1
445;BORDERLINE;9=>2;9=>1
446;BORDERLINE;9=>2;9=>1
447;BORDERLINE;9=>2;9=>1
448;SAFE;9=>2;9=>1
449;RARE;9=>2;9=>1
450;BORDERLINE;9=>2;9=>1
451;BORDERLINE;9=>2;9=>1
452;OUTLIER;9=>2;9=>1
453;OUTLIER;9=>2;9=>1
454;OUTLIER;9=>2;9=>1
455;RARE;9=>2;9=>1
456;SAFE;9=>2;9=>1
457;OUTLIER;9=>2;9=>1
458;BORDERLINE;9=>2;9=>1
459;BORDERLINE;9=>2;9=>1
460;BORDERLINE;9=>2;9=>1
461;OUTLIER;9=>2;9=>1
462;SAFE;9=>2;9=>1
463;BORDERLINE;9=>2;9=>1
464;RARE;9=>2;9=>1
465;OUTLIER;9=>2;9=>1
466;RARE;9=>2;9=>1
467;BORDERLINE;9=>2;9=>1
468;OUTLIER;9=>2;9=>1
469;BORDERLINE;9=>2;9=>1
470;RARE;9=>2;9=>1
471;BORDERLINE;9=>2;9=>1
472;BORDERLINE;9=>2;9=>1
473;RARE;9=>2;9=>1
474;BORDERLINE;9=>2;9=>1
475;BORDERLINE;9=>2;9=>1
476;BORDERLINE;9=>2;9=>1
477;BORDERLINE;9=>2;9=>1
