index;type;minority_decision;majority_decision
258;RARE;3=>2;3=>1
259;RARE;3=>2;3=>1
260;BORDERLINE;3=>2;3=>1
261;RARE;3=>2;3=>1
7;OUTLIER;3=>2;3=>1
8;OUTLIER;3=>2;3=>1
136;SAFE;3=>2;3=>1
137;BORDERLINE;3=>2;3=>1
268;RARE;3=>2;3=>1
269;BORDERLINE;3=>2;3=>1
142;BORDERLINE;3=>2;3=>1
143;BORDERLINE;3=>2;3=>1
144;OUTLIER;3=>2;3=>1
145;BORDERLINE;3=>2;3=>1
273;BORDERLINE;3=>2;3=>1
274;OUTLIER;3=>2;3=>1
24;BORDERLINE;3=>2;3=>1
281;BORDERLINE;3=>2;3=>1
156;BORDERLINE;3=>2;3=>1
157;OUTLIER;3=>2;3=>1
285;BORDERLINE;3=>2;3=>1
158;BORDERLINE;3=>2;3=>1
286;BORDERLINE;3=>2;3=>1
159;RARE;3=>2;3=>1
160;BORDERLINE;3=>2;3=>1
161;BORDERLINE;3=>2;3=>1
34;RARE;3=>2;3=>1
293;OUTLIER;3=>2;3=>1
167;BORDERLINE;3=>2;3=>1
168;BORDERLINE;3=>2;3=>1
169;BORDERLINE;3=>2;3=>1
170;BORDERLINE;3=>2;3=>1
43;BORDERLINE;3=>2;3=>1
299;RARE;3=>2;3=>1
44;BORDERLINE;3=>2;3=>1
45;BORDERLINE;3=>2;3=>1
304;RARE;3=>2;3=>1
305;BORDERLINE;3=>2;3=>1
180;OUTLIER;3=>2;3=>1
53;BORDERLINE;3=>2;3=>1
181;BORDERLINE;3=>2;3=>1
54;RARE;3=>2;3=>1
62;BORDERLINE;3=>2;3=>1
190;BORDERLINE;3=>2;3=>1
63;RARE;3=>2;3=>1
191;BORDERLINE;3=>2;3=>1
64;BORDERLINE;3=>2;3=>1
65;BORDERLINE;3=>2;3=>1
197;RARE;3=>2;3=>1
198;BORDERLINE;3=>2;3=>1
199;OUTLIER;3=>2;3=>1
73;RARE;3=>2;3=>1
74;BORDERLINE;3=>2;3=>1
75;BORDERLINE;3=>2;3=>1
80;RARE;3=>2;3=>1
81;RARE;3=>2;3=>1
82;RARE;3=>2;3=>1
215;BORDERLINE;3=>2;3=>1
89;BORDERLINE;3=>2;3=>1
90;BORDERLINE;3=>2;3=>1
91;OUTLIER;3=>2;3=>1
92;BORDERLINE;3=>2;3=>1
223;SAFE;3=>2;3=>1
96;BORDERLINE;3=>2;3=>1
224;RARE;3=>2;3=>1
97;OUTLIER;3=>2;3=>1
98;BORDERLINE;3=>2;3=>1
229;BORDERLINE;3=>2;3=>1
230;RARE;3=>2;3=>1
231;OUTLIER;3=>2;3=>1
107;SAFE;3=>2;3=>1
108;SAFE;3=>2;3=>1
109;BORDERLINE;3=>2;3=>1
238;BORDERLINE;3=>2;3=>1
239;BORDERLINE;3=>2;3=>1
240;BORDERLINE;3=>2;3=>1
114;RARE;3=>2;3=>1
115;BORDERLINE;3=>2;3=>1
245;OUTLIER;3=>2;3=>1
124;BORDERLINE;3=>2;3=>1
125;RARE;3=>2;3=>1
