index;type;minority_decision;majority_decision
258;RARE;3=>2;3=>1
259;RARE;3=>2;3=>1
260;BORDERLINE;3=>2;3=>1
261;BORDERLINE;3=>2;3=>1
7;OUTLIER;3=>2;3=>1
8;OUTLIER;3=>2;3=>1
136;SAFE;3=>2;3=>1
137;BORDERLINE;3=>2;3=>1
268;RARE;3=>2;3=>1
269;BORDERLINE;3=>2;3=>1
142;RARE;3=>2;3=>1
143;BORDERLINE;3=>2;3=>1
144;RARE;3=>2;3=>1
145;BORDERLINE;3=>2;3=>1
273;BORDERLINE;3=>2;3=>1
274;OUTLIER;3=>2;3=>1
24;BORDERLINE;3=>2;3=>1
281;BORDERLINE;3=>2;3=>1
156;RARE;3=>2;3=>1
157;OUTLIER;3=>2;3=>1
285;RARE;3=>2;3=>1
158;BORDERLINE;3=>2;3=>1
286;RARE;3=>2;3=>1
159;BORDERLINE;3=>2;3=>1
160;BORDERLINE;3=>2;3=>1
161;SAFE;3=>2;3=>1
34;OUTLIER;3=>2;3=>1
293;OUTLIER;3=>2;3=>1
167;SAFE;3=>2;3=>1
168;BORDERLINE;3=>2;3=>1
169;BORDERLINE;3=>2;3=>1
170;BORDERLINE;3=>2;3=>1
43;BORDERLINE;3=>2;3=>1
299;OUTLIER;3=>2;3=>1
44;RARE;3=>2;3=>1
45;RARE;3=>2;3=>1
304;RARE;3=>2;3=>1
305;RARE;3=>2;3=>1
180;BORDERLINE;3=>2;3=>1
53;RARE;3=>2;3=>1
181;BORDERLINE;3=>2;3=>1
54;OUTLIER;3=>2;3=>1
62;BORDERLINE;3=>2;3=>1
190;BORDERLINE;3=>2;3=>1
63;OUTLIER;3=>2;3=>1
191;RARE;3=>2;3=>1
64;RARE;3=>2;3=>1
65;RARE;3=>2;3=>1
197;BORDERLINE;3=>2;3=>1
198;BORDERLINE;3=>2;3=>1
199;OUTLIER;3=>2;3=>1
73;BORDERLINE;3=>2;3=>1
74;BORDERLINE;3=>2;3=>1
75;RARE;3=>2;3=>1
80;BORDERLINE;3=>2;3=>1
81;RARE;3=>2;3=>1
82;RARE;3=>2;3=>1
215;BORDERLINE;3=>2;3=>1
89;OUTLIER;3=>2;3=>1
90;RARE;3=>2;3=>1
91;RARE;3=>2;3=>1
92;BORDERLINE;3=>2;3=>1
223;BORDERLINE;3=>2;3=>1
96;BORDERLINE;3=>2;3=>1
224;RARE;3=>2;3=>1
97;RARE;3=>2;3=>1
98;RARE;3=>2;3=>1
229;OUTLIER;3=>2;3=>1
230;RARE;3=>2;3=>1
231;RARE;3=>2;3=>1
107;BORDERLINE;3=>2;3=>1
108;BORDERLINE;3=>2;3=>1
109;RARE;3=>2;3=>1
238;BORDERLINE;3=>2;3=>1
239;RARE;3=>2;3=>1
240;SAFE;3=>2;3=>1
114;OUTLIER;3=>2;3=>1
115;SAFE;3=>2;3=>1
245;OUTLIER;3=>2;3=>1
124;SAFE;3=>2;3=>1
125;OUTLIER;3=>2;3=>1
