index;type;minority_decision;majority_decision
129;RARE;19=>1;19=>2
67;RARE;19=>1;19=>2
131;RARE;19=>1;19=>2
6;RARE;19=>1;19=>2
134;BORDERLINE;19=>1;19=>2
71;OUTLIER;19=>1;19=>2
138;RARE;19=>1;19=>2
76;RARE;19=>1;19=>2
141;RARE;19=>1;19=>2
143;RARE;19=>1;19=>2
144;RARE;19=>1;19=>2
146;BORDERLINE;19=>1;19=>2
147;OUTLIER;19=>1;19=>2
86;RARE;19=>1;19=>2
150;OUTLIER;19=>1;19=>2
87;RARE;19=>1;19=>2
88;RARE;19=>1;19=>2
154;RARE;19=>1;19=>2
91;RARE;19=>1;19=>2
30;OUTLIER;19=>1;19=>2
94;RARE;19=>1;19=>2
31;RARE;19=>1;19=>2
98;RARE;19=>1;19=>2
35;RARE;19=>1;19=>2
100;BORDERLINE;19=>1;19=>2
104;RARE;19=>1;19=>2
106;RARE;19=>1;19=>2
109;RARE;19=>1;19=>2
111;RARE;19=>1;19=>2
118;RARE;19=>1;19=>2
120;RARE;19=>1;19=>2
127;RARE;19=>1;19=>2
