index;type;minority_decision;majority_decision
706;RARE;12=>F;12=>rest
644;RARE;12=>F;12=>rest
197;BORDERLINE;12=>F;12=>rest
1029;OUTLIER;12=>F;12=>rest
519;RARE;12=>F;12=>rest
712;RARE;12=>F;12=>rest
970;BORDERLINE;12=>F;12=>rest
844;OUTLIER;12=>F;12=>rest
653;OUTLIER;12=>F;12=>rest
717;OUTLIER;12=>F;12=>rest
206;BORDERLINE;12=>F;12=>rest
79;BORDERLINE;12=>F;12=>rest
528;RARE;12=>F;12=>rest
722;OUTLIER;12=>F;12=>rest
661;RARE;12=>F;12=>rest
87;BORDERLINE;12=>F;12=>rest
215;RARE;12=>F;12=>rest
600;OUTLIER;12=>F;12=>rest
728;RARE;12=>F;12=>rest
538;OUTLIER;12=>F;12=>rest
670;OUTLIER;12=>F;12=>rest
223;OUTLIER;12=>F;12=>rest
608;OUTLIER;12=>F;12=>rest
97;SAFE;12=>F;12=>rest
674;OUTLIER;12=>F;12=>rest
231;BORDERLINE;12=>F;12=>rest
679;OUTLIER;12=>F;12=>rest
999;RARE;12=>F;12=>rest
105;SAFE;12=>F;12=>rest
111;RARE;12=>F;12=>rest
687;OUTLIER;12=>F;12=>rest
242;OUTLIER;12=>F;12=>rest
1010;RARE;12=>F;12=>rest
692;RARE;12=>F;12=>rest
117;RARE;12=>F;12=>rest
950;OUTLIER;12=>F;12=>rest
124;RARE;12=>F;12=>rest
188;RARE;12=>F;12=>rest
700;SAFE;12=>F;12=>rest
1020;OUTLIER;12=>F;12=>rest
509;OUTLIER;12=>F;12=>rest
254;OUTLIER;12=>F;12=>rest
959;BORDERLINE;12=>F;12=>rest
