index;type;minority_decision;majority_decision
706;OUTLIER;12=>F;12=>rest
644;BORDERLINE;12=>F;12=>rest
197;RARE;12=>F;12=>rest
1029;OUTLIER;12=>F;12=>rest
519;RARE;12=>F;12=>rest
712;RARE;12=>F;12=>rest
970;BORDERLINE;12=>F;12=>rest
844;OUTLIER;12=>F;12=>rest
653;BORDERLINE;12=>F;12=>rest
717;OUTLIER;12=>F;12=>rest
206;RARE;12=>F;12=>rest
79;RARE;12=>F;12=>rest
528;BORDERLINE;12=>F;12=>rest
722;OUTLIER;12=>F;12=>rest
661;OUTLIER;12=>F;12=>rest
87;RARE;12=>F;12=>rest
215;RARE;12=>F;12=>rest
600;OUTLIER;12=>F;12=>rest
728;RARE;12=>F;12=>rest
538;OUTLIER;12=>F;12=>rest
670;BORDERLINE;12=>F;12=>rest
223;RARE;12=>F;12=>rest
608;OUTLIER;12=>F;12=>rest
97;BORDERLINE;12=>F;12=>rest
674;OUTLIER;12=>F;12=>rest
231;RARE;12=>F;12=>rest
679;OUTLIER;12=>F;12=>rest
999;RARE;12=>F;12=>rest
105;BORDERLINE;12=>F;12=>rest
111;RARE;12=>F;12=>rest
687;OUTLIER;12=>F;12=>rest
242;OUTLIER;12=>F;12=>rest
1010;BORDERLINE;12=>F;12=>rest
692;BORDERLINE;12=>F;12=>rest
117;OUTLIER;12=>F;12=>rest
950;BORDERLINE;12=>F;12=>rest
124;BORDERLINE;12=>F;12=>rest
188;OUTLIER;12=>F;12=>rest
700;SAFE;12=>F;12=>rest
1020;OUTLIER;12=>F;12=>rest
509;RARE;12=>F;12=>rest
254;OUTLIER;12=>F;12=>rest
959;BORDERLINE;12=>F;12=>rest
