index;type;minority_decision;majority_decision
0;OUTLIER;4=>1;4=>0
1;SAFE;4=>1;4=>0
2;OUTLIER;4=>1;4=>0
514;OUTLIER;4=>1;4=>0
3;SAFE;4=>1;4=>0
516;BORDERLINE;4=>1;4=>0
261;OUTLIER;4=>1;4=>0
517;OUTLIER;4=>1;4=>0
6;SAFE;4=>1;4=>0
518;SAFE;4=>1;4=>0
263;OUTLIER;4=>1;4=>0
519;SAFE;4=>1;4=>0
8;SAFE;4=>1;4=>0
520;SAFE;4=>1;4=>0
9;OUTLIER;4=>1;4=>0
265;OUTLIER;4=>1;4=>0
521;SAFE;4=>1;4=>0
522;RARE;4=>1;4=>0
523;BORDERLINE;4=>1;4=>0
12;BORDERLINE;4=>1;4=>0
14;BORDERLINE;4=>1;4=>0
526;BORDERLINE;4=>1;4=>0
15;BORDERLINE;4=>1;4=>0
16;BORDERLINE;4=>1;4=>0
17;SAFE;4=>1;4=>0
529;BORDERLINE;4=>1;4=>0
18;BORDERLINE;4=>1;4=>0
530;BORDERLINE;4=>1;4=>0
19;BORDERLINE;4=>1;4=>0
531;BORDERLINE;4=>1;4=>0
20;BORDERLINE;4=>1;4=>0
22;BORDERLINE;4=>1;4=>0
23;BORDERLINE;4=>1;4=>0
535;BORDERLINE;4=>1;4=>0
536;SAFE;4=>1;4=>0
281;RARE;4=>1;4=>0
537;BORDERLINE;4=>1;4=>0
538;SAFE;4=>1;4=>0
27;BORDERLINE;4=>1;4=>0
539;RARE;4=>1;4=>0
28;SAFE;4=>1;4=>0
540;BORDERLINE;4=>1;4=>0
542;BORDERLINE;4=>1;4=>0
31;SAFE;4=>1;4=>0
287;OUTLIER;4=>1;4=>0
543;RARE;4=>1;4=>0
32;SAFE;4=>1;4=>0
288;RARE;4=>1;4=>0
33;BORDERLINE;4=>1;4=>0
289;RARE;4=>1;4=>0
545;RARE;4=>1;4=>0
290;RARE;4=>1;4=>0
35;BORDERLINE;4=>1;4=>0
36;BORDERLINE;4=>1;4=>0
548;SAFE;4=>1;4=>0
37;BORDERLINE;4=>1;4=>0
549;BORDERLINE;4=>1;4=>0
38;BORDERLINE;4=>1;4=>0
39;BORDERLINE;4=>1;4=>0
551;BORDERLINE;4=>1;4=>0
40;BORDERLINE;4=>1;4=>0
552;BORDERLINE;4=>1;4=>0
42;BORDERLINE;4=>1;4=>0
44;SAFE;4=>1;4=>0
45;SAFE;4=>1;4=>0
560;OUTLIER;4=>1;4=>0
305;OUTLIER;4=>1;4=>0
562;OUTLIER;4=>1;4=>0
51;BORDERLINE;4=>1;4=>0
54;BORDERLINE;4=>1;4=>0
55;SAFE;4=>1;4=>0
56;BORDERLINE;4=>1;4=>0
568;BORDERLINE;4=>1;4=>0
57;BORDERLINE;4=>1;4=>0
572;BORDERLINE;4=>1;4=>0
61;SAFE;4=>1;4=>0
318;OUTLIER;4=>1;4=>0
574;BORDERLINE;4=>1;4=>0
63;BORDERLINE;4=>1;4=>0
575;BORDERLINE;4=>1;4=>0
64;BORDERLINE;4=>1;4=>0
576;RARE;4=>1;4=>0
321;OUTLIER;4=>1;4=>0
66;BORDERLINE;4=>1;4=>0
323;OUTLIER;4=>1;4=>0
581;RARE;4=>1;4=>0
72;BORDERLINE;4=>1;4=>0
328;RARE;4=>1;4=>0
