index;type;minority_decision;majority_decision
0;BORDERLINE;4=>1;4=>0
1;BORDERLINE;4=>1;4=>0
2;BORDERLINE;4=>1;4=>0
514;BORDERLINE;4=>1;4=>0
3;SAFE;4=>1;4=>0
516;SAFE;4=>1;4=>0
261;RARE;4=>1;4=>0
517;BORDERLINE;4=>1;4=>0
6;BORDERLINE;4=>1;4=>0
518;SAFE;4=>1;4=>0
263;RARE;4=>1;4=>0
519;SAFE;4=>1;4=>0
8;BORDERLINE;4=>1;4=>0
520;RARE;4=>1;4=>0
9;BORDERLINE;4=>1;4=>0
265;OUTLIER;4=>1;4=>0
521;RARE;4=>1;4=>0
522;BORDERLINE;4=>1;4=>0
523;RARE;4=>1;4=>0
12;SAFE;4=>1;4=>0
14;SAFE;4=>1;4=>0
526;BORDERLINE;4=>1;4=>0
15;BORDERLINE;4=>1;4=>0
16;RARE;4=>1;4=>0
17;OUTLIER;4=>1;4=>0
529;BORDERLINE;4=>1;4=>0
18;SAFE;4=>1;4=>0
530;BORDERLINE;4=>1;4=>0
19;BORDERLINE;4=>1;4=>0
531;BORDERLINE;4=>1;4=>0
20;BORDERLINE;4=>1;4=>0
22;SAFE;4=>1;4=>0
23;SAFE;4=>1;4=>0
535;BORDERLINE;4=>1;4=>0
536;BORDERLINE;4=>1;4=>0
281;RARE;4=>1;4=>0
537;BORDERLINE;4=>1;4=>0
538;SAFE;4=>1;4=>0
27;RARE;4=>1;4=>0
539;BORDERLINE;4=>1;4=>0
28;SAFE;4=>1;4=>0
540;BORDERLINE;4=>1;4=>0
542;OUTLIER;4=>1;4=>0
31;SAFE;4=>1;4=>0
287;OUTLIER;4=>1;4=>0
543;RARE;4=>1;4=>0
32;SAFE;4=>1;4=>0
288;RARE;4=>1;4=>0
33;BORDERLINE;4=>1;4=>0
289;RARE;4=>1;4=>0
545;RARE;4=>1;4=>0
290;RARE;4=>1;4=>0
35;RARE;4=>1;4=>0
36;OUTLIER;4=>1;4=>0
548;OUTLIER;4=>1;4=>0
37;SAFE;4=>1;4=>0
549;BORDERLINE;4=>1;4=>0
38;BORDERLINE;4=>1;4=>0
39;BORDERLINE;4=>1;4=>0
551;BORDERLINE;4=>1;4=>0
40;RARE;4=>1;4=>0
552;BORDERLINE;4=>1;4=>0
42;BORDERLINE;4=>1;4=>0
44;SAFE;4=>1;4=>0
45;BORDERLINE;4=>1;4=>0
560;BORDERLINE;4=>1;4=>0
305;OUTLIER;4=>1;4=>0
562;OUTLIER;4=>1;4=>0
51;BORDERLINE;4=>1;4=>0
54;SAFE;4=>1;4=>0
55;BORDERLINE;4=>1;4=>0
56;RARE;4=>1;4=>0
568;BORDERLINE;4=>1;4=>0
57;RARE;4=>1;4=>0
572;RARE;4=>1;4=>0
61;SAFE;4=>1;4=>0
318;OUTLIER;4=>1;4=>0
574;BORDERLINE;4=>1;4=>0
63;BORDERLINE;4=>1;4=>0
575;BORDERLINE;4=>1;4=>0
64;BORDERLINE;4=>1;4=>0
576;RARE;4=>1;4=>0
321;RARE;4=>1;4=>0
66;BORDERLINE;4=>1;4=>0
323;BORDERLINE;4=>1;4=>0
581;RARE;4=>1;4=>0
72;BORDERLINE;4=>1;4=>0
328;OUTLIER;4=>1;4=>0
74;RARE;4=>1;4=>0
586;RARE;4=>1;4=>0
75;RARE;4=>1;4=>0
76;OUTLIER;4=>1;4=>0
332;RARE;4=>1;4=>0
333;RARE;4=>1;4=>0
335;RARE;4=>1;4=>0
80;BORDERLINE;4=>1;4=>0
593;BORDERLINE;4=>1;4=>0
338;OUTLIER;4=>1;4=>0
84;BORDERLINE;4=>1;4=>0
596;RARE;4=>1;4=>0
89;BORDERLINE;4=>1;4=>0
90;OUTLIER;4=>1;4=>0
97;OUTLIER;4=>1;4=>0
98;BORDERLINE;4=>1;4=>0
99;RARE;4=>1;4=>0
100;SAFE;4=>1;4=>0
612;OUTLIER;4=>1;4=>0
101;RARE;4=>1;4=>0
618;OUTLIER;4=>1;4=>0
365;RARE;4=>1;4=>0
110;RARE;4=>1;4=>0
622;RARE;4=>1;4=>0
624;RARE;4=>1;4=>0
113;SAFE;4=>1;4=>0
369;RARE;4=>1;4=>0
370;OUTLIER;4=>1;4=>0
116;OUTLIER;4=>1;4=>0
119;RARE;4=>1;4=>0
375;RARE;4=>1;4=>0
120;RARE;4=>1;4=>0
121;RARE;4=>1;4=>0
122;BORDERLINE;4=>1;4=>0
123;BORDERLINE;4=>1;4=>0
126;RARE;4=>1;4=>0
639;RARE;4=>1;4=>0
128;BORDERLINE;4=>1;4=>0
640;BORDERLINE;4=>1;4=>0
