index;type;minority_decision;majority_decision
0;OUTLIER;4=>1;4=>0
1;BORDERLINE;4=>1;4=>0
2;BORDERLINE;4=>1;4=>0
514;BORDERLINE;4=>1;4=>0
3;BORDERLINE;4=>1;4=>0
516;RARE;4=>1;4=>0
261;BORDERLINE;4=>1;4=>0
517;SAFE;4=>1;4=>0
6;RARE;4=>1;4=>0
518;BORDERLINE;4=>1;4=>0
263;RARE;4=>1;4=>0
519;BORDERLINE;4=>1;4=>0
8;RARE;4=>1;4=>0
520;BORDERLINE;4=>1;4=>0
9;SAFE;4=>1;4=>0
265;RARE;4=>1;4=>0
521;BORDERLINE;4=>1;4=>0
522;BORDERLINE;4=>1;4=>0
523;BORDERLINE;4=>1;4=>0
12;BORDERLINE;4=>1;4=>0
14;RARE;4=>1;4=>0
526;RARE;4=>1;4=>0
15;RARE;4=>1;4=>0
16;BORDERLINE;4=>1;4=>0
17;RARE;4=>1;4=>0
529;RARE;4=>1;4=>0
18;RARE;4=>1;4=>0
530;RARE;4=>1;4=>0
19;RARE;4=>1;4=>0
531;RARE;4=>1;4=>0
20;RARE;4=>1;4=>0
22;RARE;4=>1;4=>0
23;RARE;4=>1;4=>0
535;RARE;4=>1;4=>0
536;RARE;4=>1;4=>0
281;RARE;4=>1;4=>0
537;RARE;4=>1;4=>0
538;BORDERLINE;4=>1;4=>0
27;RARE;4=>1;4=>0
539;RARE;4=>1;4=>0
28;RARE;4=>1;4=>0
540;RARE;4=>1;4=>0
542;BORDERLINE;4=>1;4=>0
31;BORDERLINE;4=>1;4=>0
287;RARE;4=>1;4=>0
543;RARE;4=>1;4=>0
32;BORDERLINE;4=>1;4=>0
288;RARE;4=>1;4=>0
33;RARE;4=>1;4=>0
289;RARE;4=>1;4=>0
545;RARE;4=>1;4=>0
290;RARE;4=>1;4=>0
35;BORDERLINE;4=>1;4=>0
36;RARE;4=>1;4=>0
548;RARE;4=>1;4=>0
37;RARE;4=>1;4=>0
549;RARE;4=>1;4=>0
38;BORDERLINE;4=>1;4=>0
39;RARE;4=>1;4=>0
