index;type;minority_decision;majority_decision
0;BORDERLINE;4=>1;4=>0
1;RARE;4=>1;4=>0
2;BORDERLINE;4=>1;4=>0
514;BORDERLINE;4=>1;4=>0
3;SAFE;4=>1;4=>0
516;SAFE;4=>1;4=>0
261;OUTLIER;4=>1;4=>0
517;BORDERLINE;4=>1;4=>0
6;SAFE;4=>1;4=>0
518;SAFE;4=>1;4=>0
263;OUTLIER;4=>1;4=>0
519;SAFE;4=>1;4=>0
8;SAFE;4=>1;4=>0
520;BORDERLINE;4=>1;4=>0
9;BORDERLINE;4=>1;4=>0
265;OUTLIER;4=>1;4=>0
521;SAFE;4=>1;4=>0
522;BORDERLINE;4=>1;4=>0
523;BORDERLINE;4=>1;4=>0
12;SAFE;4=>1;4=>0
14;SAFE;4=>1;4=>0
526;BORDERLINE;4=>1;4=>0
15;BORDERLINE;4=>1;4=>0
16;BORDERLINE;4=>1;4=>0
17;BORDERLINE;4=>1;4=>0
529;BORDERLINE;4=>1;4=>0
18;SAFE;4=>1;4=>0
530;SAFE;4=>1;4=>0
19;SAFE;4=>1;4=>0
531;BORDERLINE;4=>1;4=>0
20;SAFE;4=>1;4=>0
22;BORDERLINE;4=>1;4=>0
23;BORDERLINE;4=>1;4=>0
535;SAFE;4=>1;4=>0
536;SAFE;4=>1;4=>0
281;RARE;4=>1;4=>0
537;BORDERLINE;4=>1;4=>0
538;SAFE;4=>1;4=>0
27;BORDERLINE;4=>1;4=>0
539;BORDERLINE;4=>1;4=>0
28;SAFE;4=>1;4=>0
540;BORDERLINE;4=>1;4=>0
542;RARE;4=>1;4=>0
31;SAFE;4=>1;4=>0
287;OUTLIER;4=>1;4=>0
543;RARE;4=>1;4=>0
32;SAFE;4=>1;4=>0
288;BORDERLINE;4=>1;4=>0
33;SAFE;4=>1;4=>0
289;BORDERLINE;4=>1;4=>0
545;RARE;4=>1;4=>0
290;BORDERLINE;4=>1;4=>0
35;BORDERLINE;4=>1;4=>0
36;BORDERLINE;4=>1;4=>0
548;BORDERLINE;4=>1;4=>0
37;BORDERLINE;4=>1;4=>0
549;BORDERLINE;4=>1;4=>0
38;BORDERLINE;4=>1;4=>0
39;BORDERLINE;4=>1;4=>0
551;BORDERLINE;4=>1;4=>0
40;BORDERLINE;4=>1;4=>0
552;RARE;4=>1;4=>0
42;BORDERLINE;4=>1;4=>0
44;BORDERLINE;4=>1;4=>0
45;SAFE;4=>1;4=>0
560;BORDERLINE;4=>1;4=>0
305;OUTLIER;4=>1;4=>0
562;OUTLIER;4=>1;4=>0
51;BORDERLINE;4=>1;4=>0
54;SAFE;4=>1;4=>0
55;BORDERLINE;4=>1;4=>0
56;BORDERLINE;4=>1;4=>0
568;BORDERLINE;4=>1;4=>0
57;BORDERLINE;4=>1;4=>0
572;RARE;4=>1;4=>0
61;SAFE;4=>1;4=>0
318;OUTLIER;4=>1;4=>0
574;BORDERLINE;4=>1;4=>0
63;SAFE;4=>1;4=>0
575;BORDERLINE;4=>1;4=>0
64;BORDERLINE;4=>1;4=>0
576;BORDERLINE;4=>1;4=>0
321;OUTLIER;4=>1;4=>0
66;BORDERLINE;4=>1;4=>0
323;OUTLIER;4=>1;4=>0
581;RARE;4=>1;4=>0
72;BORDERLINE;4=>1;4=>0
328;BORDERLINE;4=>1;4=>0
74;RARE;4=>1;4=>0
586;RARE;4=>1;4=>0
75;RARE;4=>1;4=>0
76;OUTLIER;4=>1;4=>0
332;OUTLIER;4=>1;4=>0
333;BORDERLINE;4=>1;4=>0
335;OUTLIER;4=>1;4=>0
80;BORDERLINE;4=>1;4=>0
593;OUTLIER;4=>1;4=>0
338;OUTLIER;4=>1;4=>0
84;BORDERLINE;4=>1;4=>0
596;RARE;4=>1;4=>0
89;SAFE;4=>1;4=>0
90;OUTLIER;4=>1;4=>0
97;BORDERLINE;4=>1;4=>0
98;BORDERLINE;4=>1;4=>0
99;BORDERLINE;4=>1;4=>0
100;SAFE;4=>1;4=>0
612;OUTLIER;4=>1;4=>0
101;BORDERLINE;4=>1;4=>0
618;OUTLIER;4=>1;4=>0
365;BORDERLINE;4=>1;4=>0
110;BORDERLINE;4=>1;4=>0
622;BORDERLINE;4=>1;4=>0
624;BORDERLINE;4=>1;4=>0
113;SAFE;4=>1;4=>0
369;RARE;4=>1;4=>0
370;OUTLIER;4=>1;4=>0
116;BORDERLINE;4=>1;4=>0
119;BORDERLINE;4=>1;4=>0
375;RARE;4=>1;4=>0
120;OUTLIER;4=>1;4=>0
121;BORDERLINE;4=>1;4=>0
122;BORDERLINE;4=>1;4=>0
123;BORDERLINE;4=>1;4=>0
126;BORDERLINE;4=>1;4=>0
639;OUTLIER;4=>1;4=>0
128;RARE;4=>1;4=>0
640;BORDERLINE;4=>1;4=>0
129;BORDERLINE;4=>1;4=>0
644;OUTLIER;4=>1;4=>0
396;OUTLIER;4=>1;4=>0
399;OUTLIER;4=>1;4=>0
144;OUTLIER;4=>1;4=>0
145;BORDERLINE;4=>1;4=>0
148;RARE;4=>1;4=>0
150;OUTLIER;4=>1;4=>0
153;OUTLIER;4=>1;4=>0
667;RARE;4=>1;4=>0
669;OUTLIER;4=>1;4=>0
163;RARE;4=>1;4=>0
164;RARE;4=>1;4=>0
165;RARE;4=>1;4=>0
680;OUTLIER;4=>1;4=>0
176;RARE;4=>1;4=>0
432;OUTLIER;4=>1;4=>0
177;BORDERLINE;4=>1;4=>0
178;RARE;4=>1;4=>0
180;BORDERLINE;4=>1;4=>0
695;RARE;4=>1;4=>0
189;RARE;4=>1;4=>0
195;BORDERLINE;4=>1;4=>0
196;RARE;4=>1;4=>0
708;BORDERLINE;4=>1;4=>0
712;OUTLIER;4=>1;4=>0
202;RARE;4=>1;4=>0
462;OUTLIER;4=>1;4=>0
468;OUTLIER;4=>1;4=>0
215;OUTLIER;4=>1;4=>0
475;OUTLIER;4=>1;4=>0
732;OUTLIER;4=>1;4=>0
221;OUTLIER;4=>1;4=>0
222;OUTLIER;4=>1;4=>0
224;OUTLIER;4=>1;4=>0
225;OUTLIER;4=>1;4=>0
231;OUTLIER;4=>1;4=>0
240;RARE;4=>1;4=>0
242;BORDERLINE;4=>1;4=>0
243;OUTLIER;4=>1;4=>0
500;SAFE;4=>1;4=>0
501;SAFE;4=>1;4=>0
502;SAFE;4=>1;4=>0
504;BORDERLINE;4=>1;4=>0
505;SAFE;4=>1;4=>0
506;SAFE;4=>1;4=>0
252;RARE;4=>1;4=>0
508;SAFE;4=>1;4=>0
253;RARE;4=>1;4=>0
509;BORDERLINE;4=>1;4=>0
510;BORDERLINE;4=>1;4=>0
