index;type;minority_decision;majority_decision
0;BORDERLINE;18=>van;18=>rest
1;RARE;18=>van;18=>rest
514;BORDERLINE;18=>van;18=>rest
3;BORDERLINE;18=>van;18=>rest
7;BORDERLINE;18=>van;18=>rest
519;BORDERLINE;18=>van;18=>rest
8;BORDERLINE;18=>van;18=>rest
521;BORDERLINE;18=>van;18=>rest
10;BORDERLINE;18=>van;18=>rest
523;OUTLIER;18=>van;18=>rest
13;RARE;18=>van;18=>rest
16;SAFE;18=>van;18=>rest
21;RARE;18=>van;18=>rest
533;RARE;18=>van;18=>rest
534;BORDERLINE;18=>van;18=>rest
535;BORDERLINE;18=>van;18=>rest
25;OUTLIER;18=>van;18=>rest
537;BORDERLINE;18=>van;18=>rest
541;BORDERLINE;18=>van;18=>rest
30;BORDERLINE;18=>van;18=>rest
545;BORDERLINE;18=>van;18=>rest
546;BORDERLINE;18=>van;18=>rest
35;SAFE;18=>van;18=>rest
37;OUTLIER;18=>van;18=>rest
550;SAFE;18=>van;18=>rest
41;SAFE;18=>van;18=>rest
42;SAFE;18=>van;18=>rest
45;BORDERLINE;18=>van;18=>rest
46;BORDERLINE;18=>van;18=>rest
48;SAFE;18=>van;18=>rest
55;BORDERLINE;18=>van;18=>rest
57;BORDERLINE;18=>van;18=>rest
569;BORDERLINE;18=>van;18=>rest
59;SAFE;18=>van;18=>rest
572;BORDERLINE;18=>van;18=>rest
573;SAFE;18=>van;18=>rest
62;BORDERLINE;18=>van;18=>rest
68;BORDERLINE;18=>van;18=>rest
581;RARE;18=>van;18=>rest
585;SAFE;18=>van;18=>rest
74;RARE;18=>van;18=>rest
82;BORDERLINE;18=>van;18=>rest
594;SAFE;18=>van;18=>rest
597;OUTLIER;18=>van;18=>rest
86;RARE;18=>van;18=>rest
87;SAFE;18=>van;18=>rest
601;RARE;18=>van;18=>rest
93;BORDERLINE;18=>van;18=>rest
606;BORDERLINE;18=>van;18=>rest
607;SAFE;18=>van;18=>rest
611;SAFE;18=>van;18=>rest
101;RARE;18=>van;18=>rest
102;SAFE;18=>van;18=>rest
103;BORDERLINE;18=>van;18=>rest
617;SAFE;18=>van;18=>rest
618;SAFE;18=>van;18=>rest
621;OUTLIER;18=>van;18=>rest
110;RARE;18=>van;18=>rest
111;BORDERLINE;18=>van;18=>rest
114;BORDERLINE;18=>van;18=>rest
115;SAFE;18=>van;18=>rest
629;BORDERLINE;18=>van;18=>rest
121;BORDERLINE;18=>van;18=>rest
122;RARE;18=>van;18=>rest
635;SAFE;18=>van;18=>rest
124;BORDERLINE;18=>van;18=>rest
125;BORDERLINE;18=>van;18=>rest
128;BORDERLINE;18=>van;18=>rest
644;RARE;18=>van;18=>rest
133;BORDERLINE;18=>van;18=>rest
135;OUTLIER;18=>van;18=>rest
136;BORDERLINE;18=>van;18=>rest
137;BORDERLINE;18=>van;18=>rest
139;RARE;18=>van;18=>rest
655;SAFE;18=>van;18=>rest
657;SAFE;18=>van;18=>rest
146;OUTLIER;18=>van;18=>rest
658;BORDERLINE;18=>van;18=>rest
660;BORDERLINE;18=>van;18=>rest
149;BORDERLINE;18=>van;18=>rest
664;SAFE;18=>van;18=>rest
665;OUTLIER;18=>van;18=>rest
154;BORDERLINE;18=>van;18=>rest
668;SAFE;18=>van;18=>rest
157;BORDERLINE;18=>van;18=>rest
680;BORDERLINE;18=>van;18=>rest
169;SAFE;18=>van;18=>rest
682;SAFE;18=>van;18=>rest
172;BORDERLINE;18=>van;18=>rest
174;BORDERLINE;18=>van;18=>rest
179;BORDERLINE;18=>van;18=>rest
693;BORDERLINE;18=>van;18=>rest
695;SAFE;18=>van;18=>rest
191;OUTLIER;18=>van;18=>rest
703;SAFE;18=>van;18=>rest
706;OUTLIER;18=>van;18=>rest
707;BORDERLINE;18=>van;18=>rest
708;SAFE;18=>van;18=>rest
200;BORDERLINE;18=>van;18=>rest
204;BORDERLINE;18=>van;18=>rest
205;OUTLIER;18=>van;18=>rest
722;BORDERLINE;18=>van;18=>rest
211;BORDERLINE;18=>van;18=>rest
724;BORDERLINE;18=>van;18=>rest
725;BORDERLINE;18=>van;18=>rest
219;BORDERLINE;18=>van;18=>rest
732;BORDERLINE;18=>van;18=>rest
221;SAFE;18=>van;18=>rest
734;SAFE;18=>van;18=>rest
225;RARE;18=>van;18=>rest
227;BORDERLINE;18=>van;18=>rest
739;BORDERLINE;18=>van;18=>rest
230;BORDERLINE;18=>van;18=>rest
744;BORDERLINE;18=>van;18=>rest
234;RARE;18=>van;18=>rest
746;BORDERLINE;18=>van;18=>rest
235;SAFE;18=>van;18=>rest
748;RARE;18=>van;18=>rest
751;SAFE;18=>van;18=>rest
754;BORDERLINE;18=>van;18=>rest
755;SAFE;18=>van;18=>rest
244;SAFE;18=>van;18=>rest
245;BORDERLINE;18=>van;18=>rest
759;BORDERLINE;18=>van;18=>rest
250;BORDERLINE;18=>van;18=>rest
762;BORDERLINE;18=>van;18=>rest
252;BORDERLINE;18=>van;18=>rest
254;BORDERLINE;18=>van;18=>rest
262;SAFE;18=>van;18=>rest
774;BORDERLINE;18=>van;18=>rest
263;BORDERLINE;18=>van;18=>rest
779;BORDERLINE;18=>van;18=>rest
268;SAFE;18=>van;18=>rest
269;SAFE;18=>van;18=>rest
781;BORDERLINE;18=>van;18=>rest
272;RARE;18=>van;18=>rest
784;SAFE;18=>van;18=>rest
273;RARE;18=>van;18=>rest
787;BORDERLINE;18=>van;18=>rest
791;BORDERLINE;18=>van;18=>rest
795;SAFE;18=>van;18=>rest
