index;type;minority_decision;majority_decision
0;SAFE;18=>van;18=>rest
1;SAFE;18=>van;18=>rest
514;SAFE;18=>van;18=>rest
3;SAFE;18=>van;18=>rest
7;SAFE;18=>van;18=>rest
519;SAFE;18=>van;18=>rest
8;SAFE;18=>van;18=>rest
521;BORDERLINE;18=>van;18=>rest
10;BORDERLINE;18=>van;18=>rest
523;BORDERLINE;18=>van;18=>rest
13;SAFE;18=>van;18=>rest
16;BORDERLINE;18=>van;18=>rest
21;BORDERLINE;18=>van;18=>rest
533;BORDERLINE;18=>van;18=>rest
534;SAFE;18=>van;18=>rest
535;SAFE;18=>van;18=>rest
25;SAFE;18=>van;18=>rest
537;SAFE;18=>van;18=>rest
541;SAFE;18=>van;18=>rest
30;SAFE;18=>van;18=>rest
545;SAFE;18=>van;18=>rest
546;SAFE;18=>van;18=>rest
35;SAFE;18=>van;18=>rest
37;BORDERLINE;18=>van;18=>rest
550;SAFE;18=>van;18=>rest
41;SAFE;18=>van;18=>rest
42;SAFE;18=>van;18=>rest
45;SAFE;18=>van;18=>rest
46;SAFE;18=>van;18=>rest
48;SAFE;18=>van;18=>rest
55;SAFE;18=>van;18=>rest
57;SAFE;18=>van;18=>rest
569;SAFE;18=>van;18=>rest
59;BORDERLINE;18=>van;18=>rest
572;SAFE;18=>van;18=>rest
573;SAFE;18=>van;18=>rest
62;SAFE;18=>van;18=>rest
68;SAFE;18=>van;18=>rest
581;SAFE;18=>van;18=>rest
585;SAFE;18=>van;18=>rest
74;SAFE;18=>van;18=>rest
82;SAFE;18=>van;18=>rest
594;BORDERLINE;18=>van;18=>rest
597;SAFE;18=>van;18=>rest
86;SAFE;18=>van;18=>rest
87;BORDERLINE;18=>van;18=>rest
601;SAFE;18=>van;18=>rest
93;SAFE;18=>van;18=>rest
606;BORDERLINE;18=>van;18=>rest
607;SAFE;18=>van;18=>rest
611;SAFE;18=>van;18=>rest
101;SAFE;18=>van;18=>rest
102;BORDERLINE;18=>van;18=>rest
103;SAFE;18=>van;18=>rest
617;BORDERLINE;18=>van;18=>rest
618;SAFE;18=>van;18=>rest
621;SAFE;18=>van;18=>rest
110;BORDERLINE;18=>van;18=>rest
111;SAFE;18=>van;18=>rest
114;SAFE;18=>van;18=>rest
115;SAFE;18=>van;18=>rest
629;BORDERLINE;18=>van;18=>rest
121;SAFE;18=>van;18=>rest
122;SAFE;18=>van;18=>rest
635;SAFE;18=>van;18=>rest
124;BORDERLINE;18=>van;18=>rest
125;SAFE;18=>van;18=>rest
128;SAFE;18=>van;18=>rest
644;SAFE;18=>van;18=>rest
133;SAFE;18=>van;18=>rest
135;SAFE;18=>van;18=>rest
136;SAFE;18=>van;18=>rest
137;SAFE;18=>van;18=>rest
139;BORDERLINE;18=>van;18=>rest
655;SAFE;18=>van;18=>rest
657;SAFE;18=>van;18=>rest
