index;type;minority_decision;majority_decision
512;OUTLIER;8=>ME2;8=>rest
513;OUTLIER;8=>ME2;8=>rest
514;OUTLIER;8=>ME2;8=>rest
521;RARE;8=>ME2;8=>rest
522;OUTLIER;8=>ME2;8=>rest
269;OUTLIER;8=>ME2;8=>rest
1299;BORDERLINE;8=>ME2;8=>rest
276;OUTLIER;8=>ME2;8=>rest
538;OUTLIER;8=>ME2;8=>rest
1434;OUTLIER;8=>ME2;8=>rest
1051;OUTLIER;8=>ME2;8=>rest
796;SAFE;8=>ME2;8=>rest
797;SAFE;8=>ME2;8=>rest
287;RARE;8=>ME2;8=>rest
1439;RARE;8=>ME2;8=>rest
290;OUTLIER;8=>ME2;8=>rest
1058;OUTLIER;8=>ME2;8=>rest
292;BORDERLINE;8=>ME2;8=>rest
676;RARE;8=>ME2;8=>rest
1060;OUTLIER;8=>ME2;8=>rest
40;RARE;8=>ME2;8=>rest
41;BORDERLINE;8=>ME2;8=>rest
42;BORDERLINE;8=>ME2;8=>rest
298;OUTLIER;8=>ME2;8=>rest
301;BORDERLINE;8=>ME2;8=>rest
46;OUTLIER;8=>ME2;8=>rest
1070;OUTLIER;8=>ME2;8=>rest
1071;OUTLIER;8=>ME2;8=>rest
561;RARE;8=>ME2;8=>rest
1089;BORDERLINE;8=>ME2;8=>rest
708;OUTLIER;8=>ME2;8=>rest
709;OUTLIER;8=>ME2;8=>rest
326;OUTLIER;8=>ME2;8=>rest
1479;BORDERLINE;8=>ME2;8=>rest
1481;RARE;8=>ME2;8=>rest
719;RARE;8=>ME2;8=>rest
593;SAFE;8=>ME2;8=>rest
594;BORDERLINE;8=>ME2;8=>rest
595;SAFE;8=>ME2;8=>rest
1107;RARE;8=>ME2;8=>rest
852;BORDERLINE;8=>ME2;8=>rest
1364;RARE;8=>ME2;8=>rest
477;RARE;8=>ME2;8=>rest
483;OUTLIER;8=>ME2;8=>rest
228;RARE;8=>ME2;8=>rest
363;SAFE;8=>ME2;8=>rest
1395;OUTLIER;8=>ME2;8=>rest
505;OUTLIER;8=>ME2;8=>rest
378;RARE;8=>ME2;8=>rest
1403;RARE;8=>ME2;8=>rest
511;BORDERLINE;8=>ME2;8=>rest
