index;type;minority_decision;majority_decision
512;RARE;8=>ME2;8=>rest
513;OUTLIER;8=>ME2;8=>rest
514;SAFE;8=>ME2;8=>rest
521;OUTLIER;8=>ME2;8=>rest
522;RARE;8=>ME2;8=>rest
269;OUTLIER;8=>ME2;8=>rest
1299;BORDERLINE;8=>ME2;8=>rest
276;RARE;8=>ME2;8=>rest
538;BORDERLINE;8=>ME2;8=>rest
1434;RARE;8=>ME2;8=>rest
1051;OUTLIER;8=>ME2;8=>rest
796;BORDERLINE;8=>ME2;8=>rest
797;BORDERLINE;8=>ME2;8=>rest
287;BORDERLINE;8=>ME2;8=>rest
1439;RARE;8=>ME2;8=>rest
290;OUTLIER;8=>ME2;8=>rest
1058;OUTLIER;8=>ME2;8=>rest
292;BORDERLINE;8=>ME2;8=>rest
676;RARE;8=>ME2;8=>rest
1060;OUTLIER;8=>ME2;8=>rest
40;RARE;8=>ME2;8=>rest
41;BORDERLINE;8=>ME2;8=>rest
42;BORDERLINE;8=>ME2;8=>rest
298;RARE;8=>ME2;8=>rest
301;RARE;8=>ME2;8=>rest
46;RARE;8=>ME2;8=>rest
1070;OUTLIER;8=>ME2;8=>rest
1071;OUTLIER;8=>ME2;8=>rest
561;BORDERLINE;8=>ME2;8=>rest
1089;BORDERLINE;8=>ME2;8=>rest
708;RARE;8=>ME2;8=>rest
709;OUTLIER;8=>ME2;8=>rest
326;OUTLIER;8=>ME2;8=>rest
1479;OUTLIER;8=>ME2;8=>rest
1481;RARE;8=>ME2;8=>rest
719;OUTLIER;8=>ME2;8=>rest
593;RARE;8=>ME2;8=>rest
594;BORDERLINE;8=>ME2;8=>rest
595;SAFE;8=>ME2;8=>rest
1107;OUTLIER;8=>ME2;8=>rest
852;SAFE;8=>ME2;8=>rest
1364;BORDERLINE;8=>ME2;8=>rest
477;RARE;8=>ME2;8=>rest
483;OUTLIER;8=>ME2;8=>rest
228;RARE;8=>ME2;8=>rest
363;BORDERLINE;8=>ME2;8=>rest
1395;OUTLIER;8=>ME2;8=>rest
505;BORDERLINE;8=>ME2;8=>rest
378;BORDERLINE;8=>ME2;8=>rest
1403;RARE;8=>ME2;8=>rest
511;RARE;8=>ME2;8=>rest
