index;type;minority_decision;majority_decision
516;SAFE;4=>1;4=>9
262;SAFE;4=>1;4=>9
518;OUTLIER;4=>1;4=>9
135;SAFE;4=>1;4=>9
775;SAFE;4=>1;4=>9
392;SAFE;4=>1;4=>9
778;SAFE;4=>1;4=>9
779;SAFE;4=>1;4=>9
397;SAFE;4=>1;4=>9
533;SAFE;4=>1;4=>9
791;SAFE;4=>1;4=>9
919;SAFE;4=>1;4=>9
153;SAFE;4=>1;4=>9
537;OUTLIER;4=>1;4=>9
665;SAFE;4=>1;4=>9
921;SAFE;4=>1;4=>9
795;SAFE;4=>1;4=>9
28;SAFE;4=>1;4=>9
668;SAFE;4=>1;4=>9
413;SAFE;4=>1;4=>9
286;SAFE;4=>1;4=>9
926;SAFE;4=>1;4=>9
546;SAFE;4=>1;4=>9
675;OUTLIER;4=>1;4=>9
549;SAFE;4=>1;4=>9
422;OUTLIER;4=>1;4=>9
936;OUTLIER;4=>1;4=>9
169;SAFE;4=>1;4=>9
43;SAFE;4=>1;4=>9
427;SAFE;4=>1;4=>9
45;SAFE;4=>1;4=>9
429;SAFE;4=>1;4=>9
814;SAFE;4=>1;4=>9
175;SAFE;4=>1;4=>9
304;SAFE;4=>1;4=>9
305;SAFE;4=>1;4=>9
689;SAFE;4=>1;4=>9
51;SAFE;4=>1;4=>9
435;SAFE;4=>1;4=>9
951;SAFE;4=>1;4=>9
568;SAFE;4=>1;4=>9
313;SAFE;4=>1;4=>9
827;SAFE;4=>1;4=>9
188;SAFE;4=>1;4=>9
63;SAFE;4=>1;4=>9
321;SAFE;4=>1;4=>9
961;SAFE;4=>1;4=>9
325;SAFE;4=>1;4=>9
713;SAFE;4=>1;4=>9
841;SAFE;4=>1;4=>9
202;SAFE;4=>1;4=>9
206;SAFE;4=>1;4=>9
336;SAFE;4=>1;4=>9
976;SAFE;4=>1;4=>9
337;OUTLIER;4=>1;4=>9
980;SAFE;4=>1;4=>9
214;SAFE;4=>1;4=>9
343;SAFE;4=>1;4=>9
472;SAFE;4=>1;4=>9
345;SAFE;4=>1;4=>9
90;SAFE;4=>1;4=>9
219;SAFE;4=>1;4=>9
859;SAFE;4=>1;4=>9
348;SAFE;4=>1;4=>9
477;SAFE;4=>1;4=>9
605;SAFE;4=>1;4=>9
222;SAFE;4=>1;4=>9
990;SAFE;4=>1;4=>9
224;SAFE;4=>1;4=>9
97;SAFE;4=>1;4=>9
609;SAFE;4=>1;4=>9
354;SAFE;4=>1;4=>9
610;SAFE;4=>1;4=>9
995;SAFE;4=>1;4=>9
101;SAFE;4=>1;4=>9
103;SAFE;4=>1;4=>9
487;SAFE;4=>1;4=>9
615;SAFE;4=>1;4=>9
744;SAFE;4=>1;4=>9
874;SAFE;4=>1;4=>9
