index;type;minority_decision;majority_decision
516;OUTLIER;4=>1;4=>9
262;OUTLIER;4=>1;4=>9
518;OUTLIER;4=>1;4=>9
135;BORDERLINE;4=>1;4=>9
775;BORDERLINE;4=>1;4=>9
392;OUTLIER;4=>1;4=>9
778;BORDERLINE;4=>1;4=>9
779;BORDERLINE;4=>1;4=>9
397;OUTLIER;4=>1;4=>9
533;BORDERLINE;4=>1;4=>9
791;BORDERLINE;4=>1;4=>9
919;BORDERLINE;4=>1;4=>9
153;BORDERLINE;4=>1;4=>9
537;OUTLIER;4=>1;4=>9
665;BORDERLINE;4=>1;4=>9
921;BORDERLINE;4=>1;4=>9
795;RARE;4=>1;4=>9
28;BORDERLINE;4=>1;4=>9
668;BORDERLINE;4=>1;4=>9
413;BORDERLINE;4=>1;4=>9
286;RARE;4=>1;4=>9
926;OUTLIER;4=>1;4=>9
546;BORDERLINE;4=>1;4=>9
675;OUTLIER;4=>1;4=>9
549;BORDERLINE;4=>1;4=>9
422;OUTLIER;4=>1;4=>9
936;OUTLIER;4=>1;4=>9
169;RARE;4=>1;4=>9
43;OUTLIER;4=>1;4=>9
427;BORDERLINE;4=>1;4=>9
45;OUTLIER;4=>1;4=>9
429;OUTLIER;4=>1;4=>9
814;RARE;4=>1;4=>9
175;OUTLIER;4=>1;4=>9
304;OUTLIER;4=>1;4=>9
305;BORDERLINE;4=>1;4=>9
689;OUTLIER;4=>1;4=>9
51;RARE;4=>1;4=>9
435;OUTLIER;4=>1;4=>9
951;BORDERLINE;4=>1;4=>9
568;BORDERLINE;4=>1;4=>9
313;RARE;4=>1;4=>9
827;BORDERLINE;4=>1;4=>9
188;BORDERLINE;4=>1;4=>9
63;BORDERLINE;4=>1;4=>9
321;OUTLIER;4=>1;4=>9
961;BORDERLINE;4=>1;4=>9
325;RARE;4=>1;4=>9
713;RARE;4=>1;4=>9
841;RARE;4=>1;4=>9
202;BORDERLINE;4=>1;4=>9
206;BORDERLINE;4=>1;4=>9
336;OUTLIER;4=>1;4=>9
976;OUTLIER;4=>1;4=>9
337;OUTLIER;4=>1;4=>9
980;BORDERLINE;4=>1;4=>9
214;RARE;4=>1;4=>9
343;BORDERLINE;4=>1;4=>9
472;OUTLIER;4=>1;4=>9
345;BORDERLINE;4=>1;4=>9
90;BORDERLINE;4=>1;4=>9
219;RARE;4=>1;4=>9
859;RARE;4=>1;4=>9
348;OUTLIER;4=>1;4=>9
477;BORDERLINE;4=>1;4=>9
605;BORDERLINE;4=>1;4=>9
222;BORDERLINE;4=>1;4=>9
990;RARE;4=>1;4=>9
224;RARE;4=>1;4=>9
97;OUTLIER;4=>1;4=>9
609;BORDERLINE;4=>1;4=>9
354;RARE;4=>1;4=>9
610;BORDERLINE;4=>1;4=>9
995;OUTLIER;4=>1;4=>9
101;OUTLIER;4=>1;4=>9
103;BORDERLINE;4=>1;4=>9
487;OUTLIER;4=>1;4=>9
615;OUTLIER;4=>1;4=>9
744;BORDERLINE;4=>1;4=>9
874;BORDERLINE;4=>1;4=>9
363;BORDERLINE;4=>1;4=>9
619;OUTLIER;4=>1;4=>9
109;BORDERLINE;4=>1;4=>9
878;BORDERLINE;4=>1;4=>9
627;OUTLIER;4=>1;4=>9
245;BORDERLINE;4=>1;4=>9
248;BORDERLINE;4=>1;4=>9
376;BORDERLINE;4=>1;4=>9
761;BORDERLINE;4=>1;4=>9
122;BORDERLINE;4=>1;4=>9
634;BORDERLINE;4=>1;4=>9
379;RARE;4=>1;4=>9
33;OUTLIER;4=>9;4=>1
673;BORDERLINE;4=>9;4=>1
67;BORDERLINE;4=>9;4=>1
643;BORDERLINE;4=>9;4=>1
644;BORDERLINE;4=>9;4=>1
72;BORDERLINE;4=>9;4=>1
360;BORDERLINE;4=>9;4=>1
10;BORDERLINE;4=>9;4=>1
907;BORDERLINE;4=>9;4=>1
524;BORDERLINE;4=>9;4=>1
685;BORDERLINE;4=>9;4=>1
334;OUTLIER;4=>9;4=>1
465;BORDERLINE;4=>9;4=>1
530;BORDERLINE;4=>9;4=>1
381;OUTLIER;4=>9;4=>1
893;BORDERLINE;4=>9;4=>1
478;RARE;4=>9;4=>1
223;BORDERLINE;4=>9;4=>1
33;OUTLIER;4=>9;4=>8
673;BORDERLINE;4=>9;4=>8
67;BORDERLINE;4=>9;4=>8
643;BORDERLINE;4=>9;4=>8
644;BORDERLINE;4=>9;4=>8
72;BORDERLINE;4=>9;4=>8
360;BORDERLINE;4=>9;4=>8
10;BORDERLINE;4=>9;4=>8
907;BORDERLINE;4=>9;4=>8
524;BORDERLINE;4=>9;4=>8
685;BORDERLINE;4=>9;4=>8
334;OUTLIER;4=>9;4=>8
465;BORDERLINE;4=>9;4=>8
530;BORDERLINE;4=>9;4=>8
381;OUTLIER;4=>9;4=>8
893;BORDERLINE;4=>9;4=>8
478;RARE;4=>9;4=>8
223;BORDERLINE;4=>9;4=>8
833;RARE;4=>8;4=>2
707;OUTLIER;4=>8;4=>2
264;OUTLIER;4=>8;4=>2
584;OUTLIER;4=>8;4=>2
267;RARE;4=>8;4=>2
587;BORDERLINE;4=>8;4=>2
12;OUTLIER;4=>8;4=>2
396;RARE;4=>8;4=>2
975;OUTLIER;4=>8;4=>2
721;RARE;4=>8;4=>2
211;OUTLIER;4=>8;4=>2
340;OUTLIER;4=>8;4=>2
213;OUTLIER;4=>8;4=>2
22;BORDERLINE;4=>8;4=>2
536;OUTLIER;4=>8;4=>2
730;BORDERLINE;4=>8;4=>2
797;OUTLIER;4=>8;4=>2
30;RARE;4=>8;4=>2
32;BORDERLINE;4=>8;4=>2
160;OUTLIER;4=>8;4=>2
992;OUTLIER;4=>8;4=>2
737;OUTLIER;4=>8;4=>2
226;OUTLIER;4=>8;4=>2
108;BORDERLINE;4=>8;4=>2
560;OUTLIER;4=>8;4=>2
114;OUTLIER;4=>8;4=>2
757;RARE;4=>8;4=>2
374;BORDERLINE;4=>8;4=>2
507;RARE;4=>8;4=>2
828;BORDERLINE;4=>8;4=>2
638;OUTLIER;4=>8;4=>2
833;RARE;4=>8;4=>7
707;OUTLIER;4=>8;4=>7
264;OUTLIER;4=>8;4=>7
584;OUTLIER;4=>8;4=>7
267;RARE;4=>8;4=>7
587;BORDERLINE;4=>8;4=>7
12;OUTLIER;4=>8;4=>7
396;RARE;4=>8;4=>7
975;OUTLIER;4=>8;4=>7
721;RARE;4=>8;4=>7
211;OUTLIER;4=>8;4=>7
340;OUTLIER;4=>8;4=>7
