index;type;minority_decision;majority_decision
516;BORDERLINE;4=>1;4=>2
262;BORDERLINE;4=>1;4=>2
518;OUTLIER;4=>1;4=>2
135;BORDERLINE;4=>1;4=>2
775;BORDERLINE;4=>1;4=>2
392;RARE;4=>1;4=>2
778;BORDERLINE;4=>1;4=>2
779;BORDERLINE;4=>1;4=>2
397;SAFE;4=>1;4=>2
533;BORDERLINE;4=>1;4=>2
791;BORDERLINE;4=>1;4=>2
919;BORDERLINE;4=>1;4=>2
153;BORDERLINE;4=>1;4=>2
537;OUTLIER;4=>1;4=>2
665;BORDERLINE;4=>1;4=>2
921;BORDERLINE;4=>1;4=>2
795;RARE;4=>1;4=>2
28;BORDERLINE;4=>1;4=>2
668;BORDERLINE;4=>1;4=>2
413;BORDERLINE;4=>1;4=>2
286;RARE;4=>1;4=>2
926;BORDERLINE;4=>1;4=>2
546;BORDERLINE;4=>1;4=>2
675;OUTLIER;4=>1;4=>2
549;BORDERLINE;4=>1;4=>2
422;OUTLIER;4=>1;4=>2
936;OUTLIER;4=>1;4=>2
169;BORDERLINE;4=>1;4=>2
43;RARE;4=>1;4=>2
427;SAFE;4=>1;4=>2
45;RARE;4=>1;4=>2
429;BORDERLINE;4=>1;4=>2
814;RARE;4=>1;4=>2
175;RARE;4=>1;4=>2
304;RARE;4=>1;4=>2
305;BORDERLINE;4=>1;4=>2
689;RARE;4=>1;4=>2
51;BORDERLINE;4=>1;4=>2
435;RARE;4=>1;4=>2
951;SAFE;4=>1;4=>2
568;SAFE;4=>1;4=>2
313;BORDERLINE;4=>1;4=>2
827;BORDERLINE;4=>1;4=>2
188;BORDERLINE;4=>1;4=>2
63;BORDERLINE;4=>1;4=>2
321;BORDERLINE;4=>1;4=>2
961;BORDERLINE;4=>1;4=>2
325;RARE;4=>1;4=>2
713;RARE;4=>1;4=>2
841;RARE;4=>1;4=>2
202;BORDERLINE;4=>1;4=>2
206;BORDERLINE;4=>1;4=>2
336;BORDERLINE;4=>1;4=>2
976;RARE;4=>1;4=>2
337;OUTLIER;4=>1;4=>2
980;BORDERLINE;4=>1;4=>2
214;RARE;4=>1;4=>2
343;BORDERLINE;4=>1;4=>2
472;RARE;4=>1;4=>2
345;BORDERLINE;4=>1;4=>2
90;SAFE;4=>1;4=>2
219;BORDERLINE;4=>1;4=>2
859;BORDERLINE;4=>1;4=>2
348;RARE;4=>1;4=>2
477;BORDERLINE;4=>1;4=>2
605;SAFE;4=>1;4=>2
222;BORDERLINE;4=>1;4=>2
990;RARE;4=>1;4=>2
224;RARE;4=>1;4=>2
97;RARE;4=>1;4=>2
609;SAFE;4=>1;4=>2
354;RARE;4=>1;4=>2
610;SAFE;4=>1;4=>2
995;BORDERLINE;4=>1;4=>2
101;RARE;4=>1;4=>2
103;BORDERLINE;4=>1;4=>2
487;RARE;4=>1;4=>2
615;SAFE;4=>1;4=>2
744;SAFE;4=>1;4=>2
874;BORDERLINE;4=>1;4=>2
363;SAFE;4=>1;4=>2
619;BORDERLINE;4=>1;4=>2
109;BORDERLINE;4=>1;4=>2
878;SAFE;4=>1;4=>2
627;OUTLIER;4=>1;4=>2
245;BORDERLINE;4=>1;4=>2
248;BORDERLINE;4=>1;4=>2
376;BORDERLINE;4=>1;4=>2
761;SAFE;4=>1;4=>2
122;BORDERLINE;4=>1;4=>2
634;SAFE;4=>1;4=>2
379;RARE;4=>1;4=>2
512;BORDERLINE;4=>2;4=>3
1;BORDERLINE;4=>2;4=>3
516;BORDERLINE;4=>2;4=>3
518;BORDERLINE;4=>2;4=>3
9;BORDERLINE;4=>2;4=>3
13;BORDERLINE;4=>2;4=>3
529;BORDERLINE;4=>2;4=>3
