index;type;minority_decision;majority_decision
516;OUTLIER;4=>1;4=>2
262;OUTLIER;4=>1;4=>2
518;OUTLIER;4=>1;4=>2
135;BORDERLINE;4=>1;4=>2
775;BORDERLINE;4=>1;4=>2
392;OUTLIER;4=>1;4=>2
778;BORDERLINE;4=>1;4=>2
779;BORDERLINE;4=>1;4=>2
397;OUTLIER;4=>1;4=>2
533;BORDERLINE;4=>1;4=>2
791;BORDERLINE;4=>1;4=>2
919;BORDERLINE;4=>1;4=>2
153;BORDERLINE;4=>1;4=>2
537;OUTLIER;4=>1;4=>2
665;BORDERLINE;4=>1;4=>2
921;BORDERLINE;4=>1;4=>2
795;RARE;4=>1;4=>2
28;BORDERLINE;4=>1;4=>2
668;BORDERLINE;4=>1;4=>2
413;BORDERLINE;4=>1;4=>2
286;RARE;4=>1;4=>2
926;OUTLIER;4=>1;4=>2
546;BORDERLINE;4=>1;4=>2
675;OUTLIER;4=>1;4=>2
549;BORDERLINE;4=>1;4=>2
422;OUTLIER;4=>1;4=>2
936;OUTLIER;4=>1;4=>2
169;RARE;4=>1;4=>2
43;OUTLIER;4=>1;4=>2
427;BORDERLINE;4=>1;4=>2
45;OUTLIER;4=>1;4=>2
429;OUTLIER;4=>1;4=>2
814;RARE;4=>1;4=>2
175;OUTLIER;4=>1;4=>2
304;OUTLIER;4=>1;4=>2
305;BORDERLINE;4=>1;4=>2
689;OUTLIER;4=>1;4=>2
51;RARE;4=>1;4=>2
435;OUTLIER;4=>1;4=>2
951;BORDERLINE;4=>1;4=>2
568;BORDERLINE;4=>1;4=>2
313;RARE;4=>1;4=>2
827;BORDERLINE;4=>1;4=>2
188;BORDERLINE;4=>1;4=>2
63;BORDERLINE;4=>1;4=>2
321;OUTLIER;4=>1;4=>2
961;BORDERLINE;4=>1;4=>2
325;RARE;4=>1;4=>2
713;RARE;4=>1;4=>2
841;RARE;4=>1;4=>2
202;BORDERLINE;4=>1;4=>2
206;BORDERLINE;4=>1;4=>2
336;OUTLIER;4=>1;4=>2
976;OUTLIER;4=>1;4=>2
337;OUTLIER;4=>1;4=>2
980;BORDERLINE;4=>1;4=>2
214;RARE;4=>1;4=>2
343;BORDERLINE;4=>1;4=>2
472;OUTLIER;4=>1;4=>2
345;BORDERLINE;4=>1;4=>2
90;BORDERLINE;4=>1;4=>2
219;RARE;4=>1;4=>2
859;RARE;4=>1;4=>2
348;OUTLIER;4=>1;4=>2
477;BORDERLINE;4=>1;4=>2
605;BORDERLINE;4=>1;4=>2
222;BORDERLINE;4=>1;4=>2
990;RARE;4=>1;4=>2
224;RARE;4=>1;4=>2
97;OUTLIER;4=>1;4=>2
609;BORDERLINE;4=>1;4=>2
354;RARE;4=>1;4=>2
610;BORDERLINE;4=>1;4=>2
995;OUTLIER;4=>1;4=>2
101;OUTLIER;4=>1;4=>2
103;BORDERLINE;4=>1;4=>2
487;OUTLIER;4=>1;4=>2
615;OUTLIER;4=>1;4=>2
744;BORDERLINE;4=>1;4=>2
874;BORDERLINE;4=>1;4=>2
363;BORDERLINE;4=>1;4=>2
619;OUTLIER;4=>1;4=>2
109;BORDERLINE;4=>1;4=>2
878;BORDERLINE;4=>1;4=>2
627;OUTLIER;4=>1;4=>2
245;BORDERLINE;4=>1;4=>2
248;BORDERLINE;4=>1;4=>2
