index;type;minority_decision;majority_decision
103;OUTLIER;4=>1;4=>9
122;OUTLIER;4=>1;4=>9
209;OUTLIER;4=>9;4=>1
215;OUTLIER;4=>9;4=>1
107;OUTLIER;4=>9;4=>1
223;OUTLIER;4=>9;4=>1
209;OUTLIER;4=>9;4=>8
215;OUTLIER;4=>9;4=>8
107;OUTLIER;4=>9;4=>8
223;OUTLIER;4=>9;4=>8
65;SAFE;4=>8;4=>2
161;OUTLIER;4=>8;4=>2
227;SAFE;4=>8;4=>2
196;SAFE;4=>8;4=>2
167;SAFE;4=>8;4=>2
105;SAFE;4=>8;4=>2
203;SAFE;4=>8;4=>2
142;SAFE;4=>8;4=>2
111;OUTLIER;4=>8;4=>2
208;OUTLIER;4=>8;4=>2
179;SAFE;4=>8;4=>2
468;SAFE;4=>8;4=>2
85;SAFE;4=>8;4=>2
181;SAFE;4=>8;4=>2
345;OUTLIER;4=>8;4=>2
409;SAFE;4=>8;4=>2
285;SAFE;4=>8;4=>2
286;OUTLIER;4=>8;4=>2
318;SAFE;4=>8;4=>2
65;BORDERLINE;4=>8;4=>7
161;OUTLIER;4=>8;4=>7
227;BORDERLINE;4=>8;4=>7
196;RARE;4=>8;4=>7
167;BORDERLINE;4=>8;4=>7
105;BORDERLINE;4=>8;4=>7
203;BORDERLINE;4=>8;4=>7
142;BORDERLINE;4=>8;4=>7
111;OUTLIER;4=>8;4=>7
208;OUTLIER;4=>8;4=>7
179;BORDERLINE;4=>8;4=>7
468;BORDERLINE;4=>8;4=>7
85;BORDERLINE;4=>8;4=>7
181;BORDERLINE;4=>8;4=>7
345;OUTLIER;4=>8;4=>7
409;SAFE;4=>8;4=>7
285;BORDERLINE;4=>8;4=>7
286;OUTLIER;4=>8;4=>7
318;BORDERLINE;4=>8;4=>7
131;SAFE;4=>7;4=>3
387;SAFE;4=>7;4=>3
260;OUTLIER;4=>7;4=>3
393;SAFE;4=>7;4=>3
268;SAFE;4=>7;4=>3
141;SAFE;4=>7;4=>3
269;SAFE;4=>7;4=>3
19;SAFE;4=>7;4=>3
279;SAFE;4=>7;4=>3
407;SAFE;4=>7;4=>3
24;SAFE;4=>7;4=>3
25;SAFE;4=>7;4=>3
281;SAFE;4=>7;4=>3
283;SAFE;4=>7;4=>3
284;SAFE;4=>7;4=>3
158;SAFE;4=>7;4=>3
420;OUTLIER;4=>7;4=>3
421;SAFE;4=>7;4=>3
294;OUTLIER;4=>7;4=>3
43;SAFE;4=>7;4=>3
44;SAFE;4=>7;4=>3
300;SAFE;4=>7;4=>3
301;OUTLIER;4=>7;4=>3
435;SAFE;4=>7;4=>3
52;SAFE;4=>7;4=>3
438;SAFE;4=>7;4=>3
183;OUTLIER;4=>7;4=>3
57;OUTLIER;4=>7;4=>3
443;SAFE;4=>7;4=>3
188;SAFE;4=>7;4=>3
195;OUTLIER;4=>7;4=>3
329;SAFE;4=>7;4=>3
457;OUTLIER;4=>7;4=>3
204;SAFE;4=>7;4=>3
460;SAFE;4=>7;4=>3
462;SAFE;4=>7;4=>3
80;SAFE;4=>7;4=>3
465;SAFE;4=>7;4=>3
82;SAFE;4=>7;4=>3
84;SAFE;4=>7;4=>3
342;SAFE;4=>7;4=>3
88;OUTLIER;4=>7;4=>3
89;OUTLIER;4=>7;4=>3
346;SAFE;4=>7;4=>3
348;SAFE;4=>7;4=>3
93;SAFE;4=>7;4=>3
95;SAFE;4=>7;4=>3
479;SAFE;4=>7;4=>3
481;OUTLIER;4=>7;4=>3
482;SAFE;4=>7;4=>3
101;SAFE;4=>7;4=>3
357;OUTLIER;4=>7;4=>3
486;SAFE;4=>7;4=>3
231;SAFE;4=>7;4=>3
363;SAFE;4=>7;4=>3
108;SAFE;4=>7;4=>3
