index;type;minority_decision;majority_decision
103;OUTLIER;4=>1;4=>9
122;OUTLIER;4=>1;4=>9
209;OUTLIER;4=>9;4=>1
215;OUTLIER;4=>9;4=>1
107;OUTLIER;4=>9;4=>1
223;OUTLIER;4=>9;4=>1
209;OUTLIER;4=>9;4=>8
215;OUTLIER;4=>9;4=>8
107;OUTLIER;4=>9;4=>8
223;OUTLIER;4=>9;4=>8
65;BORDERLINE;4=>8;4=>2
161;OUTLIER;4=>8;4=>2
227;BORDERLINE;4=>8;4=>2
196;OUTLIER;4=>8;4=>2
167;RARE;4=>8;4=>2
105;BORDERLINE;4=>8;4=>2
203;BORDERLINE;4=>8;4=>2
142;BORDERLINE;4=>8;4=>2
111;OUTLIER;4=>8;4=>2
208;OUTLIER;4=>8;4=>2
179;BORDERLINE;4=>8;4=>2
468;BORDERLINE;4=>8;4=>2
85;BORDERLINE;4=>8;4=>2
181;BORDERLINE;4=>8;4=>2
345;RARE;4=>8;4=>2
409;BORDERLINE;4=>8;4=>2
285;BORDERLINE;4=>8;4=>2
286;OUTLIER;4=>8;4=>2
318;BORDERLINE;4=>8;4=>2
65;BORDERLINE;4=>8;4=>7
161;OUTLIER;4=>8;4=>7
227;BORDERLINE;4=>8;4=>7
196;OUTLIER;4=>8;4=>7
167;RARE;4=>8;4=>7
105;BORDERLINE;4=>8;4=>7
203;BORDERLINE;4=>8;4=>7
142;BORDERLINE;4=>8;4=>7
111;OUTLIER;4=>8;4=>7
208;OUTLIER;4=>8;4=>7
179;BORDERLINE;4=>8;4=>7
468;BORDERLINE;4=>8;4=>7
85;BORDERLINE;4=>8;4=>7
181;BORDERLINE;4=>8;4=>7
345;RARE;4=>8;4=>7
409;BORDERLINE;4=>8;4=>7
285;BORDERLINE;4=>8;4=>7
286;OUTLIER;4=>8;4=>7
318;BORDERLINE;4=>8;4=>7
131;SAFE;4=>7;4=>3
387;SAFE;4=>7;4=>3
260;OUTLIER;4=>7;4=>3
393;BORDERLINE;4=>7;4=>3
268;RARE;4=>7;4=>3
141;RARE;4=>7;4=>3
269;SAFE;4=>7;4=>3
19;BORDERLINE;4=>7;4=>3
279;BORDERLINE;4=>7;4=>3
407;BORDERLINE;4=>7;4=>3
24;RARE;4=>7;4=>3
25;BORDERLINE;4=>7;4=>3
281;RARE;4=>7;4=>3
283;BORDERLINE;4=>7;4=>3
284;SAFE;4=>7;4=>3
158;OUTLIER;4=>7;4=>3
420;RARE;4=>7;4=>3
421;BORDERLINE;4=>7;4=>3
294;OUTLIER;4=>7;4=>3
43;BORDERLINE;4=>7;4=>3
44;SAFE;4=>7;4=>3
300;BORDERLINE;4=>7;4=>3
301;RARE;4=>7;4=>3
435;BORDERLINE;4=>7;4=>3
52;BORDERLINE;4=>7;4=>3
438;OUTLIER;4=>7;4=>3
183;RARE;4=>7;4=>3
57;BORDERLINE;4=>7;4=>3
443;BORDERLINE;4=>7;4=>3
188;BORDERLINE;4=>7;4=>3
195;BORDERLINE;4=>7;4=>3
329;BORDERLINE;4=>7;4=>3
457;OUTLIER;4=>7;4=>3
204;SAFE;4=>7;4=>3
460;OUTLIER;4=>7;4=>3
462;BORDERLINE;4=>7;4=>3
80;BORDERLINE;4=>7;4=>3
465;BORDERLINE;4=>7;4=>3
82;BORDERLINE;4=>7;4=>3
84;BORDERLINE;4=>7;4=>3
342;BORDERLINE;4=>7;4=>3
88;BORDERLINE;4=>7;4=>3
89;RARE;4=>7;4=>3
346;BORDERLINE;4=>7;4=>3
348;BORDERLINE;4=>7;4=>3
93;OUTLIER;4=>7;4=>3
95;BORDERLINE;4=>7;4=>3
479;SAFE;4=>7;4=>3
481;BORDERLINE;4=>7;4=>3
482;BORDERLINE;4=>7;4=>3
