index;type;minority_decision;majority_decision
103;OUTLIER;4=>1;4=>2
122;OUTLIER;4=>1;4=>2
197;OUTLIER;4=>2;4=>3
7;OUTLIER;4=>2;4=>3
103;OUTLIER;4=>2;4=>3
199;SAFE;4=>2;4=>3
428;OUTLIER;4=>2;4=>3
45;BORDERLINE;4=>2;4=>3
270;SAFE;4=>2;4=>3
302;BORDERLINE;4=>2;4=>3
21;SAFE;4=>2;4=>3
246;SAFE;4=>2;4=>3
26;BORDERLINE;4=>2;4=>3
122;BORDERLINE;4=>2;4=>3
252;SAFE;4=>2;4=>3
476;SAFE;4=>2;4=>3
128;SAFE;4=>3;4=>4
4;BORDERLINE;4=>3;4=>4
132;SAFE;4=>3;4=>4
7;OUTLIER;4=>3;4=>4
135;BORDERLINE;4=>3;4=>4
394;BORDERLINE;4=>3;4=>4
12;BORDERLINE;4=>3;4=>4
397;BORDERLINE;4=>3;4=>4
270;SAFE;4=>3;4=>4
271;BORDERLINE;4=>3;4=>4
276;RARE;4=>3;4=>4
21;OUTLIER;4=>3;4=>4
277;OUTLIER;4=>3;4=>4
278;RARE;4=>3;4=>4
151;BORDERLINE;4=>3;4=>4
26;OUTLIER;4=>3;4=>4
32;RARE;4=>3;4=>4
424;OUTLIER;4=>3;4=>4
425;SAFE;4=>3;4=>4
299;OUTLIER;4=>3;4=>4
428;OUTLIER;4=>3;4=>4
45;SAFE;4=>3;4=>4
302;SAFE;4=>3;4=>4
47;OUTLIER;4=>3;4=>4
434;RARE;4=>3;4=>4
187;OUTLIER;4=>3;4=>4
60;RARE;4=>3;4=>4
317;BORDERLINE;4=>3;4=>4
447;RARE;4=>3;4=>4
322;BORDERLINE;4=>3;4=>4
451;BORDERLINE;4=>3;4=>4
197;SAFE;4=>3;4=>4
199;SAFE;4=>3;4=>4
201;BORDERLINE;4=>3;4=>4
202;BORDERLINE;4=>3;4=>4
461;BORDERLINE;4=>3;4=>4
335;RARE;4=>3;4=>4
211;BORDERLINE;4=>3;4=>4
86;BORDERLINE;4=>3;4=>4
475;BORDERLINE;4=>3;4=>4
476;OUTLIER;4=>3;4=>4
353;RARE;4=>3;4=>4
483;BORDERLINE;4=>3;4=>4
229;BORDERLINE;4=>3;4=>4
103;OUTLIER;4=>3;4=>4
241;BORDERLINE;4=>3;4=>4
246;OUTLIER;4=>3;4=>4
247;OUTLIER;4=>3;4=>4
122;OUTLIER;4=>3;4=>4
252;SAFE;4=>3;4=>4
380;RARE;4=>3;4=>4
125;BORDERLINE;4=>3;4=>4
256;SAFE;4=>4;4=>5
2;SAFE;4=>4;4=>5
259;OUTLIER;4=>4;4=>5
4;SAFE;4=>4;4=>5
6;OUTLIER;4=>4;4=>5
7;OUTLIER;4=>4;4=>5
263;SAFE;4=>4;4=>5
12;SAFE;4=>4;4=>5
270;OUTLIER;4=>4;4=>5
15;OUTLIER;4=>4;4=>5
271;SAFE;4=>4;4=>5
18;SAFE;4=>4;4=>5
274;SAFE;4=>4;4=>5
275;OUTLIER;4=>4;4=>5
276;SAFE;4=>4;4=>5
21;OUTLIER;4=>4;4=>5
277;SAFE;4=>4;4=>5
278;SAFE;4=>4;4=>5
26;OUTLIER;4=>4;4=>5
31;SAFE;4=>4;4=>5
32;SAFE;4=>4;4=>5
288;OUTLIER;4=>4;4=>5
35;BORDERLINE;4=>4;4=>5
291;SAFE;4=>4;4=>5
38;SAFE;4=>4;4=>5
39;SAFE;4=>4;4=>5
