index;type;minority_decision;majority_decision
103;OUTLIER;4=>1;4=>2
122;OUTLIER;4=>1;4=>2
197;OUTLIER;4=>2;4=>3
7;OUTLIER;4=>2;4=>3
103;OUTLIER;4=>2;4=>3
199;SAFE;4=>2;4=>3
428;OUTLIER;4=>2;4=>3
45;BORDERLINE;4=>2;4=>3
270;BORDERLINE;4=>2;4=>3
302;BORDERLINE;4=>2;4=>3
21;SAFE;4=>2;4=>3
246;BORDERLINE;4=>2;4=>3
26;BORDERLINE;4=>2;4=>3
122;OUTLIER;4=>2;4=>3
252;BORDERLINE;4=>2;4=>3
476;SAFE;4=>2;4=>3
128;SAFE;4=>3;4=>4
4;SAFE;4=>3;4=>4
132;BORDERLINE;4=>3;4=>4
7;OUTLIER;4=>3;4=>4
135;OUTLIER;4=>3;4=>4
394;RARE;4=>3;4=>4
12;RARE;4=>3;4=>4
397;SAFE;4=>3;4=>4
270;BORDERLINE;4=>3;4=>4
271;BORDERLINE;4=>3;4=>4
276;RARE;4=>3;4=>4
21;SAFE;4=>3;4=>4
277;OUTLIER;4=>3;4=>4
278;BORDERLINE;4=>3;4=>4
151;BORDERLINE;4=>3;4=>4
26;BORDERLINE;4=>3;4=>4
32;RARE;4=>3;4=>4
424;OUTLIER;4=>3;4=>4
425;SAFE;4=>3;4=>4
299;OUTLIER;4=>3;4=>4
428;OUTLIER;4=>3;4=>4
45;BORDERLINE;4=>3;4=>4
302;BORDERLINE;4=>3;4=>4
47;OUTLIER;4=>3;4=>4
434;RARE;4=>3;4=>4
187;BORDERLINE;4=>3;4=>4
60;RARE;4=>3;4=>4
317;BORDERLINE;4=>3;4=>4
447;RARE;4=>3;4=>4
322;RARE;4=>3;4=>4
451;BORDERLINE;4=>3;4=>4
197;OUTLIER;4=>3;4=>4
199;SAFE;4=>3;4=>4
201;BORDERLINE;4=>3;4=>4
202;BORDERLINE;4=>3;4=>4
461;RARE;4=>3;4=>4
335;BORDERLINE;4=>3;4=>4
211;BORDERLINE;4=>3;4=>4
86;SAFE;4=>3;4=>4
475;RARE;4=>3;4=>4
476;SAFE;4=>3;4=>4
353;RARE;4=>3;4=>4
483;SAFE;4=>3;4=>4
229;OUTLIER;4=>3;4=>4
103;OUTLIER;4=>3;4=>4
241;SAFE;4=>3;4=>4
246;BORDERLINE;4=>3;4=>4
247;OUTLIER;4=>3;4=>4
122;OUTLIER;4=>3;4=>4
252;BORDERLINE;4=>3;4=>4
380;RARE;4=>3;4=>4
125;SAFE;4=>3;4=>4
256;SAFE;4=>4;4=>5
2;SAFE;4=>4;4=>5
259;OUTLIER;4=>4;4=>5
4;SAFE;4=>4;4=>5
6;OUTLIER;4=>4;4=>5
7;OUTLIER;4=>4;4=>5
263;BORDERLINE;4=>4;4=>5
12;RARE;4=>4;4=>5
270;BORDERLINE;4=>4;4=>5
15;BORDERLINE;4=>4;4=>5
271;BORDERLINE;4=>4;4=>5
18;SAFE;4=>4;4=>5
274;SAFE;4=>4;4=>5
275;SAFE;4=>4;4=>5
276;RARE;4=>4;4=>5
21;SAFE;4=>4;4=>5
277;OUTLIER;4=>4;4=>5
278;BORDERLINE;4=>4;4=>5
26;BORDERLINE;4=>4;4=>5
31;SAFE;4=>4;4=>5
32;RARE;4=>4;4=>5
288;SAFE;4=>4;4=>5
35;SAFE;4=>4;4=>5
291;BORDERLINE;4=>4;4=>5
38;SAFE;4=>4;4=>5
39;BORDERLINE;4=>4;4=>5
