index;type;minority_decision;majority_decision
512;SAFE;4=>0;4=>4
513;SAFE;4=>0;4=>4
897;SAFE;4=>0;4=>4
386;OUTLIER;4=>0;4=>4
131;BORDERLINE;4=>0;4=>4
387;BORDERLINE;4=>0;4=>4
772;RARE;4=>0;4=>4
5;SAFE;4=>0;4=>4
263;OUTLIER;4=>0;4=>4
391;SAFE;4=>0;4=>4
392;OUTLIER;4=>0;4=>4
520;OUTLIER;4=>0;4=>4
267;BORDERLINE;4=>0;4=>4
779;SAFE;4=>0;4=>4
12;SAFE;4=>0;4=>4
653;SAFE;4=>0;4=>4
142;SAFE;4=>0;4=>4
782;RARE;4=>0;4=>4
910;BORDERLINE;4=>0;4=>4
399;RARE;4=>0;4=>4
273;OUTLIER;4=>0;4=>4
913;OUTLIER;4=>0;4=>4
18;OUTLIER;4=>0;4=>4
148;SAFE;4=>0;4=>4
532;SAFE;4=>0;4=>4
150;RARE;4=>0;4=>4
407;RARE;4=>0;4=>4
793;SAFE;4=>0;4=>4
541;OUTLIER;4=>0;4=>4
670;OUTLIER;4=>0;4=>4
292;SAFE;4=>0;4=>4
804;SAFE;4=>0;4=>4
935;OUTLIER;4=>0;4=>4
685;RARE;4=>0;4=>4
687;OUTLIER;4=>0;4=>4
944;RARE;4=>0;4=>4
51;BORDERLINE;4=>0;4=>4
435;OUTLIER;4=>0;4=>4
181;OUTLIER;4=>0;4=>4
825;SAFE;4=>0;4=>4
317;SAFE;4=>0;4=>4
959;RARE;4=>0;4=>4
320;SAFE;4=>0;4=>4
576;SAFE;4=>0;4=>4
834;BORDERLINE;4=>0;4=>4
195;OUTLIER;4=>0;4=>4
835;SAFE;4=>0;4=>4
196;SAFE;4=>0;4=>4
964;RARE;4=>0;4=>4
838;RARE;4=>0;4=>4
711;SAFE;4=>0;4=>4
72;SAFE;4=>0;4=>4
456;RARE;4=>0;4=>4
712;SAFE;4=>0;4=>4
329;SAFE;4=>0;4=>4
585;SAFE;4=>0;4=>4
