index;type;minority_decision;majority_decision
512;SAFE;4=>0;4=>1
513;SAFE;4=>0;4=>1
897;SAFE;4=>0;4=>1
386;OUTLIER;4=>0;4=>1
131;BORDERLINE;4=>0;4=>1
387;BORDERLINE;4=>0;4=>1
772;RARE;4=>0;4=>1
5;SAFE;4=>0;4=>1
263;OUTLIER;4=>0;4=>1
391;SAFE;4=>0;4=>1
392;OUTLIER;4=>0;4=>1
520;OUTLIER;4=>0;4=>1
267;BORDERLINE;4=>0;4=>1
779;BORDERLINE;4=>0;4=>1
12;SAFE;4=>0;4=>1
653;SAFE;4=>0;4=>1
142;SAFE;4=>0;4=>1
782;RARE;4=>0;4=>1
910;BORDERLINE;4=>0;4=>1
399;RARE;4=>0;4=>1
273;OUTLIER;4=>0;4=>1
913;OUTLIER;4=>0;4=>1
18;RARE;4=>0;4=>1
148;SAFE;4=>0;4=>1
532;SAFE;4=>0;4=>1
150;RARE;4=>0;4=>1
407;RARE;4=>0;4=>1
793;SAFE;4=>0;4=>1
541;OUTLIER;4=>0;4=>1
670;OUTLIER;4=>0;4=>1
292;SAFE;4=>0;4=>1
804;SAFE;4=>0;4=>1
935;RARE;4=>0;4=>1
685;RARE;4=>0;4=>1
687;OUTLIER;4=>0;4=>1
944;BORDERLINE;4=>0;4=>1
51;BORDERLINE;4=>0;4=>1
435;OUTLIER;4=>0;4=>1
181;BORDERLINE;4=>0;4=>1
825;BORDERLINE;4=>0;4=>1
317;SAFE;4=>0;4=>1
959;RARE;4=>0;4=>1
320;SAFE;4=>0;4=>1
576;SAFE;4=>0;4=>1
834;BORDERLINE;4=>0;4=>1
195;OUTLIER;4=>0;4=>1
835;SAFE;4=>0;4=>1
196;SAFE;4=>0;4=>1
964;RARE;4=>0;4=>1
838;RARE;4=>0;4=>1
711;SAFE;4=>0;4=>1
72;SAFE;4=>0;4=>1
456;RARE;4=>0;4=>1
712;SAFE;4=>0;4=>1
329;SAFE;4=>0;4=>1
585;SAFE;4=>0;4=>1
75;OUTLIER;4=>0;4=>1
76;RARE;4=>0;4=>1
332;BORDERLINE;4=>0;4=>1
463;BORDERLINE;4=>0;4=>1
208;OUTLIER;4=>0;4=>1
84;OUTLIER;4=>0;4=>1
980;OUTLIER;4=>0;4=>1
853;BORDERLINE;4=>0;4=>1
87;SAFE;4=>0;4=>1
600;SAFE;4=>0;4=>1
347;OUTLIER;4=>0;4=>1
475;RARE;4=>0;4=>1
603;SAFE;4=>0;4=>1
348;SAFE;4=>0;4=>1
605;SAFE;4=>0;4=>1
350;SAFE;4=>0;4=>1
606;RARE;4=>0;4=>1
223;OUTLIER;4=>0;4=>1
994;RARE;4=>0;4=>1
100;OUTLIER;4=>0;4=>1
869;SAFE;4=>0;4=>1
997;RARE;4=>0;4=>1
617;RARE;4=>0;4=>1
874;SAFE;4=>0;4=>1
235;OUTLIER;4=>0;4=>1
621;SAFE;4=>0;4=>1
238;OUTLIER;4=>0;4=>1
111;SAFE;4=>0;4=>1
496;BORDERLINE;4=>0;4=>1
880;SAFE;4=>0;4=>1
370;OUTLIER;4=>0;4=>1
886;BORDERLINE;4=>0;4=>1
378;SAFE;4=>0;4=>1
762;SAFE;4=>0;4=>1
764;RARE;4=>0;4=>1
765;RARE;4=>0;4=>1
511;RARE;4=>0;4=>1
512;SAFE;4=>1;4=>2
513;SAFE;4=>1;4=>2
516;SAFE;4=>1;4=>2
5;OUTLIER;4=>1;4=>2
520;BORDERLINE;4=>1;4=>2
521;SAFE;4=>1;4=>2
11;BORDERLINE;4=>1;4=>2
12;SAFE;4=>1;4=>2
525;BORDERLINE;4=>1;4=>2
15;SAFE;4=>1;4=>2
17;RARE;4=>1;4=>2
529;SAFE;4=>1;4=>2
18;SAFE;4=>1;4=>2
19;BORDERLINE;4=>1;4=>2
532;SAFE;4=>1;4=>2
25;BORDERLINE;4=>1;4=>2
28;SAFE;4=>1;4=>2
29;SAFE;4=>1;4=>2
541;BORDERLINE;4=>1;4=>2
34;SAFE;4=>1;4=>2
547;SAFE;4=>1;4=>2
549;SAFE;4=>1;4=>2
38;RARE;4=>1;4=>2
39;BORDERLINE;4=>1;4=>2
40;SAFE;4=>1;4=>2
552;BORDERLINE;4=>1;4=>2
44;BORDERLINE;4=>1;4=>2
45;SAFE;4=>1;4=>2
48;BORDERLINE;4=>1;4=>2
