index;type;minority_decision;majority_decision
0;OUTLIER;10=>2;10=>5
192;BORDERLINE;10=>2;10=>5
640;OUTLIER;10=>2;10=>5
898;RARE;10=>2;10=>5
323;RARE;10=>2;10=>5
580;BORDERLINE;10=>2;10=>5
197;OUTLIER;10=>2;10=>5
838;RARE;10=>2;10=>5
651;RARE;10=>2;10=>5
844;BORDERLINE;10=>2;10=>5
211;RARE;10=>2;10=>5
659;OUTLIER;10=>2;10=>5
854;RARE;10=>2;10=>5
87;OUTLIER;10=>2;10=>5
154;RARE;10=>2;10=>5
858;RARE;10=>2;10=>5
667;OUTLIER;10=>2;10=>5
734;BORDERLINE;10=>2;10=>5
607;RARE;10=>2;10=>5
161;OUTLIER;10=>2;10=>5
613;BORDERLINE;10=>2;10=>5
39;OUTLIER;10=>2;10=>5
104;OUTLIER;10=>2;10=>5
168;OUTLIER;10=>2;10=>5
680;BORDERLINE;10=>2;10=>5
813;RARE;10=>2;10=>5
622;BORDERLINE;10=>2;10=>5
814;RARE;10=>2;10=>5
495;RARE;10=>2;10=>5
372;BORDERLINE;10=>2;10=>5
629;RARE;10=>2;10=>5
763;BORDERLINE;10=>2;10=>5
512;OUTLIER;10=>5;10=>2
1;BORDERLINE;10=>5;10=>2
2;BORDERLINE;10=>5;10=>2
514;BORDERLINE;10=>5;10=>2
3;BORDERLINE;10=>5;10=>2
518;OUTLIER;10=>5;10=>2
521;RARE;10=>5;10=>2
522;BORDERLINE;10=>5;10=>2
525;SAFE;10=>5;10=>2
526;SAFE;10=>5;10=>2
18;BORDERLINE;10=>5;10=>2
19;BORDERLINE;10=>5;10=>2
21;BORDERLINE;10=>5;10=>2
25;BORDERLINE;10=>5;10=>2
28;BORDERLINE;10=>5;10=>2
540;BORDERLINE;10=>5;10=>2
32;BORDERLINE;10=>5;10=>2
547;BORDERLINE;10=>5;10=>2
37;OUTLIER;10=>5;10=>2
40;RARE;10=>5;10=>2
42;BORDERLINE;10=>5;10=>2
554;BORDERLINE;10=>5;10=>2
555;SAFE;10=>5;10=>2
558;SAFE;10=>5;10=>2
47;RARE;10=>5;10=>2
561;RARE;10=>5;10=>2
53;RARE;10=>5;10=>2
54;RARE;10=>5;10=>2
566;SAFE;10=>5;10=>2
59;BORDERLINE;10=>5;10=>2
63;BORDERLINE;10=>5;10=>2
584;SAFE;10=>5;10=>2
588;OUTLIER;10=>5;10=>2
591;BORDERLINE;10=>5;10=>2
81;SAFE;10=>5;10=>2
593;BORDERLINE;10=>5;10=>2
83;BORDERLINE;10=>5;10=>2
599;SAFE;10=>5;10=>2
89;OUTLIER;10=>5;10=>2
601;BORDERLINE;10=>5;10=>2
603;BORDERLINE;10=>5;10=>2
608;BORDERLINE;10=>5;10=>2
99;RARE;10=>5;10=>2
100;RARE;10=>5;10=>2
614;BORDERLINE;10=>5;10=>2
103;OUTLIER;10=>5;10=>2
617;OUTLIER;10=>5;10=>2
113;RARE;10=>5;10=>2
625;OUTLIER;10=>5;10=>2
115;BORDERLINE;10=>5;10=>2
628;BORDERLINE;10=>5;10=>2
118;BORDERLINE;10=>5;10=>2
632;SAFE;10=>5;10=>2
634;BORDERLINE;10=>5;10=>2
125;RARE;10=>5;10=>2
127;BORDERLINE;10=>5;10=>2
133;SAFE;10=>5;10=>2
136;RARE;10=>5;10=>2
648;SAFE;10=>5;10=>2
140;SAFE;10=>5;10=>2
143;BORDERLINE;10=>5;10=>2
145;BORDERLINE;10=>5;10=>2
658;BORDERLINE;10=>5;10=>2
152;BORDERLINE;10=>5;10=>2
158;BORDERLINE;10=>5;10=>2
670;RARE;10=>5;10=>2
674;SAFE;10=>5;10=>2
163;BORDERLINE;10=>5;10=>2
675;SAFE;10=>5;10=>2
677;BORDERLINE;10=>5;10=>2
169;BORDERLINE;10=>5;10=>2
681;OUTLIER;10=>5;10=>2
682;BORDERLINE;10=>5;10=>2
171;OUTLIER;10=>5;10=>2
689;BORDERLINE;10=>5;10=>2
691;BORDERLINE;10=>5;10=>2
699;RARE;10=>5;10=>2
713;RARE;10=>5;10=>2
202;RARE;10=>5;10=>2
714;BORDERLINE;10=>5;10=>2
205;BORDERLINE;10=>5;10=>2
718;BORDERLINE;10=>5;10=>2
721;BORDERLINE;10=>5;10=>2
210;RARE;10=>5;10=>2
214;SAFE;10=>5;10=>2
219;BORDERLINE;10=>5;10=>2
731;SAFE;10=>5;10=>2
224;RARE;10=>5;10=>2
232;BORDERLINE;10=>5;10=>2
237;OUTLIER;10=>5;10=>2
754;SAFE;10=>5;10=>2
248;SAFE;10=>5;10=>2
762;BORDERLINE;10=>5;10=>2
252;SAFE;10=>5;10=>2
253;BORDERLINE;10=>5;10=>2
254;BORDERLINE;10=>5;10=>2
255;RARE;10=>5;10=>2
256;SAFE;10=>5;10=>2
768;OUTLIER;10=>5;10=>2
258;BORDERLINE;10=>5;10=>2
770;OUTLIER;10=>5;10=>2
773;RARE;10=>5;10=>2
263;BORDERLINE;10=>5;10=>2
266;OUTLIER;10=>5;10=>2
267;BORDERLINE;10=>5;10=>2
268;BORDERLINE;10=>5;10=>2
781;BORDERLINE;10=>5;10=>2
782;SAFE;10=>5;10=>2
786;SAFE;10=>5;10=>2
787;SAFE;10=>5;10=>2
279;BORDERLINE;10=>5;10=>2
794;SAFE;10=>5;10=>2
796;BORDERLINE;10=>5;10=>2
286;OUTLIER;10=>5;10=>2
292;BORDERLINE;10=>5;10=>2
806;OUTLIER;10=>5;10=>2
809;BORDERLINE;10=>5;10=>2
302;SAFE;10=>5;10=>2
820;BORDERLINE;10=>5;10=>2
821;BORDERLINE;10=>5;10=>2
825;OUTLIER;10=>5;10=>2
315;BORDERLINE;10=>5;10=>2
827;BORDERLINE;10=>5;10=>2
316;SAFE;10=>5;10=>2
830;BORDERLINE;10=>5;10=>2
319;BORDERLINE;10=>5;10=>2
831;SAFE;10=>5;10=>2
832;OUTLIER;10=>5;10=>2
834;SAFE;10=>5;10=>2
325;SAFE;10=>5;10=>2
837;BORDERLINE;10=>5;10=>2
839;OUTLIER;10=>5;10=>2
328;RARE;10=>5;10=>2
329;SAFE;10=>5;10=>2
330;SAFE;10=>5;10=>2
848;BORDERLINE;10=>5;10=>2
339;SAFE;10=>5;10=>2
341;BORDERLINE;10=>5;10=>2
853;OUTLIER;10=>5;10=>2
343;SAFE;10=>5;10=>2
857;RARE;10=>5;10=>2
348;BORDERLINE;10=>5;10=>2
351;BORDERLINE;10=>5;10=>2
863;BORDERLINE;10=>5;10=>2
352;OUTLIER;10=>5;10=>2
