index;type;minority_decision;majority_decision
0;OUTLIER;10=>2;10=>3
192;BORDERLINE;10=>2;10=>3
640;OUTLIER;10=>2;10=>3
898;RARE;10=>2;10=>3
323;RARE;10=>2;10=>3
580;BORDERLINE;10=>2;10=>3
197;OUTLIER;10=>2;10=>3
838;RARE;10=>2;10=>3
651;RARE;10=>2;10=>3
844;BORDERLINE;10=>2;10=>3
211;RARE;10=>2;10=>3
659;OUTLIER;10=>2;10=>3
854;RARE;10=>2;10=>3
87;OUTLIER;10=>2;10=>3
154;RARE;10=>2;10=>3
858;RARE;10=>2;10=>3
667;OUTLIER;10=>2;10=>3
734;BORDERLINE;10=>2;10=>3
607;RARE;10=>2;10=>3
161;OUTLIER;10=>2;10=>3
613;BORDERLINE;10=>2;10=>3
39;OUTLIER;10=>2;10=>3
104;OUTLIER;10=>2;10=>3
168;OUTLIER;10=>2;10=>3
680;BORDERLINE;10=>2;10=>3
813;RARE;10=>2;10=>3
622;BORDERLINE;10=>2;10=>3
814;RARE;10=>2;10=>3
495;RARE;10=>2;10=>3
372;BORDERLINE;10=>2;10=>3
629;RARE;10=>2;10=>3
763;BORDERLINE;10=>2;10=>3
0;OUTLIER;10=>3;10=>4
513;SAFE;10=>3;10=>4
4;BORDERLINE;10=>3;10=>4
519;SAFE;10=>3;10=>4
8;SAFE;10=>3;10=>4
520;BORDERLINE;10=>3;10=>4
10;OUTLIER;10=>3;10=>4
523;SAFE;10=>3;10=>4
12;SAFE;10=>3;10=>4
524;BORDERLINE;10=>3;10=>4
16;BORDERLINE;10=>3;10=>4
20;SAFE;10=>3;10=>4
536;BORDERLINE;10=>3;10=>4
27;BORDERLINE;10=>3;10=>4
29;RARE;10=>3;10=>4
542;BORDERLINE;10=>3;10=>4
543;BORDERLINE;10=>3;10=>4
33;BORDERLINE;10=>3;10=>4
34;OUTLIER;10=>3;10=>4
546;SAFE;10=>3;10=>4
36;OUTLIER;10=>3;10=>4
548;RARE;10=>3;10=>4
549;OUTLIER;10=>3;10=>4
38;SAFE;10=>3;10=>4
39;OUTLIER;10=>3;10=>4
41;SAFE;10=>3;10=>4
44;BORDERLINE;10=>3;10=>4
556;SAFE;10=>3;10=>4
46;OUTLIER;10=>3;10=>4
49;BORDERLINE;10=>3;10=>4
50;SAFE;10=>3;10=>4
51;BORDERLINE;10=>3;10=>4
567;SAFE;10=>3;10=>4
568;RARE;10=>3;10=>4
57;BORDERLINE;10=>3;10=>4
569;SAFE;10=>3;10=>4
572;SAFE;10=>3;10=>4
61;RARE;10=>3;10=>4
573;SAFE;10=>3;10=>4
576;OUTLIER;10=>3;10=>4
577;SAFE;10=>3;10=>4
580;BORDERLINE;10=>3;10=>4
69;RARE;10=>3;10=>4
70;SAFE;10=>3;10=>4
71;SAFE;10=>3;10=>4
72;SAFE;10=>3;10=>4
74;SAFE;10=>3;10=>4
75;SAFE;10=>3;10=>4
587;SAFE;10=>3;10=>4
77;SAFE;10=>3;10=>4
78;SAFE;10=>3;10=>4
79;SAFE;10=>3;10=>4
85;SAFE;10=>3;10=>4
87;OUTLIER;10=>3;10=>4
88;OUTLIER;10=>3;10=>4
600;BORDERLINE;10=>3;10=>4
90;BORDERLINE;10=>3;10=>4
602;BORDERLINE;10=>3;10=>4
91;RARE;10=>3;10=>4
92;BORDERLINE;10=>3;10=>4
604;SAFE;10=>3;10=>4
93;BORDERLINE;10=>3;10=>4
94;OUTLIER;10=>3;10=>4
606;SAFE;10=>3;10=>4
95;SAFE;10=>3;10=>4
607;RARE;10=>3;10=>4
98;RARE;10=>3;10=>4
610;SAFE;10=>3;10=>4
611;SAFE;10=>3;10=>4
613;BORDERLINE;10=>3;10=>4
615;SAFE;10=>3;10=>4
104;OUTLIER;10=>3;10=>4
106;BORDERLINE;10=>3;10=>4
108;RARE;10=>3;10=>4
621;BORDERLINE;10=>3;10=>4
622;BORDERLINE;10=>3;10=>4
623;BORDERLINE;10=>3;10=>4
626;OUTLIER;10=>3;10=>4
627;SAFE;10=>3;10=>4
116;BORDERLINE;10=>3;10=>4
629;RARE;10=>3;10=>4
630;OUTLIER;10=>3;10=>4
119;SAFE;10=>3;10=>4
631;BORDERLINE;10=>3;10=>4
123;RARE;10=>3;10=>4
635;BORDERLINE;10=>3;10=>4
124;SAFE;10=>3;10=>4
636;SAFE;10=>3;10=>4
126;BORDERLINE;10=>3;10=>4
638;SAFE;10=>3;10=>4
639;OUTLIER;10=>3;10=>4
128;RARE;10=>3;10=>4
640;OUTLIER;10=>3;10=>4
641;OUTLIER;10=>3;10=>4
130;SAFE;10=>3;10=>4
132;RARE;10=>3;10=>4
645;BORDERLINE;10=>3;10=>4
138;SAFE;10=>3;10=>4
650;SAFE;10=>3;10=>4
139;BORDERLINE;10=>3;10=>4
651;RARE;10=>3;10=>4
141;RARE;10=>3;10=>4
142;BORDERLINE;10=>3;10=>4
654;SAFE;10=>3;10=>4
655;SAFE;10=>3;10=>4
144;SAFE;10=>3;10=>4
656;RARE;10=>3;10=>4
657;BORDERLINE;10=>3;10=>4
147;SAFE;10=>3;10=>4
659;OUTLIER;10=>3;10=>4
660;OUTLIER;10=>3;10=>4
661;SAFE;10=>3;10=>4
664;RARE;10=>3;10=>4
153;BORDERLINE;10=>3;10=>4
665;BORDERLINE;10=>3;10=>4
154;RARE;10=>3;10=>4
666;BORDERLINE;10=>3;10=>4
667;OUTLIER;10=>3;10=>4
668;BORDERLINE;10=>3;10=>4
161;OUTLIER;10=>3;10=>4
673;SAFE;10=>3;10=>4
676;SAFE;10=>3;10=>4
678;BORDERLINE;10=>3;10=>4
679;BORDERLINE;10=>3;10=>4
168;OUTLIER;10=>3;10=>4
680;BORDERLINE;10=>3;10=>4
170;SAFE;10=>3;10=>4
683;SAFE;10=>3;10=>4
684;SAFE;10=>3;10=>4
173;BORDERLINE;10=>3;10=>4
685;RARE;10=>3;10=>4
174;SAFE;10=>3;10=>4
686;BORDERLINE;10=>3;10=>4
175;OUTLIER;10=>3;10=>4
176;RARE;10=>3;10=>4
178;BORDERLINE;10=>3;10=>4
690;BORDERLINE;10=>3;10=>4
180;RARE;10=>3;10=>4
692;BORDERLINE;10=>3;10=>4
181;SAFE;10=>3;10=>4
693;BORDERLINE;10=>3;10=>4
696;BORDERLINE;10=>3;10=>4
186;SAFE;10=>3;10=>4
188;RARE;10=>3;10=>4
700;BORDERLINE;10=>3;10=>4
189;OUTLIER;10=>3;10=>4
702;BORDERLINE;10=>3;10=>4
192;BORDERLINE;10=>3;10=>4
193;BORDERLINE;10=>3;10=>4
705;OUTLIER;10=>3;10=>4
706;BORDERLINE;10=>3;10=>4
196;BORDERLINE;10=>3;10=>4
708;SAFE;10=>3;10=>4
197;OUTLIER;10=>3;10=>4
710;BORDERLINE;10=>3;10=>4
711;SAFE;10=>3;10=>4
712;RARE;10=>3;10=>4
715;SAFE;10=>3;10=>4
204;OUTLIER;10=>3;10=>4
716;OUTLIER;10=>3;10=>4
208;BORDERLINE;10=>3;10=>4
720;SAFE;10=>3;10=>4
722;OUTLIER;10=>3;10=>4
211;RARE;10=>3;10=>4
723;SAFE;10=>3;10=>4
212;OUTLIER;10=>3;10=>4
725;SAFE;10=>3;10=>4
726;BORDERLINE;10=>3;10=>4
215;RARE;10=>3;10=>4
217;BORDERLINE;10=>3;10=>4
218;OUTLIER;10=>3;10=>4
220;RARE;10=>3;10=>4
732;SAFE;10=>3;10=>4
221;BORDERLINE;10=>3;10=>4
734;BORDERLINE;10=>3;10=>4
735;BORDERLINE;10=>3;10=>4
226;SAFE;10=>3;10=>4
738;SAFE;10=>3;10=>4
229;BORDERLINE;10=>3;10=>4
230;BORDERLINE;10=>3;10=>4
742;SAFE;10=>3;10=>4
743;SAFE;10=>3;10=>4
234;BORDERLINE;10=>3;10=>4
746;OUTLIER;10=>3;10=>4
235;RARE;10=>3;10=>4
747;BORDERLINE;10=>3;10=>4
236;BORDERLINE;10=>3;10=>4
748;SAFE;10=>3;10=>4
749;OUTLIER;10=>3;10=>4
238;SAFE;10=>3;10=>4
750;BORDERLINE;10=>3;10=>4
751;BORDERLINE;10=>3;10=>4
241;OUTLIER;10=>3;10=>4
242;BORDERLINE;10=>3;10=>4
243;SAFE;10=>3;10=>4
755;BORDERLINE;10=>3;10=>4
244;BORDERLINE;10=>3;10=>4
756;RARE;10=>3;10=>4
245;SAFE;10=>3;10=>4
758;BORDERLINE;10=>3;10=>4
247;BORDERLINE;10=>3;10=>4
760;BORDERLINE;10=>3;10=>4
249;SAFE;10=>3;10=>4
761;BORDERLINE;10=>3;10=>4
763;BORDERLINE;10=>3;10=>4
764;RARE;10=>3;10=>4
765;RARE;10=>3;10=>4
766;BORDERLINE;10=>3;10=>4
767;RARE;10=>3;10=>4
769;RARE;10=>3;10=>4
259;BORDERLINE;10=>3;10=>4
260;SAFE;10=>3;10=>4
264;BORDERLINE;10=>3;10=>4
776;RARE;10=>3;10=>4
265;SAFE;10=>3;10=>4
778;OUTLIER;10=>3;10=>4
