index;type;minority_decision;majority_decision
515;BORDERLINE;4=>L;4=>R
525;SAFE;4=>L;4=>R
526;SAFE;4=>L;4=>R
527;SAFE;4=>L;4=>R
528;SAFE;4=>L;4=>R
529;SAFE;4=>L;4=>R
530;SAFE;4=>L;4=>R
531;SAFE;4=>L;4=>R
532;SAFE;4=>L;4=>R
533;BORDERLINE;4=>L;4=>R
535;SAFE;4=>L;4=>R
536;SAFE;4=>L;4=>R
25;SAFE;4=>L;4=>R
537;BORDERLINE;4=>L;4=>R
540;SAFE;4=>L;4=>R
541;BORDERLINE;4=>L;4=>R
545;SAFE;4=>L;4=>R
550;SAFE;4=>L;4=>R
551;SAFE;4=>L;4=>R
552;SAFE;4=>L;4=>R
553;SAFE;4=>L;4=>R
554;SAFE;4=>L;4=>R
555;SAFE;4=>L;4=>R
556;SAFE;4=>L;4=>R
557;SAFE;4=>L;4=>R
558;SAFE;4=>L;4=>R
559;SAFE;4=>L;4=>R
560;SAFE;4=>L;4=>R
561;SAFE;4=>L;4=>R
50;SAFE;4=>L;4=>R
562;SAFE;4=>L;4=>R
51;SAFE;4=>L;4=>R
563;BORDERLINE;4=>L;4=>R
565;SAFE;4=>L;4=>R
566;SAFE;4=>L;4=>R
55;SAFE;4=>L;4=>R
567;BORDERLINE;4=>L;4=>R
570;SAFE;4=>L;4=>R
571;SAFE;4=>L;4=>R
575;SAFE;4=>L;4=>R
576;SAFE;4=>L;4=>R
577;SAFE;4=>L;4=>R
578;SAFE;4=>L;4=>R
579;SAFE;4=>L;4=>R
580;SAFE;4=>L;4=>R
581;SAFE;4=>L;4=>R
582;SAFE;4=>L;4=>R
583;SAFE;4=>L;4=>R
584;SAFE;4=>L;4=>R
585;SAFE;4=>L;4=>R
586;SAFE;4=>L;4=>R
75;SAFE;4=>L;4=>R
587;SAFE;4=>L;4=>R
76;SAFE;4=>L;4=>R
588;SAFE;4=>L;4=>R
77;SAFE;4=>L;4=>R
589;SAFE;4=>L;4=>R
590;SAFE;4=>L;4=>R
591;SAFE;4=>L;4=>R
80;SAFE;4=>L;4=>R
592;SAFE;4=>L;4=>R
593;SAFE;4=>L;4=>R
595;SAFE;4=>L;4=>R
596;SAFE;4=>L;4=>R
85;SAFE;4=>L;4=>R
597;SAFE;4=>L;4=>R
600;SAFE;4=>L;4=>R
601;SAFE;4=>L;4=>R
602;SAFE;4=>L;4=>R
603;SAFE;4=>L;4=>R
604;SAFE;4=>L;4=>R
605;SAFE;4=>L;4=>R
606;SAFE;4=>L;4=>R
607;SAFE;4=>L;4=>R
608;SAFE;4=>L;4=>R
609;SAFE;4=>L;4=>R
610;SAFE;4=>L;4=>R
611;SAFE;4=>L;4=>R
100;SAFE;4=>L;4=>R
612;SAFE;4=>L;4=>R
101;SAFE;4=>L;4=>R
613;SAFE;4=>L;4=>R
102;SAFE;4=>L;4=>R
614;SAFE;4=>L;4=>R
103;BORDERLINE;4=>L;4=>R
615;SAFE;4=>L;4=>R
616;SAFE;4=>L;4=>R
105;SAFE;4=>L;4=>R
617;SAFE;4=>L;4=>R
106;BORDERLINE;4=>L;4=>R
618;SAFE;4=>L;4=>R
619;SAFE;4=>L;4=>R
620;SAFE;4=>L;4=>R
621;SAFE;4=>L;4=>R
110;SAFE;4=>L;4=>R
622;SAFE;4=>L;4=>R
623;SAFE;4=>L;4=>R
115;BORDERLINE;4=>L;4=>R
125;SAFE;4=>L;4=>R
150;SAFE;4=>L;4=>R
151;SAFE;4=>L;4=>R
152;BORDERLINE;4=>L;4=>R
155;SAFE;4=>L;4=>R
160;BORDERLINE;4=>L;4=>R
175;SAFE;4=>L;4=>R
176;SAFE;4=>L;4=>R
177;SAFE;4=>L;4=>R
178;BORDERLINE;4=>L;4=>R
179;BORDERLINE;4=>L;4=>R
180;SAFE;4=>L;4=>R
181;SAFE;4=>L;4=>R
185;SAFE;4=>L;4=>R
190;BORDERLINE;4=>L;4=>R
195;BORDERLINE;4=>L;4=>R
