index;type;minority_decision;majority_decision
515;BORDERLINE;4=>L;4=>B
525;SAFE;4=>L;4=>B
526;SAFE;4=>L;4=>B
527;SAFE;4=>L;4=>B
528;SAFE;4=>L;4=>B
529;BORDERLINE;4=>L;4=>B
530;SAFE;4=>L;4=>B
531;SAFE;4=>L;4=>B
532;SAFE;4=>L;4=>B
533;BORDERLINE;4=>L;4=>B
535;SAFE;4=>L;4=>B
536;SAFE;4=>L;4=>B
25;BORDERLINE;4=>L;4=>B
537;BORDERLINE;4=>L;4=>B
540;SAFE;4=>L;4=>B
541;BORDERLINE;4=>L;4=>B
545;BORDERLINE;4=>L;4=>B
550;SAFE;4=>L;4=>B
551;SAFE;4=>L;4=>B
552;SAFE;4=>L;4=>B
553;SAFE;4=>L;4=>B
554;SAFE;4=>L;4=>B
555;SAFE;4=>L;4=>B
556;SAFE;4=>L;4=>B
557;SAFE;4=>L;4=>B
558;SAFE;4=>L;4=>B
559;BORDERLINE;4=>L;4=>B
560;SAFE;4=>L;4=>B
561;SAFE;4=>L;4=>B
50;SAFE;4=>L;4=>B
562;SAFE;4=>L;4=>B
51;BORDERLINE;4=>L;4=>B
563;BORDERLINE;4=>L;4=>B
565;SAFE;4=>L;4=>B
566;SAFE;4=>L;4=>B
55;BORDERLINE;4=>L;4=>B
567;BORDERLINE;4=>L;4=>B
570;SAFE;4=>L;4=>B
571;BORDERLINE;4=>L;4=>B
575;SAFE;4=>L;4=>B
576;SAFE;4=>L;4=>B
577;SAFE;4=>L;4=>B
578;SAFE;4=>L;4=>B
579;SAFE;4=>L;4=>B
580;SAFE;4=>L;4=>B
581;SAFE;4=>L;4=>B
582;SAFE;4=>L;4=>B
583;SAFE;4=>L;4=>B
584;SAFE;4=>L;4=>B
585;SAFE;4=>L;4=>B
586;SAFE;4=>L;4=>B
75;SAFE;4=>L;4=>B
587;SAFE;4=>L;4=>B
76;SAFE;4=>L;4=>B
588;SAFE;4=>L;4=>B
77;BORDERLINE;4=>L;4=>B
589;BORDERLINE;4=>L;4=>B
590;SAFE;4=>L;4=>B
591;SAFE;4=>L;4=>B
80;SAFE;4=>L;4=>B
592;SAFE;4=>L;4=>B
593;BORDERLINE;4=>L;4=>B
595;SAFE;4=>L;4=>B
596;SAFE;4=>L;4=>B
85;BORDERLINE;4=>L;4=>B
597;BORDERLINE;4=>L;4=>B
600;SAFE;4=>L;4=>B
601;SAFE;4=>L;4=>B
602;SAFE;4=>L;4=>B
603;SAFE;4=>L;4=>B
604;SAFE;4=>L;4=>B
605;SAFE;4=>L;4=>B
606;SAFE;4=>L;4=>B
607;SAFE;4=>L;4=>B
608;SAFE;4=>L;4=>B
609;SAFE;4=>L;4=>B
610;SAFE;4=>L;4=>B
611;SAFE;4=>L;4=>B
100;SAFE;4=>L;4=>B
612;SAFE;4=>L;4=>B
101;SAFE;4=>L;4=>B
613;SAFE;4=>L;4=>B
102;SAFE;4=>L;4=>B
614;SAFE;4=>L;4=>B
103;BORDERLINE;4=>L;4=>B
615;SAFE;4=>L;4=>B
616;SAFE;4=>L;4=>B
105;SAFE;4=>L;4=>B
617;SAFE;4=>L;4=>B
106;BORDERLINE;4=>L;4=>B
618;SAFE;4=>L;4=>B
619;BORDERLINE;4=>L;4=>B
620;SAFE;4=>L;4=>B
621;SAFE;4=>L;4=>B
110;SAFE;4=>L;4=>B
622;SAFE;4=>L;4=>B
