index;type;minority_decision;majority_decision
0;SAFE;9=>benign;9=>malignant
1;OUTLIER;9=>benign;9=>malignant
2;SAFE;9=>benign;9=>malignant
3;OUTLIER;9=>benign;9=>malignant
4;SAFE;9=>benign;9=>malignant
6;SAFE;9=>benign;9=>malignant
7;SAFE;9=>benign;9=>malignant
8;OUTLIER;9=>benign;9=>malignant
9;SAFE;9=>benign;9=>malignant
10;SAFE;9=>benign;9=>malignant
11;SAFE;9=>benign;9=>malignant
13;SAFE;9=>benign;9=>malignant
16;SAFE;9=>benign;9=>malignant
17;SAFE;9=>benign;9=>malignant
19;SAFE;9=>benign;9=>malignant
22;SAFE;9=>benign;9=>malignant
24;SAFE;9=>benign;9=>malignant
26;SAFE;9=>benign;9=>malignant
27;SAFE;9=>benign;9=>malignant
28;SAFE;9=>benign;9=>malignant
29;SAFE;9=>benign;9=>malignant
30;SAFE;9=>benign;9=>malignant
31;SAFE;9=>benign;9=>malignant
33;SAFE;9=>benign;9=>malignant
34;SAFE;9=>benign;9=>malignant
35;SAFE;9=>benign;9=>malignant
37;OUTLIER;9=>benign;9=>malignant
40;OUTLIER;9=>benign;9=>malignant
45;SAFE;9=>benign;9=>malignant
47;SAFE;9=>benign;9=>malignant
48;SAFE;9=>benign;9=>malignant
61;SAFE;9=>benign;9=>malignant
64;SAFE;9=>benign;9=>malignant
66;SAFE;9=>benign;9=>malignant
69;SAFE;9=>benign;9=>malignant
70;SAFE;9=>benign;9=>malignant
72;OUTLIER;9=>benign;9=>malignant
75;OUTLIER;9=>benign;9=>malignant
76;SAFE;9=>benign;9=>malignant
77;SAFE;9=>benign;9=>malignant
78;SAFE;9=>benign;9=>malignant
79;SAFE;9=>benign;9=>malignant
80;OUTLIER;9=>benign;9=>malignant
81;SAFE;9=>benign;9=>malignant
82;SAFE;9=>benign;9=>malignant
83;OUTLIER;9=>benign;9=>malignant
88;SAFE;9=>benign;9=>malignant
89;SAFE;9=>benign;9=>malignant
90;SAFE;9=>benign;9=>malignant
91;SAFE;9=>benign;9=>malignant
92;SAFE;9=>benign;9=>malignant
93;SAFE;9=>benign;9=>malignant
94;SAFE;9=>benign;9=>malignant
95;SAFE;9=>benign;9=>malignant
96;SAFE;9=>benign;9=>malignant
97;SAFE;9=>benign;9=>malignant
102;SAFE;9=>benign;9=>malignant
108;SAFE;9=>benign;9=>malignant
110;OUTLIER;9=>benign;9=>malignant
114;OUTLIER;9=>benign;9=>malignant
115;SAFE;9=>benign;9=>malignant
116;OUTLIER;9=>benign;9=>malignant
118;OUTLIER;9=>benign;9=>malignant
119;SAFE;9=>benign;9=>malignant
120;SAFE;9=>benign;9=>malignant
121;SAFE;9=>benign;9=>malignant
125;SAFE;9=>benign;9=>malignant
127;SAFE;9=>benign;9=>malignant
129;OUTLIER;9=>benign;9=>malignant
130;SAFE;9=>benign;9=>malignant
131;SAFE;9=>benign;9=>malignant
133;SAFE;9=>benign;9=>malignant
134;SAFE;9=>benign;9=>malignant
135;SAFE;9=>benign;9=>malignant
136;SAFE;9=>benign;9=>malignant
137;SAFE;9=>benign;9=>malignant
138;SAFE;9=>benign;9=>malignant
139;SAFE;9=>benign;9=>malignant
140;SAFE;9=>benign;9=>malignant
141;SAFE;9=>benign;9=>malignant
143;SAFE;9=>benign;9=>malignant
144;SAFE;9=>benign;9=>malignant
145;SAFE;9=>benign;9=>malignant
147;SAFE;9=>benign;9=>malignant
148;OUTLIER;9=>benign;9=>malignant
150;SAFE;9=>benign;9=>malignant
153;SAFE;9=>benign;9=>malignant
154;SAFE;9=>benign;9=>malignant
156;SAFE;9=>benign;9=>malignant
157;SAFE;9=>benign;9=>malignant
158;OUTLIER;9=>benign;9=>malignant
161;SAFE;9=>benign;9=>malignant
162;SAFE;9=>benign;9=>malignant
163;OUTLIER;9=>benign;9=>malignant
164;SAFE;9=>benign;9=>malignant
165;SAFE;9=>benign;9=>malignant
168;SAFE;9=>benign;9=>malignant
169;SAFE;9=>benign;9=>malignant
170;SAFE;9=>benign;9=>malignant
171;SAFE;9=>benign;9=>malignant
172;SAFE;9=>benign;9=>malignant
176;SAFE;9=>benign;9=>malignant
178;SAFE;9=>benign;9=>malignant
180;SAFE;9=>benign;9=>malignant
181;SAFE;9=>benign;9=>malignant
182;SAFE;9=>benign;9=>malignant
185;SAFE;9=>benign;9=>malignant
189;SAFE;9=>benign;9=>malignant
192;SAFE;9=>benign;9=>malignant
193;SAFE;9=>benign;9=>malignant
194;SAFE;9=>benign;9=>malignant
195;SAFE;9=>benign;9=>malignant
196;OUTLIER;9=>benign;9=>malignant
197;SAFE;9=>benign;9=>malignant
198;SAFE;9=>benign;9=>malignant
199;SAFE;9=>benign;9=>malignant
202;SAFE;9=>benign;9=>malignant
203;SAFE;9=>benign;9=>malignant
204;SAFE;9=>benign;9=>malignant
207;SAFE;9=>benign;9=>malignant
208;SAFE;9=>benign;9=>malignant
209;SAFE;9=>benign;9=>malignant
212;SAFE;9=>benign;9=>malignant
216;SAFE;9=>benign;9=>malignant
217;SAFE;9=>benign;9=>malignant
219;SAFE;9=>benign;9=>malignant
220;SAFE;9=>benign;9=>malignant
225;SAFE;9=>benign;9=>malignant
228;SAFE;9=>benign;9=>malignant
232;OUTLIER;9=>benign;9=>malignant
234;OUTLIER;9=>benign;9=>malignant
235;OUTLIER;9=>benign;9=>malignant
240;OUTLIER;9=>benign;9=>malignant
241;SAFE;9=>benign;9=>malignant
242;SAFE;9=>benign;9=>malignant
243;OUTLIER;9=>benign;9=>malignant
244;SAFE;9=>benign;9=>malignant
245;SAFE;9=>benign;9=>malignant
248;OUTLIER;9=>benign;9=>malignant
249;SAFE;9=>benign;9=>malignant
250;SAFE;9=>benign;9=>malignant
252;OUTLIER;9=>benign;9=>malignant
256;SAFE;9=>benign;9=>malignant
257;SAFE;9=>benign;9=>malignant
258;SAFE;9=>benign;9=>malignant
259;OUTLIER;9=>benign;9=>malignant
265;SAFE;9=>benign;9=>malignant
269;SAFE;9=>benign;9=>malignant
271;SAFE;9=>benign;9=>malignant
274;SAFE;9=>benign;9=>malignant
275;OUTLIER;9=>benign;9=>malignant
276;SAFE;9=>benign;9=>malignant
277;SAFE;9=>benign;9=>malignant
278;SAFE;9=>benign;9=>malignant
280;SAFE;9=>benign;9=>malignant
281;SAFE;9=>benign;9=>malignant
287;SAFE;9=>benign;9=>malignant
290;SAFE;9=>benign;9=>malignant
291;SAFE;9=>benign;9=>malignant
294;SAFE;9=>benign;9=>malignant
296;OUTLIER;9=>benign;9=>malignant
297;OUTLIER;9=>benign;9=>malignant
298;OUTLIER;9=>benign;9=>malignant
301;SAFE;9=>benign;9=>malignant
303;SAFE;9=>benign;9=>malignant
306;SAFE;9=>benign;9=>malignant
307;SAFE;9=>benign;9=>malignant
309;OUTLIER;9=>benign;9=>malignant
310;SAFE;9=>benign;9=>malignant
311;SAFE;9=>benign;9=>malignant
313;SAFE;9=>benign;9=>malignant
314;SAFE;9=>benign;9=>malignant
315;OUTLIER;9=>benign;9=>malignant
318;OUTLIER;9=>benign;9=>malignant
319;OUTLIER;9=>benign;9=>malignant
321;SAFE;9=>benign;9=>malignant
322;SAFE;9=>benign;9=>malignant
324;SAFE;9=>benign;9=>malignant
325;SAFE;9=>benign;9=>malignant
327;SAFE;9=>benign;9=>malignant
331;SAFE;9=>benign;9=>malignant
332;SAFE;9=>benign;9=>malignant
335;SAFE;9=>benign;9=>malignant
337;SAFE;9=>benign;9=>malignant
338;SAFE;9=>benign;9=>malignant
341;SAFE;9=>benign;9=>malignant
342;SAFE;9=>benign;9=>malignant
343;SAFE;9=>benign;9=>malignant
345;SAFE;9=>benign;9=>malignant
346;SAFE;9=>benign;9=>malignant
347;SAFE;9=>benign;9=>malignant
