index;type;minority_decision;majority_decision
514;SAFE;9=>malignant;9=>benign
515;SAFE;9=>malignant;9=>benign
5;SAFE;9=>malignant;9=>benign
519;SAFE;9=>malignant;9=>benign
522;SAFE;9=>malignant;9=>benign
523;SAFE;9=>malignant;9=>benign
12;OUTLIER;9=>malignant;9=>benign
14;SAFE;9=>malignant;9=>benign
15;BORDERLINE;9=>malignant;9=>benign
18;SAFE;9=>malignant;9=>benign
530;SAFE;9=>malignant;9=>benign
20;SAFE;9=>malignant;9=>benign
21;SAFE;9=>malignant;9=>benign
23;SAFE;9=>malignant;9=>benign
25;BORDERLINE;9=>malignant;9=>benign
32;SAFE;9=>malignant;9=>benign
546;SAFE;9=>malignant;9=>benign
36;SAFE;9=>malignant;9=>benign
549;SAFE;9=>malignant;9=>benign
38;SAFE;9=>malignant;9=>benign
39;SAFE;9=>malignant;9=>benign
41;SAFE;9=>malignant;9=>benign
42;SAFE;9=>malignant;9=>benign
43;SAFE;9=>malignant;9=>benign
44;SAFE;9=>malignant;9=>benign
46;SAFE;9=>malignant;9=>benign
49;SAFE;9=>malignant;9=>benign
50;SAFE;9=>malignant;9=>benign
51;RARE;9=>malignant;9=>benign
52;SAFE;9=>malignant;9=>benign
53;SAFE;9=>malignant;9=>benign
565;SAFE;9=>malignant;9=>benign
54;SAFE;9=>malignant;9=>benign
55;SAFE;9=>malignant;9=>benign
56;BORDERLINE;9=>malignant;9=>benign
568;SAFE;9=>malignant;9=>benign
57;BORDERLINE;9=>malignant;9=>benign
569;OUTLIER;9=>malignant;9=>benign
58;BORDERLINE;9=>malignant;9=>benign
570;OUTLIER;9=>malignant;9=>benign
59;SAFE;9=>malignant;9=>benign
571;SAFE;9=>malignant;9=>benign
60;BORDERLINE;9=>malignant;9=>benign
62;SAFE;9=>malignant;9=>benign
574;SAFE;9=>malignant;9=>benign
63;BORDERLINE;9=>malignant;9=>benign
65;OUTLIER;9=>malignant;9=>benign
67;SAFE;9=>malignant;9=>benign
68;SAFE;9=>malignant;9=>benign
581;SAFE;9=>malignant;9=>benign
582;SAFE;9=>malignant;9=>benign
71;OUTLIER;9=>malignant;9=>benign
73;SAFE;9=>malignant;9=>benign
74;SAFE;9=>malignant;9=>benign
586;SAFE;9=>malignant;9=>benign
588;OUTLIER;9=>malignant;9=>benign
590;OUTLIER;9=>malignant;9=>benign
591;SAFE;9=>malignant;9=>benign
592;SAFE;9=>malignant;9=>benign
594;SAFE;9=>malignant;9=>benign
84;SAFE;9=>malignant;9=>benign
85;OUTLIER;9=>malignant;9=>benign
86;SAFE;9=>malignant;9=>benign
87;SAFE;9=>malignant;9=>benign
603;OUTLIER;9=>malignant;9=>benign
604;SAFE;9=>malignant;9=>benign
605;SAFE;9=>malignant;9=>benign
608;OUTLIER;9=>malignant;9=>benign
98;OUTLIER;9=>malignant;9=>benign
610;SAFE;9=>malignant;9=>benign
99;SAFE;9=>malignant;9=>benign
611;OUTLIER;9=>malignant;9=>benign
100;OUTLIER;9=>malignant;9=>benign
612;SAFE;9=>malignant;9=>benign
101;BORDERLINE;9=>malignant;9=>benign
103;SAFE;9=>malignant;9=>benign
104;OUTLIER;9=>malignant;9=>benign
105;BORDERLINE;9=>malignant;9=>benign
106;SAFE;9=>malignant;9=>benign
107;SAFE;9=>malignant;9=>benign
109;SAFE;9=>malignant;9=>benign
111;SAFE;9=>malignant;9=>benign
112;SAFE;9=>malignant;9=>benign
113;SAFE;9=>malignant;9=>benign
626;BORDERLINE;9=>malignant;9=>benign
117;SAFE;9=>malignant;9=>benign
633;SAFE;9=>malignant;9=>benign
122;SAFE;9=>malignant;9=>benign
123;SAFE;9=>malignant;9=>benign
124;BORDERLINE;9=>malignant;9=>benign
636;SAFE;9=>malignant;9=>benign
126;SAFE;9=>malignant;9=>benign
128;SAFE;9=>malignant;9=>benign
132;SAFE;9=>malignant;9=>benign
648;OUTLIER;9=>malignant;9=>benign
142;SAFE;9=>malignant;9=>benign
146;BORDERLINE;9=>malignant;9=>benign
658;SAFE;9=>malignant;9=>benign
149;SAFE;9=>malignant;9=>benign
151;SAFE;9=>malignant;9=>benign
152;SAFE;9=>malignant;9=>benign
155;SAFE;9=>malignant;9=>benign
668;OUTLIER;9=>malignant;9=>benign
669;SAFE;9=>malignant;9=>benign
670;SAFE;9=>malignant;9=>benign
159;SAFE;9=>malignant;9=>benign
160;SAFE;9=>malignant;9=>benign
166;SAFE;9=>malignant;9=>benign
167;OUTLIER;9=>malignant;9=>benign
680;SAFE;9=>malignant;9=>benign
681;SAFE;9=>malignant;9=>benign
173;SAFE;9=>malignant;9=>benign
174;SAFE;9=>malignant;9=>benign
175;BORDERLINE;9=>malignant;9=>benign
177;SAFE;9=>malignant;9=>benign
179;BORDERLINE;9=>malignant;9=>benign
691;SAFE;9=>malignant;9=>benign
183;SAFE;9=>malignant;9=>benign
184;SAFE;9=>malignant;9=>benign
696;SAFE;9=>malignant;9=>benign
697;SAFE;9=>malignant;9=>benign
186;SAFE;9=>malignant;9=>benign
698;SAFE;9=>malignant;9=>benign
187;SAFE;9=>malignant;9=>benign
188;SAFE;9=>malignant;9=>benign
190;SAFE;9=>malignant;9=>benign
191;SAFE;9=>malignant;9=>benign
200;SAFE;9=>malignant;9=>benign
201;SAFE;9=>malignant;9=>benign
205;SAFE;9=>malignant;9=>benign
206;OUTLIER;9=>malignant;9=>benign
210;SAFE;9=>malignant;9=>benign
211;SAFE;9=>malignant;9=>benign
213;SAFE;9=>malignant;9=>benign
214;SAFE;9=>malignant;9=>benign
215;SAFE;9=>malignant;9=>benign
218;SAFE;9=>malignant;9=>benign
221;OUTLIER;9=>malignant;9=>benign
222;OUTLIER;9=>malignant;9=>benign
223;SAFE;9=>malignant;9=>benign
224;SAFE;9=>malignant;9=>benign
226;SAFE;9=>malignant;9=>benign
227;SAFE;9=>malignant;9=>benign
229;SAFE;9=>malignant;9=>benign
230;SAFE;9=>malignant;9=>benign
231;SAFE;9=>malignant;9=>benign
233;SAFE;9=>malignant;9=>benign
236;SAFE;9=>malignant;9=>benign
237;SAFE;9=>malignant;9=>benign
238;SAFE;9=>malignant;9=>benign
239;SAFE;9=>malignant;9=>benign
246;SAFE;9=>malignant;9=>benign
247;SAFE;9=>malignant;9=>benign
251;SAFE;9=>malignant;9=>benign
253;SAFE;9=>malignant;9=>benign
254;SAFE;9=>malignant;9=>benign
255;SAFE;9=>malignant;9=>benign
260;SAFE;9=>malignant;9=>benign
261;SAFE;9=>malignant;9=>benign
262;SAFE;9=>malignant;9=>benign
263;SAFE;9=>malignant;9=>benign
264;SAFE;9=>malignant;9=>benign
266;SAFE;9=>malignant;9=>benign
267;SAFE;9=>malignant;9=>benign
268;SAFE;9=>malignant;9=>benign
270;SAFE;9=>malignant;9=>benign
272;SAFE;9=>malignant;9=>benign
273;RARE;9=>malignant;9=>benign
279;SAFE;9=>malignant;9=>benign
282;SAFE;9=>malignant;9=>benign
283;SAFE;9=>malignant;9=>benign
284;SAFE;9=>malignant;9=>benign
285;SAFE;9=>malignant;9=>benign
286;SAFE;9=>malignant;9=>benign
288;BORDERLINE;9=>malignant;9=>benign
289;SAFE;9=>malignant;9=>benign
292;SAFE;9=>malignant;9=>benign
293;SAFE;9=>malignant;9=>benign
295;SAFE;9=>malignant;9=>benign
299;OUTLIER;9=>malignant;9=>benign
300;SAFE;9=>malignant;9=>benign
302;SAFE;9=>malignant;9=>benign
304;SAFE;9=>malignant;9=>benign
305;SAFE;9=>malignant;9=>benign
308;SAFE;9=>malignant;9=>benign
312;SAFE;9=>malignant;9=>benign
316;SAFE;9=>malignant;9=>benign
317;SAFE;9=>malignant;9=>benign
320;SAFE;9=>malignant;9=>benign
323;SAFE;9=>malignant;9=>benign
326;SAFE;9=>malignant;9=>benign
328;SAFE;9=>malignant;9=>benign
329;SAFE;9=>malignant;9=>benign
330;SAFE;9=>malignant;9=>benign
333;SAFE;9=>malignant;9=>benign
334;SAFE;9=>malignant;9=>benign
336;SAFE;9=>malignant;9=>benign
339;SAFE;9=>malignant;9=>benign
340;SAFE;9=>malignant;9=>benign
344;SAFE;9=>malignant;9=>benign
