index;type;minority_decision;majority_decision
0;SAFE;6=>unacc;6=>vgood
1;SAFE;6=>unacc;6=>vgood
2;SAFE;6=>unacc;6=>vgood
3;SAFE;6=>unacc;6=>vgood
4;SAFE;6=>unacc;6=>vgood
5;SAFE;6=>unacc;6=>vgood
6;SAFE;6=>unacc;6=>vgood
7;SAFE;6=>unacc;6=>vgood
8;SAFE;6=>unacc;6=>vgood
9;SAFE;6=>unacc;6=>vgood
10;SAFE;6=>unacc;6=>vgood
11;SAFE;6=>unacc;6=>vgood
12;SAFE;6=>unacc;6=>vgood
13;SAFE;6=>unacc;6=>vgood
14;SAFE;6=>unacc;6=>vgood
15;SAFE;6=>unacc;6=>vgood
16;SAFE;6=>unacc;6=>vgood
17;SAFE;6=>unacc;6=>vgood
18;SAFE;6=>unacc;6=>vgood
19;SAFE;6=>unacc;6=>vgood
20;SAFE;6=>unacc;6=>vgood
21;SAFE;6=>unacc;6=>vgood
22;SAFE;6=>unacc;6=>vgood
23;SAFE;6=>unacc;6=>vgood
24;SAFE;6=>unacc;6=>vgood
25;SAFE;6=>unacc;6=>vgood
26;SAFE;6=>unacc;6=>vgood
27;SAFE;6=>unacc;6=>vgood
28;SAFE;6=>unacc;6=>vgood
29;SAFE;6=>unacc;6=>vgood
30;SAFE;6=>unacc;6=>vgood
31;SAFE;6=>unacc;6=>vgood
32;SAFE;6=>unacc;6=>vgood
33;SAFE;6=>unacc;6=>vgood
34;SAFE;6=>unacc;6=>vgood
35;SAFE;6=>unacc;6=>vgood
36;SAFE;6=>unacc;6=>vgood
37;SAFE;6=>unacc;6=>vgood
38;SAFE;6=>unacc;6=>vgood
39;SAFE;6=>unacc;6=>vgood
40;SAFE;6=>unacc;6=>vgood
41;SAFE;6=>unacc;6=>vgood
42;SAFE;6=>unacc;6=>vgood
43;SAFE;6=>unacc;6=>vgood
44;SAFE;6=>unacc;6=>vgood
45;SAFE;6=>unacc;6=>vgood
46;SAFE;6=>unacc;6=>vgood
47;SAFE;6=>unacc;6=>vgood
48;SAFE;6=>unacc;6=>vgood
49;SAFE;6=>unacc;6=>vgood
50;SAFE;6=>unacc;6=>vgood
51;SAFE;6=>unacc;6=>vgood
52;SAFE;6=>unacc;6=>vgood
53;SAFE;6=>unacc;6=>vgood
54;SAFE;6=>unacc;6=>vgood
55;SAFE;6=>unacc;6=>vgood
56;SAFE;6=>unacc;6=>vgood
57;SAFE;6=>unacc;6=>vgood
58;SAFE;6=>unacc;6=>vgood
59;SAFE;6=>unacc;6=>vgood
60;SAFE;6=>unacc;6=>vgood
61;SAFE;6=>unacc;6=>vgood
62;SAFE;6=>unacc;6=>vgood
63;SAFE;6=>unacc;6=>vgood
64;SAFE;6=>unacc;6=>vgood
65;SAFE;6=>unacc;6=>vgood
66;SAFE;6=>unacc;6=>vgood
67;SAFE;6=>unacc;6=>vgood
68;SAFE;6=>unacc;6=>vgood
69;SAFE;6=>unacc;6=>vgood
70;SAFE;6=>unacc;6=>vgood
71;SAFE;6=>unacc;6=>vgood
72;SAFE;6=>unacc;6=>vgood
73;SAFE;6=>unacc;6=>vgood
74;SAFE;6=>unacc;6=>vgood
75;SAFE;6=>unacc;6=>vgood
76;SAFE;6=>unacc;6=>vgood
77;SAFE;6=>unacc;6=>vgood
78;SAFE;6=>unacc;6=>vgood
79;SAFE;6=>unacc;6=>vgood
80;SAFE;6=>unacc;6=>vgood
81;SAFE;6=>unacc;6=>vgood
82;SAFE;6=>unacc;6=>vgood
83;SAFE;6=>unacc;6=>vgood
84;SAFE;6=>unacc;6=>vgood
85;SAFE;6=>unacc;6=>vgood
86;SAFE;6=>unacc;6=>vgood
87;SAFE;6=>unacc;6=>vgood
88;SAFE;6=>unacc;6=>vgood
89;SAFE;6=>unacc;6=>vgood
90;SAFE;6=>unacc;6=>vgood
91;SAFE;6=>unacc;6=>vgood
