index;type;minority_decision;majority_decision
512;SAFE;6=>acc;6=>unacc
1024;SAFE;6=>acc;6=>unacc
1025;SAFE;6=>acc;6=>unacc
524;SAFE;6=>acc;6=>unacc
1037;SAFE;6=>acc;6=>unacc
527;SAFE;6=>acc;6=>unacc
1039;SAFE;6=>acc;6=>unacc
1040;SAFE;6=>acc;6=>unacc
529;SAFE;6=>acc;6=>unacc
530;SAFE;6=>acc;6=>unacc
1042;SAFE;6=>acc;6=>unacc
1043;SAFE;6=>acc;6=>unacc
533;SAFE;6=>acc;6=>unacc
1046;SAFE;6=>acc;6=>unacc
535;SAFE;6=>acc;6=>unacc
536;SAFE;6=>acc;6=>unacc
1048;SAFE;6=>acc;6=>unacc
1049;SAFE;6=>acc;6=>unacc
538;SAFE;6=>acc;6=>unacc
539;SAFE;6=>acc;6=>unacc
1051;SAFE;6=>acc;6=>unacc
1052;SAFE;6=>acc;6=>unacc
551;SAFE;6=>acc;6=>unacc
1063;BORDERLINE;6=>acc;6=>unacc
1064;BORDERLINE;6=>acc;6=>unacc
553;SAFE;6=>acc;6=>unacc
554;SAFE;6=>acc;6=>unacc
1066;SAFE;6=>acc;6=>unacc
1067;SAFE;6=>acc;6=>unacc
556;SAFE;6=>acc;6=>unacc
557;SAFE;6=>acc;6=>unacc
1069;SAFE;6=>acc;6=>unacc
1070;SAFE;6=>acc;6=>unacc
560;SAFE;6=>acc;6=>unacc
562;SAFE;6=>acc;6=>unacc
563;SAFE;6=>acc;6=>unacc
1075;SAFE;6=>acc;6=>unacc
1076;SAFE;6=>acc;6=>unacc
565;SAFE;6=>acc;6=>unacc
566;SAFE;6=>acc;6=>unacc
1078;SAFE;6=>acc;6=>unacc
1079;SAFE;6=>acc;6=>unacc
578;BORDERLINE;6=>acc;6=>unacc
1090;SAFE;6=>acc;6=>unacc
1091;SAFE;6=>acc;6=>unacc
581;SAFE;6=>acc;6=>unacc
1093;SAFE;6=>acc;6=>unacc
1094;SAFE;6=>acc;6=>unacc
583;SAFE;6=>acc;6=>unacc
584;SAFE;6=>acc;6=>unacc
1096;SAFE;6=>acc;6=>unacc
1097;SAFE;6=>acc;6=>unacc
1099;SAFE;6=>acc;6=>unacc
1100;SAFE;6=>acc;6=>unacc
590;SAFE;6=>acc;6=>unacc
1102;SAFE;6=>acc;6=>unacc
1103;SAFE;6=>acc;6=>unacc
592;SAFE;6=>acc;6=>unacc
593;SAFE;6=>acc;6=>unacc
1105;SAFE;6=>acc;6=>unacc
1106;OUTLIER;6=>acc;6=>unacc
605;SAFE;6=>acc;6=>unacc
1117;SAFE;6=>acc;6=>unacc
1118;SAFE;6=>acc;6=>unacc
608;SAFE;6=>acc;6=>unacc
1120;SAFE;6=>acc;6=>unacc
1121;SAFE;6=>acc;6=>unacc
610;SAFE;6=>acc;6=>unacc
611;SAFE;6=>acc;6=>unacc
1123;SAFE;6=>acc;6=>unacc
1124;SAFE;6=>acc;6=>unacc
614;SAFE;6=>acc;6=>unacc
1126;SAFE;6=>acc;6=>unacc
1127;SAFE;6=>acc;6=>unacc
616;SAFE;6=>acc;6=>unacc
617;SAFE;6=>acc;6=>unacc
1129;SAFE;6=>acc;6=>unacc
1130;SAFE;6=>acc;6=>unacc
619;SAFE;6=>acc;6=>unacc
620;SAFE;6=>acc;6=>unacc
1132;SAFE;6=>acc;6=>unacc
1133;OUTLIER;6=>acc;6=>unacc
632;SAFE;6=>acc;6=>unacc
1144;BORDERLINE;6=>acc;6=>unacc
1145;OUTLIER;6=>acc;6=>unacc
634;SAFE;6=>acc;6=>unacc
635;SAFE;6=>acc;6=>unacc
1147;SAFE;6=>acc;6=>unacc
1148;OUTLIER;6=>acc;6=>unacc
637;SAFE;6=>acc;6=>unacc
638;SAFE;6=>acc;6=>unacc
1150;SAFE;6=>acc;6=>unacc
1151;OUTLIER;6=>acc;6=>unacc
641;SAFE;6=>acc;6=>unacc
643;SAFE;6=>acc;6=>unacc
644;SAFE;6=>acc;6=>unacc
1156;SAFE;6=>acc;6=>unacc
1157;OUTLIER;6=>acc;6=>unacc
646;SAFE;6=>acc;6=>unacc
647;SAFE;6=>acc;6=>unacc
1159;SAFE;6=>acc;6=>unacc
1160;OUTLIER;6=>acc;6=>unacc
659;BORDERLINE;6=>acc;6=>unacc
1171;SAFE;6=>acc;6=>unacc
1172;OUTLIER;6=>acc;6=>unacc
662;SAFE;6=>acc;6=>unacc
1174;SAFE;6=>acc;6=>unacc
1175;OUTLIER;6=>acc;6=>unacc
664;BORDERLINE;6=>acc;6=>unacc
665;SAFE;6=>acc;6=>unacc
1177;SAFE;6=>acc;6=>unacc
1178;OUTLIER;6=>acc;6=>unacc
1180;SAFE;6=>acc;6=>unacc
1181;OUTLIER;6=>acc;6=>unacc
671;SAFE;6=>acc;6=>unacc
1183;SAFE;6=>acc;6=>unacc
1184;OUTLIER;6=>acc;6=>unacc
673;BORDERLINE;6=>acc;6=>unacc
674;SAFE;6=>acc;6=>unacc
1186;OUTLIER;6=>acc;6=>unacc
1187;OUTLIER;6=>acc;6=>unacc
173;BORDERLINE;6=>acc;6=>unacc
686;SAFE;6=>acc;6=>unacc
1198;SAFE;6=>acc;6=>unacc
1199;OUTLIER;6=>acc;6=>unacc
176;SAFE;6=>acc;6=>unacc
689;SAFE;6=>acc;6=>unacc
1201;SAFE;6=>acc;6=>unacc
178;SAFE;6=>acc;6=>unacc
1202;OUTLIER;6=>acc;6=>unacc
179;SAFE;6=>acc;6=>unacc
691;SAFE;6=>acc;6=>unacc
692;SAFE;6=>acc;6=>unacc
1204;SAFE;6=>acc;6=>unacc
1205;OUTLIER;6=>acc;6=>unacc
695;SAFE;6=>acc;6=>unacc
1207;SAFE;6=>acc;6=>unacc
1208;OUTLIER;6=>acc;6=>unacc
185;SAFE;6=>acc;6=>unacc
697;BORDERLINE;6=>acc;6=>unacc
698;SAFE;6=>acc;6=>unacc
1210;SAFE;6=>acc;6=>unacc
187;SAFE;6=>acc;6=>unacc
1211;OUTLIER;6=>acc;6=>unacc
188;SAFE;6=>acc;6=>unacc
700;SAFE;6=>acc;6=>unacc
701;SAFE;6=>acc;6=>unacc
1213;OUTLIER;6=>acc;6=>unacc
1214;OUTLIER;6=>acc;6=>unacc
200;SAFE;6=>acc;6=>unacc
713;SAFE;6=>acc;6=>unacc
1225;BORDERLINE;6=>acc;6=>unacc
1226;OUTLIER;6=>acc;6=>unacc
203;SAFE;6=>acc;6=>unacc
715;SAFE;6=>acc;6=>unacc
716;SAFE;6=>acc;6=>unacc
1228;SAFE;6=>acc;6=>unacc
205;SAFE;6=>acc;6=>unacc
1229;OUTLIER;6=>acc;6=>unacc
206;SAFE;6=>acc;6=>unacc
718;SAFE;6=>acc;6=>unacc
719;SAFE;6=>acc;6=>unacc
1231;SAFE;6=>acc;6=>unacc
1232;OUTLIER;6=>acc;6=>unacc
209;SAFE;6=>acc;6=>unacc
722;SAFE;6=>acc;6=>unacc
211;SAFE;6=>acc;6=>unacc
212;SAFE;6=>acc;6=>unacc
724;SAFE;6=>acc;6=>unacc
