index;type;minority_decision;majority_decision
10;SAFE;6=>0;6=>3
11;OUTLIER;6=>0;6=>3
14;OUTLIER;6=>0;6=>3
16;SAFE;6=>0;6=>3
18;SAFE;6=>0;6=>3
25;SAFE;6=>0;6=>3
27;SAFE;6=>0;6=>3
29;OUTLIER;6=>0;6=>3
157;SAFE;6=>0;6=>3
158;SAFE;6=>0;6=>3
159;SAFE;6=>0;6=>3
36;SAFE;6=>0;6=>3
170;SAFE;6=>0;6=>3
171;SAFE;6=>0;6=>3
173;SAFE;6=>0;6=>3
46;SAFE;6=>0;6=>3
174;SAFE;6=>0;6=>3
176;SAFE;6=>0;6=>3
177;SAFE;6=>0;6=>3
51;SAFE;6=>0;6=>3
181;SAFE;6=>0;6=>3
182;SAFE;6=>0;6=>3
62;SAFE;6=>0;6=>3
66;SAFE;6=>0;6=>3
67;SAFE;6=>0;6=>3
72;SAFE;6=>0;6=>3
200;SAFE;6=>0;6=>3
73;SAFE;6=>0;6=>3
201;SAFE;6=>0;6=>3
74;SAFE;6=>0;6=>3
202;SAFE;6=>0;6=>3
203;SAFE;6=>0;6=>3
76;OUTLIER;6=>0;6=>3
78;SAFE;6=>0;6=>3
80;SAFE;6=>0;6=>3
208;SAFE;6=>0;6=>3
83;SAFE;6=>0;6=>3
84;SAFE;6=>0;6=>3
99;SAFE;6=>0;6=>3
100;SAFE;6=>0;6=>3
102;OUTLIER;6=>0;6=>3
103;SAFE;6=>0;6=>3
104;SAFE;6=>0;6=>3
107;SAFE;6=>0;6=>3
108;SAFE;6=>0;6=>3
109;SAFE;6=>0;6=>3
117;SAFE;6=>0;6=>3
122;SAFE;6=>0;6=>3
123;SAFE;6=>0;6=>3
124;SAFE;6=>0;6=>3
0;OUTLIER;6=>3;6=>0
1;SAFE;6=>3;6=>0
2;SAFE;6=>3;6=>0
130;SAFE;6=>3;6=>0
3;SAFE;6=>3;6=>0
4;SAFE;6=>3;6=>0
5;SAFE;6=>3;6=>0
6;SAFE;6=>3;6=>0
7;SAFE;6=>3;6=>0
8;SAFE;6=>3;6=>0
9;SAFE;6=>3;6=>0
13;SAFE;6=>3;6=>0
145;SAFE;6=>3;6=>0
146;SAFE;6=>3;6=>0
19;OUTLIER;6=>3;6=>0
147;SAFE;6=>3;6=>0
148;SAFE;6=>3;6=>0
150;SAFE;6=>3;6=>0
151;SAFE;6=>3;6=>0
152;SAFE;6=>3;6=>0
153;SAFE;6=>3;6=>0
154;SAFE;6=>3;6=>0
155;SAFE;6=>3;6=>0
156;SAFE;6=>3;6=>0
30;BORDERLINE;6=>3;6=>0
31;BORDERLINE;6=>3;6=>0
34;SAFE;6=>3;6=>0
35;SAFE;6=>3;6=>0
167;SAFE;6=>3;6=>0
168;SAFE;6=>3;6=>0
169;SAFE;6=>3;6=>0
189;SAFE;6=>3;6=>0
190;SAFE;6=>3;6=>0
191;SAFE;6=>3;6=>0
64;SAFE;6=>3;6=>0
192;SAFE;6=>3;6=>0
65;SAFE;6=>3;6=>0
194;SAFE;6=>3;6=>0
195;SAFE;6=>3;6=>0
196;SAFE;6=>3;6=>0
197;SAFE;6=>3;6=>0
198;SAFE;6=>3;6=>0
199;SAFE;6=>3;6=>0
88;SAFE;6=>3;6=>0
90;SAFE;6=>3;6=>0
91;SAFE;6=>3;6=>0
94;SAFE;6=>3;6=>0
95;SAFE;6=>3;6=>0
96;SAFE;6=>3;6=>0
97;SAFE;6=>3;6=>0
98;SAFE;6=>3;6=>0
120;SAFE;6=>3;6=>0
121;SAFE;6=>3;6=>0
0;OUTLIER;6=>3;6=>2
1;SAFE;6=>3;6=>2
2;SAFE;6=>3;6=>2
130;RARE;6=>3;6=>2
3;SAFE;6=>3;6=>2
4;RARE;6=>3;6=>2
5;SAFE;6=>3;6=>2
6;SAFE;6=>3;6=>2
7;SAFE;6=>3;6=>2
8;SAFE;6=>3;6=>2
9;SAFE;6=>3;6=>2
13;RARE;6=>3;6=>2
145;RARE;6=>3;6=>2
146;RARE;6=>3;6=>2
19;OUTLIER;6=>3;6=>2
147;RARE;6=>3;6=>2
148;RARE;6=>3;6=>2
150;RARE;6=>3;6=>2
151;SAFE;6=>3;6=>2
152;SAFE;6=>3;6=>2
153;SAFE;6=>3;6=>2
154;BORDERLINE;6=>3;6=>2
155;SAFE;6=>3;6=>2
156;SAFE;6=>3;6=>2
30;OUTLIER;6=>3;6=>2
31;OUTLIER;6=>3;6=>2
34;BORDERLINE;6=>3;6=>2
35;BORDERLINE;6=>3;6=>2
167;RARE;6=>3;6=>2
168;BORDERLINE;6=>3;6=>2
169;RARE;6=>3;6=>2
189;RARE;6=>3;6=>2
190;BORDERLINE;6=>3;6=>2
191;SAFE;6=>3;6=>2
64;RARE;6=>3;6=>2
192;SAFE;6=>3;6=>2
65;RARE;6=>3;6=>2
194;SAFE;6=>3;6=>2
195;SAFE;6=>3;6=>2
196;SAFE;6=>3;6=>2
197;SAFE;6=>3;6=>2
198;SAFE;6=>3;6=>2
199;SAFE;6=>3;6=>2
88;SAFE;6=>3;6=>2
90;SAFE;6=>3;6=>2
91;SAFE;6=>3;6=>2
94;BORDERLINE;6=>3;6=>2
95;SAFE;6=>3;6=>2
96;SAFE;6=>3;6=>2
97;SAFE;6=>3;6=>2
98;RARE;6=>3;6=>2
120;RARE;6=>3;6=>2
121;RARE;6=>3;6=>2
128;SAFE;6=>2;6=>1
129;SAFE;6=>2;6=>1
132;BORDERLINE;6=>2;6=>1
133;BORDERLINE;6=>2;6=>1
134;SAFE;6=>2;6=>1
135;SAFE;6=>2;6=>1
136;SAFE;6=>2;6=>1
138;BORDERLINE;6=>2;6=>1
12;BORDERLINE;6=>2;6=>1
140;BORDERLINE;6=>2;6=>1
141;BORDERLINE;6=>2;6=>1
15;SAFE;6=>2;6=>1
143;SAFE;6=>2;6=>1
