index;type;minority_decision;majority_decision
10;SAFE;6=>0;6=>1
11;SAFE;6=>0;6=>1
14;SAFE;6=>0;6=>1
16;SAFE;6=>0;6=>1
18;SAFE;6=>0;6=>1
25;SAFE;6=>0;6=>1
27;SAFE;6=>0;6=>1
29;RARE;6=>0;6=>1
157;SAFE;6=>0;6=>1
158;SAFE;6=>0;6=>1
159;OUTLIER;6=>0;6=>1
36;SAFE;6=>0;6=>1
170;SAFE;6=>0;6=>1
171;RARE;6=>0;6=>1
173;SAFE;6=>0;6=>1
46;SAFE;6=>0;6=>1
174;SAFE;6=>0;6=>1
176;SAFE;6=>0;6=>1
177;SAFE;6=>0;6=>1
51;SAFE;6=>0;6=>1
181;SAFE;6=>0;6=>1
182;SAFE;6=>0;6=>1
62;SAFE;6=>0;6=>1
66;SAFE;6=>0;6=>1
67;SAFE;6=>0;6=>1
72;SAFE;6=>0;6=>1
200;SAFE;6=>0;6=>1
73;SAFE;6=>0;6=>1
201;SAFE;6=>0;6=>1
74;SAFE;6=>0;6=>1
202;SAFE;6=>0;6=>1
203;SAFE;6=>0;6=>1
76;BORDERLINE;6=>0;6=>1
78;SAFE;6=>0;6=>1
80;SAFE;6=>0;6=>1
208;BORDERLINE;6=>0;6=>1
83;SAFE;6=>0;6=>1
84;BORDERLINE;6=>0;6=>1
99;SAFE;6=>0;6=>1
100;SAFE;6=>0;6=>1
102;SAFE;6=>0;6=>1
103;SAFE;6=>0;6=>1
104;SAFE;6=>0;6=>1
107;SAFE;6=>0;6=>1
108;SAFE;6=>0;6=>1
109;BORDERLINE;6=>0;6=>1
117;BORDERLINE;6=>0;6=>1
122;SAFE;6=>0;6=>1
123;SAFE;6=>0;6=>1
124;SAFE;6=>0;6=>1
10;SAFE;6=>1;6=>2
11;SAFE;6=>1;6=>2
14;SAFE;6=>1;6=>2
16;SAFE;6=>1;6=>2
17;BORDERLINE;6=>1;6=>2
18;SAFE;6=>1;6=>2
20;SAFE;6=>1;6=>2
21;SAFE;6=>1;6=>2
22;SAFE;6=>1;6=>2
24;SAFE;6=>1;6=>2
