index;type;minority_decision;majority_decision
1193;OUTLIER;16=>2;16=>1
1194;OUTLIER;16=>2;16=>1
1195;OUTLIER;16=>2;16=>1
1196;OUTLIER;16=>2;16=>1
1197;OUTLIER;16=>2;16=>1
1198;OUTLIER;16=>2;16=>1
1199;OUTLIER;16=>2;16=>1
1200;OUTLIER;16=>2;16=>1
1201;OUTLIER;16=>2;16=>1
1202;OUTLIER;16=>2;16=>1
1203;OUTLIER;16=>2;16=>1
1204;OUTLIER;16=>2;16=>1
1205;OUTLIER;16=>2;16=>1
1206;OUTLIER;16=>2;16=>1
1207;OUTLIER;16=>2;16=>1
1208;OUTLIER;16=>2;16=>1
1209;OUTLIER;16=>2;16=>1
1210;OUTLIER;16=>2;16=>1
1211;OUTLIER;16=>2;16=>1
1212;OUTLIER;16=>2;16=>1
1213;OUTLIER;16=>2;16=>1
1214;OUTLIER;16=>2;16=>1
1215;OUTLIER;16=>2;16=>1
1216;OUTLIER;16=>2;16=>1
1217;OUTLIER;16=>2;16=>1
1218;OUTLIER;16=>2;16=>1
1219;OUTLIER;16=>2;16=>1
1220;OUTLIER;16=>2;16=>1
1221;OUTLIER;16=>2;16=>1
1222;OUTLIER;16=>2;16=>1
1223;OUTLIER;16=>2;16=>1
1224;OUTLIER;16=>2;16=>1
1225;OUTLIER;16=>2;16=>1
1226;OUTLIER;16=>2;16=>1
1227;OUTLIER;16=>2;16=>1
1228;OUTLIER;16=>2;16=>1
1229;OUTLIER;16=>2;16=>1
1230;OUTLIER;16=>2;16=>1
1231;OUTLIER;16=>2;16=>1
1232;OUTLIER;16=>2;16=>1
1233;OUTLIER;16=>2;16=>1
1234;OUTLIER;16=>2;16=>1
1235;RARE;16=>2;16=>1
1236;OUTLIER;16=>2;16=>1
1237;OUTLIER;16=>2;16=>1
1238;OUTLIER;16=>2;16=>1
1239;OUTLIER;16=>2;16=>1
1240;OUTLIER;16=>2;16=>1
1241;OUTLIER;16=>2;16=>1
1242;OUTLIER;16=>2;16=>1
1243;OUTLIER;16=>2;16=>1
1244;OUTLIER;16=>2;16=>1
1245;OUTLIER;16=>2;16=>1
1246;OUTLIER;16=>2;16=>1
1247;OUTLIER;16=>2;16=>1
1248;OUTLIER;16=>2;16=>1
1249;RARE;16=>2;16=>1
1250;OUTLIER;16=>2;16=>1
1251;OUTLIER;16=>2;16=>1
1252;OUTLIER;16=>2;16=>1
1253;OUTLIER;16=>2;16=>1
1254;OUTLIER;16=>2;16=>1
1255;OUTLIER;16=>2;16=>1
1256;OUTLIER;16=>2;16=>1
1257;OUTLIER;16=>2;16=>1
1258;OUTLIER;16=>2;16=>1
1259;OUTLIER;16=>2;16=>1
1260;OUTLIER;16=>2;16=>1
1261;OUTLIER;16=>2;16=>1
1262;OUTLIER;16=>2;16=>1
1263;OUTLIER;16=>2;16=>1
1264;OUTLIER;16=>2;16=>1
1265;OUTLIER;16=>2;16=>1
1266;OUTLIER;16=>2;16=>1
1267;OUTLIER;16=>2;16=>1
1268;OUTLIER;16=>2;16=>1
1269;OUTLIER;16=>2;16=>1
1270;OUTLIER;16=>2;16=>1
1271;OUTLIER;16=>2;16=>1
1272;OUTLIER;16=>2;16=>1
1273;OUTLIER;16=>2;16=>1
1274;OUTLIER;16=>2;16=>1
1275;OUTLIER;16=>2;16=>1
1276;OUTLIER;16=>2;16=>1
1277;OUTLIER;16=>2;16=>1
1278;OUTLIER;16=>2;16=>1
1279;OUTLIER;16=>2;16=>1
1280;OUTLIER;16=>2;16=>1
1281;OUTLIER;16=>2;16=>1
1282;OUTLIER;16=>2;16=>1
1283;OUTLIER;16=>2;16=>1
1284;OUTLIER;16=>2;16=>1
1285;OUTLIER;16=>2;16=>1
1286;OUTLIER;16=>2;16=>1
1287;OUTLIER;16=>2;16=>1
1288;OUTLIER;16=>2;16=>1
1289;OUTLIER;16=>2;16=>1
1290;OUTLIER;16=>2;16=>1
1291;OUTLIER;16=>2;16=>1
1292;OUTLIER;16=>2;16=>1
1293;OUTLIER;16=>2;16=>1
1294;OUTLIER;16=>2;16=>1
1295;OUTLIER;16=>2;16=>1
1296;OUTLIER;16=>2;16=>1
1297;OUTLIER;16=>2;16=>1
1298;OUTLIER;16=>2;16=>1
1299;OUTLIER;16=>2;16=>1
1300;OUTLIER;16=>2;16=>1
1301;OUTLIER;16=>2;16=>1
1302;OUTLIER;16=>2;16=>1
1303;OUTLIER;16=>2;16=>1
1304;OUTLIER;16=>2;16=>1
1305;OUTLIER;16=>2;16=>1
1306;OUTLIER;16=>2;16=>1
1307;OUTLIER;16=>2;16=>1
1308;OUTLIER;16=>2;16=>1
1309;OUTLIER;16=>2;16=>1
1310;OUTLIER;16=>2;16=>1
1311;OUTLIER;16=>2;16=>1
1312;OUTLIER;16=>2;16=>1
1313;OUTLIER;16=>2;16=>1
1314;OUTLIER;16=>2;16=>1
1315;OUTLIER;16=>2;16=>1
1316;OUTLIER;16=>2;16=>1
1317;OUTLIER;16=>2;16=>1
1318;OUTLIER;16=>2;16=>1
1319;OUTLIER;16=>2;16=>1
1320;OUTLIER;16=>2;16=>1
1321;OUTLIER;16=>2;16=>1
1322;OUTLIER;16=>2;16=>1
1323;OUTLIER;16=>2;16=>1
1324;OUTLIER;16=>2;16=>1
1325;OUTLIER;16=>2;16=>1
1326;OUTLIER;16=>2;16=>1
1327;OUTLIER;16=>2;16=>1
1328;OUTLIER;16=>2;16=>1
1329;OUTLIER;16=>2;16=>1
1330;RARE;16=>2;16=>1
1331;OUTLIER;16=>2;16=>1
1332;OUTLIER;16=>2;16=>1
1333;OUTLIER;16=>2;16=>1
1334;OUTLIER;16=>2;16=>1
1335;OUTLIER;16=>2;16=>1
1336;OUTLIER;16=>2;16=>1
1337;OUTLIER;16=>2;16=>1
1338;OUTLIER;16=>2;16=>1
1339;OUTLIER;16=>2;16=>1
1340;OUTLIER;16=>2;16=>1
1341;OUTLIER;16=>2;16=>1
1342;OUTLIER;16=>2;16=>1
1343;RARE;16=>2;16=>1
1344;OUTLIER;16=>2;16=>1
1345;OUTLIER;16=>2;16=>1
1346;OUTLIER;16=>2;16=>1
1347;OUTLIER;16=>2;16=>1
1348;OUTLIER;16=>2;16=>1
1349;OUTLIER;16=>2;16=>1
1350;OUTLIER;16=>2;16=>1
1351;OUTLIER;16=>2;16=>1
1352;OUTLIER;16=>2;16=>1
1353;OUTLIER;16=>2;16=>1
1354;OUTLIER;16=>2;16=>1
1355;OUTLIER;16=>2;16=>1
1356;OUTLIER;16=>2;16=>1
1357;OUTLIER;16=>2;16=>1
1358;OUTLIER;16=>2;16=>1
1359;OUTLIER;16=>2;16=>1
1360;OUTLIER;16=>2;16=>1
1361;OUTLIER;16=>2;16=>1
1362;OUTLIER;16=>2;16=>1
1363;OUTLIER;16=>2;16=>1
1364;OUTLIER;16=>2;16=>1
1365;OUTLIER;16=>2;16=>1
1366;OUTLIER;16=>2;16=>1
1367;OUTLIER;16=>2;16=>1
1368;OUTLIER;16=>2;16=>1
1369;OUTLIER;16=>2;16=>1
1370;RARE;16=>2;16=>1
1371;OUTLIER;16=>2;16=>1
1372;OUTLIER;16=>2;16=>1
1373;OUTLIER;16=>2;16=>1
1374;OUTLIER;16=>2;16=>1
1375;OUTLIER;16=>2;16=>1
1376;OUTLIER;16=>2;16=>1
1377;OUTLIER;16=>2;16=>1
1378;OUTLIER;16=>2;16=>1
1379;OUTLIER;16=>2;16=>1
1380;OUTLIER;16=>2;16=>1
1381;OUTLIER;16=>2;16=>1
1382;OUTLIER;16=>2;16=>1
1383;OUTLIER;16=>2;16=>1
1384;OUTLIER;16=>2;16=>1
1385;OUTLIER;16=>2;16=>1
1386;OUTLIER;16=>2;16=>1
1387;OUTLIER;16=>2;16=>1
1388;OUTLIER;16=>2;16=>1
1389;OUTLIER;16=>2;16=>1
1390;OUTLIER;16=>2;16=>1
1391;OUTLIER;16=>2;16=>1
1392;RARE;16=>2;16=>1
1393;OUTLIER;16=>2;16=>1
1394;OUTLIER;16=>2;16=>1
1395;OUTLIER;16=>2;16=>1
1396;OUTLIER;16=>2;16=>1
1397;OUTLIER;16=>2;16=>1
1398;OUTLIER;16=>2;16=>1
1399;OUTLIER;16=>2;16=>1
1400;OUTLIER;16=>2;16=>1
1401;OUTLIER;16=>2;16=>1
1402;OUTLIER;16=>2;16=>1
1403;OUTLIER;16=>2;16=>1
1404;OUTLIER;16=>2;16=>1
1405;OUTLIER;16=>2;16=>1
1406;OUTLIER;16=>2;16=>1
1407;OUTLIER;16=>2;16=>1
1408;OUTLIER;16=>2;16=>1
1409;OUTLIER;16=>2;16=>1
1410;OUTLIER;16=>2;16=>1
