index;type;minority_decision;majority_decision
1193;BORDERLINE;16=>2;16=>1
1194;SAFE;16=>2;16=>1
1195;OUTLIER;16=>2;16=>1
1196;BORDERLINE;16=>2;16=>1
1197;OUTLIER;16=>2;16=>1
1198;OUTLIER;16=>2;16=>1
1199;BORDERLINE;16=>2;16=>1
1200;SAFE;16=>2;16=>1
1201;SAFE;16=>2;16=>1
1202;OUTLIER;16=>2;16=>1
1203;BORDERLINE;16=>2;16=>1
1204;OUTLIER;16=>2;16=>1
1205;SAFE;16=>2;16=>1
1206;SAFE;16=>2;16=>1
1207;BORDERLINE;16=>2;16=>1
1208;SAFE;16=>2;16=>1
1209;BORDERLINE;16=>2;16=>1
1210;SAFE;16=>2;16=>1
1211;SAFE;16=>2;16=>1
1212;SAFE;16=>2;16=>1
1213;BORDERLINE;16=>2;16=>1
1214;SAFE;16=>2;16=>1
1215;SAFE;16=>2;16=>1
1216;SAFE;16=>2;16=>1
1217;SAFE;16=>2;16=>1
1218;SAFE;16=>2;16=>1
1219;RARE;16=>2;16=>1
1220;OUTLIER;16=>2;16=>1
1221;RARE;16=>2;16=>1
1222;OUTLIER;16=>2;16=>1
1223;SAFE;16=>2;16=>1
1224;SAFE;16=>2;16=>1
1225;BORDERLINE;16=>2;16=>1
1226;OUTLIER;16=>2;16=>1
1227;BORDERLINE;16=>2;16=>1
1228;BORDERLINE;16=>2;16=>1
1229;SAFE;16=>2;16=>1
1230;SAFE;16=>2;16=>1
1231;RARE;16=>2;16=>1
1232;SAFE;16=>2;16=>1
1233;RARE;16=>2;16=>1
1234;OUTLIER;16=>2;16=>1
1235;OUTLIER;16=>2;16=>1
1236;OUTLIER;16=>2;16=>1
1237;BORDERLINE;16=>2;16=>1
1238;BORDERLINE;16=>2;16=>1
1239;BORDERLINE;16=>2;16=>1
1240;SAFE;16=>2;16=>1
1241;SAFE;16=>2;16=>1
1242;SAFE;16=>2;16=>1
1243;SAFE;16=>2;16=>1
1244;SAFE;16=>2;16=>1
1245;SAFE;16=>2;16=>1
1246;SAFE;16=>2;16=>1
1247;OUTLIER;16=>2;16=>1
1248;OUTLIER;16=>2;16=>1
1249;RARE;16=>2;16=>1
1250;SAFE;16=>2;16=>1
1251;BORDERLINE;16=>2;16=>1
1252;SAFE;16=>2;16=>1
1253;BORDERLINE;16=>2;16=>1
1254;SAFE;16=>2;16=>1
1255;BORDERLINE;16=>2;16=>1
1256;BORDERLINE;16=>2;16=>1
1257;BORDERLINE;16=>2;16=>1
1258;SAFE;16=>2;16=>1
1259;OUTLIER;16=>2;16=>1
1260;SAFE;16=>2;16=>1
1261;BORDERLINE;16=>2;16=>1
1262;SAFE;16=>2;16=>1
1263;SAFE;16=>2;16=>1
1264;BORDERLINE;16=>2;16=>1
1265;BORDERLINE;16=>2;16=>1
1266;SAFE;16=>2;16=>1
1267;OUTLIER;16=>2;16=>1
