index;type;minority_decision;majority_decision
1285;OUTLIER;11=>5;11=>1
1286;SAFE;11=>5;11=>1
1287;SAFE;11=>5;11=>1
1288;SAFE;11=>5;11=>1
1289;SAFE;11=>5;11=>1
1290;SAFE;11=>5;11=>1
1291;SAFE;11=>5;11=>1
1292;SAFE;11=>5;11=>1
1293;SAFE;11=>5;11=>1
1294;SAFE;11=>5;11=>1
1295;SAFE;11=>5;11=>1
1296;SAFE;11=>5;11=>1
1297;SAFE;11=>5;11=>1
1298;SAFE;11=>5;11=>1
1299;SAFE;11=>5;11=>1
1300;SAFE;11=>5;11=>1
1301;SAFE;11=>5;11=>1
1302;SAFE;11=>5;11=>1
1303;SAFE;11=>5;11=>1
1304;SAFE;11=>5;11=>1
1305;SAFE;11=>5;11=>1
1306;SAFE;11=>5;11=>1
1307;SAFE;11=>5;11=>1
1308;SAFE;11=>5;11=>1
1309;SAFE;11=>5;11=>1
1310;SAFE;11=>5;11=>1
1311;SAFE;11=>5;11=>1
1312;SAFE;11=>5;11=>1
1313;SAFE;11=>5;11=>1
1314;SAFE;11=>5;11=>1
1315;SAFE;11=>5;11=>1
1316;SAFE;11=>5;11=>1
1317;SAFE;11=>5;11=>1
1318;SAFE;11=>5;11=>1
1319;SAFE;11=>5;11=>1
1320;SAFE;11=>5;11=>1
1321;SAFE;11=>5;11=>1
1322;SAFE;11=>5;11=>1
1323;SAFE;11=>5;11=>1
1324;SAFE;11=>5;11=>1
1325;SAFE;11=>5;11=>1
1326;SAFE;11=>5;11=>1
1327;SAFE;11=>5;11=>1
365;SAFE;11=>5;11=>1
366;SAFE;11=>5;11=>1
367;SAFE;11=>5;11=>1
368;SAFE;11=>5;11=>1
369;SAFE;11=>5;11=>1
370;SAFE;11=>5;11=>1
371;SAFE;11=>5;11=>1
372;SAFE;11=>5;11=>1
373;SAFE;11=>5;11=>1
374;SAFE;11=>5;11=>1
375;OUTLIER;11=>5;11=>1
376;SAFE;11=>5;11=>1
377;SAFE;11=>5;11=>1
378;SAFE;11=>5;11=>1
379;SAFE;11=>5;11=>1
380;SAFE;11=>5;11=>1
381;SAFE;11=>5;11=>1
382;SAFE;11=>5;11=>1
383;SAFE;11=>5;11=>1
384;OUTLIER;11=>5;11=>1
385;SAFE;11=>5;11=>1
386;SAFE;11=>5;11=>1
387;OUTLIER;11=>5;11=>1
388;SAFE;11=>5;11=>1
389;SAFE;11=>5;11=>1
390;SAFE;11=>5;11=>1
391;SAFE;11=>5;11=>1
392;SAFE;11=>5;11=>1
393;SAFE;11=>5;11=>1
394;SAFE;11=>5;11=>1
395;SAFE;11=>5;11=>1
396;SAFE;11=>5;11=>1
397;SAFE;11=>5;11=>1
398;SAFE;11=>5;11=>1
399;SAFE;11=>5;11=>1
400;SAFE;11=>5;11=>1
401;SAFE;11=>5;11=>1
402;SAFE;11=>5;11=>1
403;SAFE;11=>5;11=>1
404;SAFE;11=>5;11=>1
405;SAFE;11=>5;11=>1
406;SAFE;11=>5;11=>1
407;SAFE;11=>5;11=>1
408;SAFE;11=>5;11=>1
409;SAFE;11=>5;11=>1
410;SAFE;11=>5;11=>1
411;SAFE;11=>5;11=>1
