index;type;minority_decision;majority_decision
1285;OUTLIER;11=>5;11=>4
1286;BORDERLINE;11=>5;11=>4
1287;BORDERLINE;11=>5;11=>4
1288;RARE;11=>5;11=>4
1289;BORDERLINE;11=>5;11=>4
1290;SAFE;11=>5;11=>4
1291;SAFE;11=>5;11=>4
1292;SAFE;11=>5;11=>4
1293;SAFE;11=>5;11=>4
1294;SAFE;11=>5;11=>4
1295;SAFE;11=>5;11=>4
1296;SAFE;11=>5;11=>4
1297;SAFE;11=>5;11=>4
1298;SAFE;11=>5;11=>4
1299;SAFE;11=>5;11=>4
1300;SAFE;11=>5;11=>4
1301;SAFE;11=>5;11=>4
1302;SAFE;11=>5;11=>4
1303;SAFE;11=>5;11=>4
1304;SAFE;11=>5;11=>4
1305;SAFE;11=>5;11=>4
1306;SAFE;11=>5;11=>4
1307;SAFE;11=>5;11=>4
1308;SAFE;11=>5;11=>4
1309;SAFE;11=>5;11=>4
1310;SAFE;11=>5;11=>4
1311;SAFE;11=>5;11=>4
1312;SAFE;11=>5;11=>4
1313;SAFE;11=>5;11=>4
1314;SAFE;11=>5;11=>4
1315;SAFE;11=>5;11=>4
1316;SAFE;11=>5;11=>4
1317;SAFE;11=>5;11=>4
1318;SAFE;11=>5;11=>4
1319;SAFE;11=>5;11=>4
1320;SAFE;11=>5;11=>4
1321;SAFE;11=>5;11=>4
1322;SAFE;11=>5;11=>4
1323;SAFE;11=>5;11=>4
1324;SAFE;11=>5;11=>4
1325;SAFE;11=>5;11=>4
1326;SAFE;11=>5;11=>4
1327;SAFE;11=>5;11=>4
365;BORDERLINE;11=>5;11=>4
366;BORDERLINE;11=>5;11=>4
367;BORDERLINE;11=>5;11=>4
368;BORDERLINE;11=>5;11=>4
369;BORDERLINE;11=>5;11=>4
370;SAFE;11=>5;11=>4
371;SAFE;11=>5;11=>4
372;SAFE;11=>5;11=>4
373;SAFE;11=>5;11=>4
374;SAFE;11=>5;11=>4
375;OUTLIER;11=>5;11=>4
376;SAFE;11=>5;11=>4
377;SAFE;11=>5;11=>4
378;SAFE;11=>5;11=>4
379;SAFE;11=>5;11=>4
380;SAFE;11=>5;11=>4
381;SAFE;11=>5;11=>4
382;SAFE;11=>5;11=>4
383;SAFE;11=>5;11=>4
384;OUTLIER;11=>5;11=>4
385;SAFE;11=>5;11=>4
386;SAFE;11=>5;11=>4
387;OUTLIER;11=>5;11=>4
388;SAFE;11=>5;11=>4
389;SAFE;11=>5;11=>4
390;SAFE;11=>5;11=>4
