index;type;minority_decision;majority_decision
0;SAFE;8=>1;8=>0
1;BORDERLINE;8=>1;8=>0
6;BORDERLINE;8=>1;8=>0
8;RARE;8=>1;8=>0
9;SAFE;8=>1;8=>0
10;SAFE;8=>1;8=>0
14;RARE;8=>1;8=>0
15;RARE;8=>1;8=>0
16;RARE;8=>1;8=>0
17;BORDERLINE;8=>1;8=>0
19;RARE;8=>1;8=>0
20;RARE;8=>1;8=>0
22;SAFE;8=>1;8=>0
23;SAFE;8=>1;8=>0
24;RARE;8=>1;8=>0
26;RARE;8=>1;8=>0
27;RARE;8=>1;8=>0
29;SAFE;8=>1;8=>0
37;BORDERLINE;8=>1;8=>0
45;RARE;8=>1;8=>0
46;SAFE;8=>1;8=>0
48;RARE;8=>1;8=>0
49;RARE;8=>1;8=>0
50;RARE;8=>1;8=>0
51;BORDERLINE;8=>1;8=>0
52;SAFE;8=>1;8=>0
53;SAFE;8=>1;8=>0
55;RARE;8=>1;8=>0
56;BORDERLINE;8=>1;8=>0
61;RARE;8=>1;8=>0
63;BORDERLINE;8=>1;8=>0
66;RARE;8=>1;8=>0
71;OUTLIER;8=>1;8=>0
72;BORDERLINE;8=>1;8=>0
77;RARE;8=>1;8=>0
78;SAFE;8=>1;8=>0
79;RARE;8=>1;8=>0
80;RARE;8=>1;8=>0
81;RARE;8=>1;8=>0
88;RARE;8=>1;8=>0
89;OUTLIER;8=>1;8=>0
90;SAFE;8=>1;8=>0
92;OUTLIER;8=>1;8=>0
93;RARE;8=>1;8=>0
94;RARE;8=>1;8=>0
102;RARE;8=>1;8=>0
103;BORDERLINE;8=>1;8=>0
104;RARE;8=>1;8=>0
105;BORDERLINE;8=>1;8=>0
107;RARE;8=>1;8=>0
108;RARE;8=>1;8=>0
109;RARE;8=>1;8=>0
110;SAFE;8=>1;8=>0
111;SAFE;8=>1;8=>0
113;RARE;8=>1;8=>0
114;BORDERLINE;8=>1;8=>0
115;RARE;8=>1;8=>0
116;RARE;8=>1;8=>0
117;SAFE;8=>1;8=>0
