index;type;minority_decision;majority_decision
0;SAFE;8=>1;8=>0
1;RARE;8=>1;8=>0
6;RARE;8=>1;8=>0
8;SAFE;8=>1;8=>0
9;SAFE;8=>1;8=>0
10;SAFE;8=>1;8=>0
14;SAFE;8=>1;8=>0
15;SAFE;8=>1;8=>0
16;SAFE;8=>1;8=>0
17;SAFE;8=>1;8=>0
19;SAFE;8=>1;8=>0
20;SAFE;8=>1;8=>0
22;SAFE;8=>1;8=>0
23;BORDERLINE;8=>1;8=>0
24;BORDERLINE;8=>1;8=>0
26;SAFE;8=>1;8=>0
27;SAFE;8=>1;8=>0
29;SAFE;8=>1;8=>0
37;BORDERLINE;8=>1;8=>0
45;BORDERLINE;8=>1;8=>0
46;SAFE;8=>1;8=>0
48;SAFE;8=>1;8=>0
49;SAFE;8=>1;8=>0
50;SAFE;8=>1;8=>0
51;SAFE;8=>1;8=>0
52;SAFE;8=>1;8=>0
53;SAFE;8=>1;8=>0
55;SAFE;8=>1;8=>0
56;RARE;8=>1;8=>0
61;BORDERLINE;8=>1;8=>0
63;SAFE;8=>1;8=>0
66;SAFE;8=>1;8=>0
71;SAFE;8=>1;8=>0
72;BORDERLINE;8=>1;8=>0
77;BORDERLINE;8=>1;8=>0
78;SAFE;8=>1;8=>0
79;SAFE;8=>1;8=>0
80;SAFE;8=>1;8=>0
81;SAFE;8=>1;8=>0
88;SAFE;8=>1;8=>0
89;SAFE;8=>1;8=>0
90;SAFE;8=>1;8=>0
92;SAFE;8=>1;8=>0
93;SAFE;8=>1;8=>0
94;SAFE;8=>1;8=>0
102;SAFE;8=>1;8=>0
103;RARE;8=>1;8=>0
104;SAFE;8=>1;8=>0
105;SAFE;8=>1;8=>0
107;BORDERLINE;8=>1;8=>0
108;SAFE;8=>1;8=>0
109;SAFE;8=>1;8=>0
110;SAFE;8=>1;8=>0
111;SAFE;8=>1;8=>0
113;SAFE;8=>1;8=>0
114;SAFE;8=>1;8=>0
115;SAFE;8=>1;8=>0
116;SAFE;8=>1;8=>0
117;SAFE;8=>1;8=>0
