index;type;minority_decision;majority_decision
8;BORDERLINE;13=>1;13=>4
10;RARE;13=>1;13=>4
20;BORDERLINE;13=>1;13=>4
22;RARE;13=>1;13=>4
23;OUTLIER;13=>1;13=>4
24;RARE;13=>1;13=>4
25;SAFE;13=>1;13=>4
26;BORDERLINE;13=>1;13=>4
27;SAFE;13=>1;13=>4
30;RARE;13=>1;13=>4
31;BORDERLINE;13=>1;13=>4
32;SAFE;13=>1;13=>4
33;RARE;13=>1;13=>4
34;SAFE;13=>1;13=>4
47;OUTLIER;13=>1;13=>4
48;OUTLIER;13=>1;13=>4
310;BORDERLINE;13=>1;13=>4
315;RARE;13=>1;13=>4
61;OUTLIER;13=>1;13=>4
342;SAFE;13=>1;13=>4
363;SAFE;13=>1;13=>4
373;BORDERLINE;13=>1;13=>4
374;BORDERLINE;13=>1;13=>4
375;BORDERLINE;13=>1;13=>4
376;SAFE;13=>1;13=>4
377;BORDERLINE;13=>1;13=>4
378;BORDERLINE;13=>1;13=>4
379;BORDERLINE;13=>1;13=>4
380;BORDERLINE;13=>1;13=>4
381;BORDERLINE;13=>1;13=>4
126;OUTLIER;13=>1;13=>4
382;BORDERLINE;13=>1;13=>4
127;SAFE;13=>1;13=>4
383;BORDERLINE;13=>1;13=>4
384;SAFE;13=>1;13=>4
129;SAFE;13=>1;13=>4
385;BORDERLINE;13=>1;13=>4
386;BORDERLINE;13=>1;13=>4
387;BORDERLINE;13=>1;13=>4
388;SAFE;13=>1;13=>4
389;BORDERLINE;13=>1;13=>4
134;OUTLIER;13=>1;13=>4
390;BORDERLINE;13=>1;13=>4
392;BORDERLINE;13=>1;13=>4
393;BORDERLINE;13=>1;13=>4
138;SAFE;13=>1;13=>4
394;BORDERLINE;13=>1;13=>4
395;BORDERLINE;13=>1;13=>4
140;SAFE;13=>1;13=>4
396;BORDERLINE;13=>1;13=>4
141;SAFE;13=>1;13=>4
397;BORDERLINE;13=>1;13=>4
142;OUTLIER;13=>1;13=>4
398;BORDERLINE;13=>1;13=>4
143;OUTLIER;13=>1;13=>4
399;SAFE;13=>1;13=>4
144;OUTLIER;13=>1;13=>4
400;BORDERLINE;13=>1;13=>4
145;SAFE;13=>1;13=>4
401;BORDERLINE;13=>1;13=>4
146;SAFE;13=>1;13=>4
402;SAFE;13=>1;13=>4
147;OUTLIER;13=>1;13=>4
403;BORDERLINE;13=>1;13=>4
404;SAFE;13=>1;13=>4
149;BORDERLINE;13=>1;13=>4
405;SAFE;13=>1;13=>4
