index;type;minority_decision;majority_decision
8;RARE;13=>1;13=>4
10;RARE;13=>1;13=>4
20;BORDERLINE;13=>1;13=>4
22;BORDERLINE;13=>1;13=>4
23;BORDERLINE;13=>1;13=>4
24;BORDERLINE;13=>1;13=>4
25;SAFE;13=>1;13=>4
26;BORDERLINE;13=>1;13=>4
27;SAFE;13=>1;13=>4
30;BORDERLINE;13=>1;13=>4
31;BORDERLINE;13=>1;13=>4
32;SAFE;13=>1;13=>4
33;BORDERLINE;13=>1;13=>4
34;SAFE;13=>1;13=>4
47;RARE;13=>1;13=>4
48;RARE;13=>1;13=>4
310;BORDERLINE;13=>1;13=>4
315;OUTLIER;13=>1;13=>4
61;OUTLIER;13=>1;13=>4
342;OUTLIER;13=>1;13=>4
363;BORDERLINE;13=>1;13=>4
373;SAFE;13=>1;13=>4
374;SAFE;13=>1;13=>4
375;SAFE;13=>1;13=>4
376;BORDERLINE;13=>1;13=>4
377;SAFE;13=>1;13=>4
378;SAFE;13=>1;13=>4
379;BORDERLINE;13=>1;13=>4
380;SAFE;13=>1;13=>4
381;SAFE;13=>1;13=>4
126;OUTLIER;13=>1;13=>4
382;SAFE;13=>1;13=>4
127;RARE;13=>1;13=>4
383;SAFE;13=>1;13=>4
384;BORDERLINE;13=>1;13=>4
129;RARE;13=>1;13=>4
385;SAFE;13=>1;13=>4
386;SAFE;13=>1;13=>4
387;SAFE;13=>1;13=>4
388;BORDERLINE;13=>1;13=>4
389;SAFE;13=>1;13=>4
134;OUTLIER;13=>1;13=>4
390;BORDERLINE;13=>1;13=>4
392;SAFE;13=>1;13=>4
393;SAFE;13=>1;13=>4
138;RARE;13=>1;13=>4
394;SAFE;13=>1;13=>4
395;SAFE;13=>1;13=>4
140;BORDERLINE;13=>1;13=>4
396;SAFE;13=>1;13=>4
141;RARE;13=>1;13=>4
397;BORDERLINE;13=>1;13=>4
142;BORDERLINE;13=>1;13=>4
398;SAFE;13=>1;13=>4
143;BORDERLINE;13=>1;13=>4
399;RARE;13=>1;13=>4
144;BORDERLINE;13=>1;13=>4
400;SAFE;13=>1;13=>4
145;BORDERLINE;13=>1;13=>4
401;SAFE;13=>1;13=>4
146;BORDERLINE;13=>1;13=>4
402;RARE;13=>1;13=>4
147;BORDERLINE;13=>1;13=>4
403;SAFE;13=>1;13=>4
404;BORDERLINE;13=>1;13=>4
149;RARE;13=>1;13=>4
405;BORDERLINE;13=>1;13=>4
406;RARE;13=>1;13=>4
152;RARE;13=>1;13=>4
154;RARE;13=>1;13=>4
410;SAFE;13=>1;13=>4
155;BORDERLINE;13=>1;13=>4
156;BORDERLINE;13=>1;13=>4
413;SAFE;13=>1;13=>4
414;SAFE;13=>1;13=>4
415;BORDERLINE;13=>1;13=>4
416;BORDERLINE;13=>1;13=>4
417;SAFE;13=>1;13=>4
418;SAFE;13=>1;13=>4
419;SAFE;13=>1;13=>4
420;BORDERLINE;13=>1;13=>4
421;BORDERLINE;13=>1;13=>4
423;SAFE;13=>1;13=>4
424;SAFE;13=>1;13=>4
425;SAFE;13=>1;13=>4
426;SAFE;13=>1;13=>4
427;SAFE;13=>1;13=>4
428;SAFE;13=>1;13=>4
429;SAFE;13=>1;13=>4
430;SAFE;13=>1;13=>4
431;SAFE;13=>1;13=>4
432;SAFE;13=>1;13=>4
433;SAFE;13=>1;13=>4
434;SAFE;13=>1;13=>4
435;SAFE;13=>1;13=>4
436;BORDERLINE;13=>1;13=>4
437;SAFE;13=>1;13=>4
438;SAFE;13=>1;13=>4
439;SAFE;13=>1;13=>4
440;BORDERLINE;13=>1;13=>4
443;BORDERLINE;13=>1;13=>4
444;SAFE;13=>1;13=>4
445;BORDERLINE;13=>1;13=>4
446;BORDERLINE;13=>1;13=>4
447;BORDERLINE;13=>1;13=>4
448;SAFE;13=>1;13=>4
449;BORDERLINE;13=>1;13=>4
450;SAFE;13=>1;13=>4
451;BORDERLINE;13=>1;13=>4
452;BORDERLINE;13=>1;13=>4
454;SAFE;13=>1;13=>4
455;SAFE;13=>1;13=>4
456;SAFE;13=>1;13=>4
457;SAFE;13=>1;13=>4
458;SAFE;13=>1;13=>4
460;SAFE;13=>1;13=>4
474;BORDERLINE;13=>1;13=>4
475;BORDERLINE;13=>1;13=>4
476;SAFE;13=>1;13=>4
477;BORDERLINE;13=>1;13=>4
478;RARE;13=>1;13=>4
488;BORDERLINE;13=>1;13=>4
489;BORDERLINE;13=>1;13=>4
490;SAFE;13=>1;13=>4
491;SAFE;13=>1;13=>4
500;OUTLIER;13=>1;13=>4
