index;type;minority_decision;majority_decision
8;BORDERLINE;13=>1;13=>2
10;RARE;13=>1;13=>2
20;BORDERLINE;13=>1;13=>2
22;BORDERLINE;13=>1;13=>2
23;BORDERLINE;13=>1;13=>2
24;BORDERLINE;13=>1;13=>2
25;OUTLIER;13=>1;13=>2
26;BORDERLINE;13=>1;13=>2
27;OUTLIER;13=>1;13=>2
30;RARE;13=>1;13=>2
31;BORDERLINE;13=>1;13=>2
32;SAFE;13=>1;13=>2
33;RARE;13=>1;13=>2
34;SAFE;13=>1;13=>2
47;OUTLIER;13=>1;13=>2
48;OUTLIER;13=>1;13=>2
310;SAFE;13=>1;13=>2
315;RARE;13=>1;13=>2
61;RARE;13=>1;13=>2
342;BORDERLINE;13=>1;13=>2
363;BORDERLINE;13=>1;13=>2
373;BORDERLINE;13=>1;13=>2
374;BORDERLINE;13=>1;13=>2
375;BORDERLINE;13=>1;13=>2
376;BORDERLINE;13=>1;13=>2
377;BORDERLINE;13=>1;13=>2
378;BORDERLINE;13=>1;13=>2
379;BORDERLINE;13=>1;13=>2
380;BORDERLINE;13=>1;13=>2
381;BORDERLINE;13=>1;13=>2
126;OUTLIER;13=>1;13=>2
382;BORDERLINE;13=>1;13=>2
127;BORDERLINE;13=>1;13=>2
383;BORDERLINE;13=>1;13=>2
384;SAFE;13=>1;13=>2
129;BORDERLINE;13=>1;13=>2
385;BORDERLINE;13=>1;13=>2
386;BORDERLINE;13=>1;13=>2
387;BORDERLINE;13=>1;13=>2
388;SAFE;13=>1;13=>2
389;BORDERLINE;13=>1;13=>2
134;OUTLIER;13=>1;13=>2
390;BORDERLINE;13=>1;13=>2
392;BORDERLINE;13=>1;13=>2
393;BORDERLINE;13=>1;13=>2
138;BORDERLINE;13=>1;13=>2
394;BORDERLINE;13=>1;13=>2
395;BORDERLINE;13=>1;13=>2
140;BORDERLINE;13=>1;13=>2
396;BORDERLINE;13=>1;13=>2
141;BORDERLINE;13=>1;13=>2
397;BORDERLINE;13=>1;13=>2
142;RARE;13=>1;13=>2
398;BORDERLINE;13=>1;13=>2
143;RARE;13=>1;13=>2
399;BORDERLINE;13=>1;13=>2
144;OUTLIER;13=>1;13=>2
400;BORDERLINE;13=>1;13=>2
145;SAFE;13=>1;13=>2
401;BORDERLINE;13=>1;13=>2
146;SAFE;13=>1;13=>2
402;SAFE;13=>1;13=>2
147;RARE;13=>1;13=>2
