index;type;minority_decision;majority_decision
8;RARE;13=>1;13=>2
10;RARE;13=>1;13=>2
20;BORDERLINE;13=>1;13=>2
22;BORDERLINE;13=>1;13=>2
23;BORDERLINE;13=>1;13=>2
24;BORDERLINE;13=>1;13=>2
25;SAFE;13=>1;13=>2
26;BORDERLINE;13=>1;13=>2
27;SAFE;13=>1;13=>2
30;BORDERLINE;13=>1;13=>2
31;BORDERLINE;13=>1;13=>2
32;SAFE;13=>1;13=>2
33;BORDERLINE;13=>1;13=>2
34;SAFE;13=>1;13=>2
47;RARE;13=>1;13=>2
48;RARE;13=>1;13=>2
310;BORDERLINE;13=>1;13=>2
315;OUTLIER;13=>1;13=>2
61;OUTLIER;13=>1;13=>2
342;OUTLIER;13=>1;13=>2
363;BORDERLINE;13=>1;13=>2
373;SAFE;13=>1;13=>2
374;SAFE;13=>1;13=>2
375;SAFE;13=>1;13=>2
376;BORDERLINE;13=>1;13=>2
377;SAFE;13=>1;13=>2
378;SAFE;13=>1;13=>2
379;BORDERLINE;13=>1;13=>2
380;SAFE;13=>1;13=>2
381;SAFE;13=>1;13=>2
126;OUTLIER;13=>1;13=>2
382;SAFE;13=>1;13=>2
127;RARE;13=>1;13=>2
383;SAFE;13=>1;13=>2
384;BORDERLINE;13=>1;13=>2
129;RARE;13=>1;13=>2
385;SAFE;13=>1;13=>2
386;SAFE;13=>1;13=>2
387;SAFE;13=>1;13=>2
388;BORDERLINE;13=>1;13=>2
389;SAFE;13=>1;13=>2
134;OUTLIER;13=>1;13=>2
390;BORDERLINE;13=>1;13=>2
392;SAFE;13=>1;13=>2
393;SAFE;13=>1;13=>2
138;RARE;13=>1;13=>2
394;SAFE;13=>1;13=>2
395;SAFE;13=>1;13=>2
140;BORDERLINE;13=>1;13=>2
396;SAFE;13=>1;13=>2
141;RARE;13=>1;13=>2
397;BORDERLINE;13=>1;13=>2
142;BORDERLINE;13=>1;13=>2
398;SAFE;13=>1;13=>2
143;BORDERLINE;13=>1;13=>2
399;RARE;13=>1;13=>2
144;BORDERLINE;13=>1;13=>2
400;SAFE;13=>1;13=>2
145;BORDERLINE;13=>1;13=>2
401;SAFE;13=>1;13=>2
146;BORDERLINE;13=>1;13=>2
402;RARE;13=>1;13=>2
147;BORDERLINE;13=>1;13=>2
403;SAFE;13=>1;13=>2
404;BORDERLINE;13=>1;13=>2
149;RARE;13=>1;13=>2
405;BORDERLINE;13=>1;13=>2
406;RARE;13=>1;13=>2
152;RARE;13=>1;13=>2
154;RARE;13=>1;13=>2
410;SAFE;13=>1;13=>2
155;BORDERLINE;13=>1;13=>2
156;BORDERLINE;13=>1;13=>2
413;SAFE;13=>1;13=>2
414;SAFE;13=>1;13=>2
415;BORDERLINE;13=>1;13=>2
416;BORDERLINE;13=>1;13=>2
417;SAFE;13=>1;13=>2
418;SAFE;13=>1;13=>2
419;SAFE;13=>1;13=>2
420;BORDERLINE;13=>1;13=>2
421;BORDERLINE;13=>1;13=>2
423;SAFE;13=>1;13=>2
424;SAFE;13=>1;13=>2
425;SAFE;13=>1;13=>2
426;SAFE;13=>1;13=>2
427;SAFE;13=>1;13=>2
428;SAFE;13=>1;13=>2
429;SAFE;13=>1;13=>2
430;SAFE;13=>1;13=>2
431;SAFE;13=>1;13=>2
432;SAFE;13=>1;13=>2
433;SAFE;13=>1;13=>2
434;SAFE;13=>1;13=>2
435;SAFE;13=>1;13=>2
436;BORDERLINE;13=>1;13=>2
437;SAFE;13=>1;13=>2
438;SAFE;13=>1;13=>2
439;SAFE;13=>1;13=>2
440;BORDERLINE;13=>1;13=>2
443;BORDERLINE;13=>1;13=>2
444;SAFE;13=>1;13=>2
445;BORDERLINE;13=>1;13=>2
446;BORDERLINE;13=>1;13=>2
447;BORDERLINE;13=>1;13=>2
448;SAFE;13=>1;13=>2
449;BORDERLINE;13=>1;13=>2
450;SAFE;13=>1;13=>2
451;BORDERLINE;13=>1;13=>2
452;BORDERLINE;13=>1;13=>2
454;SAFE;13=>1;13=>2
455;SAFE;13=>1;13=>2
456;SAFE;13=>1;13=>2
457;SAFE;13=>1;13=>2
458;SAFE;13=>1;13=>2
460;SAFE;13=>1;13=>2
474;BORDERLINE;13=>1;13=>2
475;BORDERLINE;13=>1;13=>2
476;SAFE;13=>1;13=>2
477;BORDERLINE;13=>1;13=>2
478;RARE;13=>1;13=>2
488;BORDERLINE;13=>1;13=>2
489;BORDERLINE;13=>1;13=>2
490;SAFE;13=>1;13=>2
491;SAFE;13=>1;13=>2
500;OUTLIER;13=>1;13=>2
505;OUTLIER;13=>1;13=>2
8;RARE;13=>2;13=>3
9;BORDERLINE;13=>2;13=>3
10;RARE;13=>2;13=>3
11;OUTLIER;13=>2;13=>3
13;BORDERLINE;13=>2;13=>3
14;RARE;13=>2;13=>3
15;BORDERLINE;13=>2;13=>3
17;OUTLIER;13=>2;13=>3
18;OUTLIER;13=>2;13=>3
19;RARE;13=>2;13=>3
