index;type;minority_decision;majority_decision
0;SAFE;10=>0;10=>3
1;BORDERLINE;10=>0;10=>3
258;SAFE;10=>0;10=>3
259;OUTLIER;10=>0;10=>3
260;OUTLIER;10=>0;10=>3
261;SAFE;10=>0;10=>3
262;SAFE;10=>0;10=>3
263;SAFE;10=>0;10=>3
11;SAFE;10=>0;10=>3
12;SAFE;10=>0;10=>3
13;SAFE;10=>0;10=>3
14;SAFE;10=>0;10=>3
15;SAFE;10=>0;10=>3
16;SAFE;10=>0;10=>3
17;OUTLIER;10=>0;10=>3
18;SAFE;10=>0;10=>3
19;SAFE;10=>0;10=>3
20;SAFE;10=>0;10=>3
22;BORDERLINE;10=>0;10=>3
23;SAFE;10=>0;10=>3
24;OUTLIER;10=>0;10=>3
25;SAFE;10=>0;10=>3
26;SAFE;10=>0;10=>3
27;OUTLIER;10=>0;10=>3
283;BORDERLINE;10=>0;10=>3
28;SAFE;10=>0;10=>3
284;OUTLIER;10=>0;10=>3
29;BORDERLINE;10=>0;10=>3
30;SAFE;10=>0;10=>3
31;SAFE;10=>0;10=>3
32;BORDERLINE;10=>0;10=>3
288;OUTLIER;10=>0;10=>3
289;SAFE;10=>0;10=>3
290;BORDERLINE;10=>0;10=>3
291;BORDERLINE;10=>0;10=>3
292;SAFE;10=>0;10=>3
293;SAFE;10=>0;10=>3
294;SAFE;10=>0;10=>3
295;SAFE;10=>0;10=>3
44;SAFE;10=>0;10=>3
45;SAFE;10=>0;10=>3
46;SAFE;10=>0;10=>3
47;SAFE;10=>0;10=>3
48;OUTLIER;10=>0;10=>3
54;SAFE;10=>0;10=>3
55;SAFE;10=>0;10=>3
56;SAFE;10=>0;10=>3
58;SAFE;10=>0;10=>3
59;SAFE;10=>0;10=>3
60;SAFE;10=>0;10=>3
61;OUTLIER;10=>0;10=>3
68;SAFE;10=>0;10=>3
70;SAFE;10=>0;10=>3
72;OUTLIER;10=>0;10=>3
73;SAFE;10=>0;10=>3
