index;type;minority_decision;majority_decision
0;RARE;10=>0;10=>3
1;BORDERLINE;10=>0;10=>3
258;BORDERLINE;10=>0;10=>3
259;OUTLIER;10=>0;10=>3
260;OUTLIER;10=>0;10=>3
261;BORDERLINE;10=>0;10=>3
262;BORDERLINE;10=>0;10=>3
263;BORDERLINE;10=>0;10=>3
11;SAFE;10=>0;10=>3
12;SAFE;10=>0;10=>3
13;BORDERLINE;10=>0;10=>3
14;BORDERLINE;10=>0;10=>3
15;SAFE;10=>0;10=>3
16;BORDERLINE;10=>0;10=>3
17;OUTLIER;10=>0;10=>3
18;BORDERLINE;10=>0;10=>3
19;BORDERLINE;10=>0;10=>3
20;RARE;10=>0;10=>3
22;BORDERLINE;10=>0;10=>3
23;BORDERLINE;10=>0;10=>3
24;BORDERLINE;10=>0;10=>3
25;BORDERLINE;10=>0;10=>3
26;RARE;10=>0;10=>3
27;BORDERLINE;10=>0;10=>3
283;RARE;10=>0;10=>3
28;BORDERLINE;10=>0;10=>3
284;OUTLIER;10=>0;10=>3
29;RARE;10=>0;10=>3
30;BORDERLINE;10=>0;10=>3
31;BORDERLINE;10=>0;10=>3
32;BORDERLINE;10=>0;10=>3
288;RARE;10=>0;10=>3
289;BORDERLINE;10=>0;10=>3
290;BORDERLINE;10=>0;10=>3
291;BORDERLINE;10=>0;10=>3
292;SAFE;10=>0;10=>3
293;BORDERLINE;10=>0;10=>3
294;BORDERLINE;10=>0;10=>3
295;BORDERLINE;10=>0;10=>3
44;BORDERLINE;10=>0;10=>3
45;BORDERLINE;10=>0;10=>3
46;BORDERLINE;10=>0;10=>3
47;SAFE;10=>0;10=>3
48;BORDERLINE;10=>0;10=>3
54;BORDERLINE;10=>0;10=>3
55;BORDERLINE;10=>0;10=>3
56;SAFE;10=>0;10=>3
58;RARE;10=>0;10=>3
59;SAFE;10=>0;10=>3
60;OUTLIER;10=>0;10=>3
61;BORDERLINE;10=>0;10=>3
68;BORDERLINE;10=>0;10=>3
70;OUTLIER;10=>0;10=>3
72;SAFE;10=>0;10=>3
73;BORDERLINE;10=>0;10=>3
74;SAFE;10=>0;10=>3
75;BORDERLINE;10=>0;10=>3
76;SAFE;10=>0;10=>3
77;BORDERLINE;10=>0;10=>3
81;BORDERLINE;10=>0;10=>3
83;BORDERLINE;10=>0;10=>3
88;BORDERLINE;10=>0;10=>3
89;BORDERLINE;10=>0;10=>3
