index;type;minority_decision;majority_decision
0;OUTLIER;10=>0;10=>1
1;BORDERLINE;10=>0;10=>1
258;BORDERLINE;10=>0;10=>1
259;OUTLIER;10=>0;10=>1
260;OUTLIER;10=>0;10=>1
261;BORDERLINE;10=>0;10=>1
262;BORDERLINE;10=>0;10=>1
263;BORDERLINE;10=>0;10=>1
11;RARE;10=>0;10=>1
12;SAFE;10=>0;10=>1
13;SAFE;10=>0;10=>1
14;BORDERLINE;10=>0;10=>1
15;BORDERLINE;10=>0;10=>1
16;RARE;10=>0;10=>1
17;OUTLIER;10=>0;10=>1
18;BORDERLINE;10=>0;10=>1
19;BORDERLINE;10=>0;10=>1
20;BORDERLINE;10=>0;10=>1
22;BORDERLINE;10=>0;10=>1
23;SAFE;10=>0;10=>1
24;OUTLIER;10=>0;10=>1
25;RARE;10=>0;10=>1
26;SAFE;10=>0;10=>1
27;OUTLIER;10=>0;10=>1
283;SAFE;10=>0;10=>1
28;RARE;10=>0;10=>1
284;OUTLIER;10=>0;10=>1
29;RARE;10=>0;10=>1
30;BORDERLINE;10=>0;10=>1
31;BORDERLINE;10=>0;10=>1
32;BORDERLINE;10=>0;10=>1
288;OUTLIER;10=>0;10=>1
289;SAFE;10=>0;10=>1
290;BORDERLINE;10=>0;10=>1
291;BORDERLINE;10=>0;10=>1
292;BORDERLINE;10=>0;10=>1
293;BORDERLINE;10=>0;10=>1
294;BORDERLINE;10=>0;10=>1
295;BORDERLINE;10=>0;10=>1
44;SAFE;10=>0;10=>1
45;RARE;10=>0;10=>1
46;SAFE;10=>0;10=>1
47;SAFE;10=>0;10=>1
48;OUTLIER;10=>0;10=>1
54;RARE;10=>0;10=>1
55;BORDERLINE;10=>0;10=>1
56;SAFE;10=>0;10=>1
58;SAFE;10=>0;10=>1
59;SAFE;10=>0;10=>1
60;OUTLIER;10=>0;10=>1
61;SAFE;10=>0;10=>1
68;SAFE;10=>0;10=>1
70;OUTLIER;10=>0;10=>1
72;OUTLIER;10=>0;10=>1
73;BORDERLINE;10=>0;10=>1
74;BORDERLINE;10=>0;10=>1
75;BORDERLINE;10=>0;10=>1
76;SAFE;10=>0;10=>1
77;BORDERLINE;10=>0;10=>1
81;RARE;10=>0;10=>1
83;RARE;10=>0;10=>1
88;RARE;10=>0;10=>1
89;SAFE;10=>0;10=>1
345;SAFE;10=>0;10=>1
90;OUTLIER;10=>0;10=>1
95;SAFE;10=>0;10=>1
98;BORDERLINE;10=>0;10=>1
99;BORDERLINE;10=>0;10=>1
105;OUTLIER;10=>0;10=>1
106;BORDERLINE;10=>0;10=>1
110;OUTLIER;10=>0;10=>1
111;RARE;10=>0;10=>1
122;SAFE;10=>0;10=>1
