index;type;minority_decision;majority_decision
0;RARE;10=>0;10=>1
1;BORDERLINE;10=>0;10=>1
258;BORDERLINE;10=>0;10=>1
259;OUTLIER;10=>0;10=>1
260;OUTLIER;10=>0;10=>1
261;BORDERLINE;10=>0;10=>1
262;BORDERLINE;10=>0;10=>1
263;BORDERLINE;10=>0;10=>1
11;SAFE;10=>0;10=>1
12;SAFE;10=>0;10=>1
13;BORDERLINE;10=>0;10=>1
14;BORDERLINE;10=>0;10=>1
15;SAFE;10=>0;10=>1
16;BORDERLINE;10=>0;10=>1
17;OUTLIER;10=>0;10=>1
18;BORDERLINE;10=>0;10=>1
19;BORDERLINE;10=>0;10=>1
20;RARE;10=>0;10=>1
22;BORDERLINE;10=>0;10=>1
23;BORDERLINE;10=>0;10=>1
24;BORDERLINE;10=>0;10=>1
25;BORDERLINE;10=>0;10=>1
26;RARE;10=>0;10=>1
27;BORDERLINE;10=>0;10=>1
283;RARE;10=>0;10=>1
28;BORDERLINE;10=>0;10=>1
284;OUTLIER;10=>0;10=>1
29;RARE;10=>0;10=>1
30;BORDERLINE;10=>0;10=>1
31;BORDERLINE;10=>0;10=>1
32;BORDERLINE;10=>0;10=>1
288;RARE;10=>0;10=>1
289;BORDERLINE;10=>0;10=>1
290;BORDERLINE;10=>0;10=>1
291;BORDERLINE;10=>0;10=>1
292;SAFE;10=>0;10=>1
293;BORDERLINE;10=>0;10=>1
294;BORDERLINE;10=>0;10=>1
295;BORDERLINE;10=>0;10=>1
44;BORDERLINE;10=>0;10=>1
45;BORDERLINE;10=>0;10=>1
46;BORDERLINE;10=>0;10=>1
47;SAFE;10=>0;10=>1
48;BORDERLINE;10=>0;10=>1
54;BORDERLINE;10=>0;10=>1
55;BORDERLINE;10=>0;10=>1
56;SAFE;10=>0;10=>1
58;RARE;10=>0;10=>1
59;SAFE;10=>0;10=>1
60;OUTLIER;10=>0;10=>1
61;BORDERLINE;10=>0;10=>1
68;BORDERLINE;10=>0;10=>1
70;OUTLIER;10=>0;10=>1
72;SAFE;10=>0;10=>1
73;BORDERLINE;10=>0;10=>1
74;SAFE;10=>0;10=>1
75;BORDERLINE;10=>0;10=>1
76;SAFE;10=>0;10=>1
77;BORDERLINE;10=>0;10=>1
81;BORDERLINE;10=>0;10=>1
83;BORDERLINE;10=>0;10=>1
88;BORDERLINE;10=>0;10=>1
89;BORDERLINE;10=>0;10=>1
345;BORDERLINE;10=>0;10=>1
90;OUTLIER;10=>0;10=>1
95;RARE;10=>0;10=>1
98;BORDERLINE;10=>0;10=>1
99;RARE;10=>0;10=>1
105;OUTLIER;10=>0;10=>1
106;BORDERLINE;10=>0;10=>1
110;OUTLIER;10=>0;10=>1
111;RARE;10=>0;10=>1
122;RARE;10=>0;10=>1
130;OUTLIER;10=>0;10=>1
131;BORDERLINE;10=>0;10=>1
136;BORDERLINE;10=>0;10=>1
137;OUTLIER;10=>0;10=>1
138;SAFE;10=>0;10=>1
139;RARE;10=>0;10=>1
141;SAFE;10=>0;10=>1
145;RARE;10=>0;10=>1
151;BORDERLINE;10=>0;10=>1
152;BORDERLINE;10=>0;10=>1
153;RARE;10=>0;10=>1
154;RARE;10=>0;10=>1
413;OUTLIER;10=>0;10=>1
162;BORDERLINE;10=>0;10=>1
167;BORDERLINE;10=>0;10=>1
168;SAFE;10=>0;10=>1
169;BORDERLINE;10=>0;10=>1
171;BORDERLINE;10=>0;10=>1
172;SAFE;10=>0;10=>1
173;OUTLIER;10=>0;10=>1
179;BORDERLINE;10=>0;10=>1
184;OUTLIER;10=>0;10=>1
186;OUTLIER;10=>0;10=>1
187;BORDERLINE;10=>0;10=>1
192;BORDERLINE;10=>0;10=>1
194;BORDERLINE;10=>0;10=>1
195;BORDERLINE;10=>0;10=>1
196;BORDERLINE;10=>0;10=>1
197;BORDERLINE;10=>0;10=>1
198;BORDERLINE;10=>0;10=>1
458;SAFE;10=>0;10=>1
459;BORDERLINE;10=>0;10=>1
460;BORDERLINE;10=>0;10=>1
461;BORDERLINE;10=>0;10=>1
462;BORDERLINE;10=>0;10=>1
463;BORDERLINE;10=>0;10=>1
210;SAFE;10=>0;10=>1
211;SAFE;10=>0;10=>1
212;SAFE;10=>0;10=>1
215;RARE;10=>0;10=>1
217;RARE;10=>0;10=>1
218;RARE;10=>0;10=>1
220;BORDERLINE;10=>0;10=>1
227;BORDERLINE;10=>0;10=>1
486;RARE;10=>0;10=>1
487;RARE;10=>0;10=>1
232;BORDERLINE;10=>0;10=>1
488;RARE;10=>0;10=>1
233;BORDERLINE;10=>0;10=>1
234;BORDERLINE;10=>0;10=>1
235;BORDERLINE;10=>0;10=>1
236;RARE;10=>0;10=>1
238;BORDERLINE;10=>0;10=>1
239;BORDERLINE;10=>0;10=>1
240;RARE;10=>0;10=>1
243;BORDERLINE;10=>0;10=>1
244;BORDERLINE;10=>0;10=>1
245;BORDERLINE;10=>0;10=>1
246;BORDERLINE;10=>0;10=>1
247;OUTLIER;10=>0;10=>1
248;BORDERLINE;10=>0;10=>1
249;BORDERLINE;10=>0;10=>1
250;BORDERLINE;10=>0;10=>1
511;BORDERLINE;10=>0;10=>1
512;BORDERLINE;10=>2;10=>1
513;BORDERLINE;10=>2;10=>1
516;SAFE;10=>2;10=>1
5;BORDERLINE;10=>2;10=>1
517;SAFE;10=>2;10=>1
6;RARE;10=>2;10=>1
518;BORDERLINE;10=>2;10=>1
7;BORDERLINE;10=>2;10=>1
519;SAFE;10=>2;10=>1
8;BORDERLINE;10=>2;10=>1
520;RARE;10=>2;10=>1
9;BORDERLINE;10=>2;10=>1
521;SAFE;10=>2;10=>1
10;BORDERLINE;10=>2;10=>1
522;SAFE;10=>2;10=>1
523;SAFE;10=>2;10=>1
524;SAFE;10=>2;10=>1
525;SAFE;10=>2;10=>1
526;RARE;10=>2;10=>1
527;BORDERLINE;10=>2;10=>1
528;SAFE;10=>2;10=>1
529;SAFE;10=>2;10=>1
530;SAFE;10=>2;10=>1
531;BORDERLINE;10=>2;10=>1
532;OUTLIER;10=>2;10=>1
21;RARE;10=>2;10=>1
533;RARE;10=>2;10=>1
534;BORDERLINE;10=>2;10=>1
535;RARE;10=>2;10=>1
536;OUTLIER;10=>2;10=>1
537;BORDERLINE;10=>2;10=>1
538;BORDERLINE;10=>2;10=>1
539;BORDERLINE;10=>2;10=>1
540;SAFE;10=>2;10=>1
541;BORDERLINE;10=>2;10=>1
542;SAFE;10=>2;10=>1
543;SAFE;10=>2;10=>1
544;SAFE;10=>2;10=>1
545;SAFE;10=>2;10=>1
37;RARE;10=>2;10=>1
38;BORDERLINE;10=>2;10=>1
40;BORDERLINE;10=>2;10=>1
41;BORDERLINE;10=>2;10=>1
42;RARE;10=>2;10=>1
43;BORDERLINE;10=>2;10=>1
52;OUTLIER;10=>2;10=>1
53;OUTLIER;10=>2;10=>1
67;OUTLIER;10=>2;10=>1
69;RARE;10=>2;10=>1
79;BORDERLINE;10=>2;10=>1
87;RARE;10=>2;10=>1
92;SAFE;10=>2;10=>1
93;BORDERLINE;10=>2;10=>1
94;BORDERLINE;10=>2;10=>1
101;OUTLIER;10=>2;10=>1
102;RARE;10=>2;10=>1
103;OUTLIER;10=>2;10=>1
108;RARE;10=>2;10=>1
109;BORDERLINE;10=>2;10=>1
112;OUTLIER;10=>2;10=>1
113;OUTLIER;10=>2;10=>1
114;OUTLIER;10=>2;10=>1
115;OUTLIER;10=>2;10=>1
116;OUTLIER;10=>2;10=>1
117;RARE;10=>2;10=>1
118;BORDERLINE;10=>2;10=>1
119;RARE;10=>2;10=>1
121;BORDERLINE;10=>2;10=>1
124;RARE;10=>2;10=>1
125;BORDERLINE;10=>2;10=>1
126;BORDERLINE;10=>2;10=>1
127;SAFE;10=>2;10=>1
128;RARE;10=>2;10=>1
129;OUTLIER;10=>2;10=>1
134;BORDERLINE;10=>2;10=>1
135;SAFE;10=>2;10=>1
148;RARE;10=>2;10=>1
159;OUTLIER;10=>2;10=>1
160;RARE;10=>2;10=>1
161;SAFE;10=>2;10=>1
166;BORDERLINE;10=>2;10=>1
176;BORDERLINE;10=>2;10=>1
177;BORDERLINE;10=>2;10=>1
178;OUTLIER;10=>2;10=>1
183;BORDERLINE;10=>2;10=>1
190;OUTLIER;10=>2;10=>1
207;OUTLIER;10=>2;10=>1
208;BORDERLINE;10=>2;10=>1
209;OUTLIER;10=>2;10=>1
216;SAFE;10=>2;10=>1
219;RARE;10=>2;10=>1
222;BORDERLINE;10=>2;10=>1
223;RARE;10=>2;10=>1
224;OUTLIER;10=>2;10=>1
225;RARE;10=>2;10=>1
228;BORDERLINE;10=>2;10=>1
229;OUTLIER;10=>2;10=>1
230;BORDERLINE;10=>2;10=>1
231;BORDERLINE;10=>2;10=>1
242;RARE;10=>2;10=>1
255;OUTLIER;10=>2;10=>1
256;RARE;10=>2;10=>1
257;OUTLIER;10=>2;10=>1
271;BORDERLINE;10=>2;10=>1
272;BORDERLINE;10=>2;10=>1
273;RARE;10=>2;10=>1
274;OUTLIER;10=>2;10=>1
275;RARE;10=>2;10=>1
276;BORDERLINE;10=>2;10=>1
277;RARE;10=>2;10=>1
281;OUTLIER;10=>2;10=>1
282;OUTLIER;10=>2;10=>1
285;OUTLIER;10=>2;10=>1
305;OUTLIER;10=>2;10=>1
306;BORDERLINE;10=>2;10=>1
307;BORDERLINE;10=>2;10=>1
308;RARE;10=>2;10=>1
309;RARE;10=>2;10=>1
311;BORDERLINE;10=>2;10=>1
312;RARE;10=>2;10=>1
313;RARE;10=>2;10=>1
